accession_no,accounting_period,acquisition_history,alternative_years,ark_number,atf_source,atf_up,author,author_remarks,cdli_collation,cdli_comments,citation,collection,composite_id,condition_description,date_entered,date_of_origin,date_remarks,date_updated,dates_referenced,db_source,designation,dumb,dumb2,electronic_publication,elevation,excavation_no,external_id,findspot_remarks,findspot_square,genre,google_earth_collection,google_earth_provenience,height,id,id_text2,id_text,join_information,language,lineart_up,material,museum_no,object_preservation,object_type,period,period_remarks,photo_up,primary_publication,provenience,provenience_remarks,publication_date,publication_history,published_collation,seal_id,seal_information,stratigraphic_level,subgenre,subgenre_remarks,surface_preservation,text_remarks,thickness,translation_source,width,object_remarks
,,,,21198/zz001skhjc,cdlistaff,,"Glassner, Jean-Jacques",,,,,"private: anonymous, unlocated",,,7/11/2002,,,2018-10-20,,20020711 molina,"NABU 1988/052, 4",,,,,,,,,Administrative,,,50,54471,0,200716,,Sumerian,150ppi 20160630,clay,Anonymous 200716,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"NABU 1988/052, 4",Kanesh (mod. Kültepe),,1988,,,,,,,,,,12,no translation,45,
,,,,21198/zz001rv0sx,"Englund, Robert K.",,"Gelb, Ignace J. & Sollberger, Edmond",,,,"Sollberger, Edmond, JCS 05 (1951) 018-020","Musée d’Art et d’Histoire, Geneva, Switzerland",,,2/26/2003,,,2018-12-12,,20030226 johnsonjc_rime2,"JNES 16, 170",,,,,,,,,Legal,,,114,67762,0,216609,"P216609 lead, single entry",,,clay,MAH 15962 & MAH 16213,,tablet & envelope,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160630,"JNES 16, 170",uncertain (mod. uncertain),,1957,"Kienast, Burkhart, FAOS Beih 1, 001",,"S012186, S012187, SxC, SxD, SxE, SxF",,,,,,,19,"Gelb, Ignace J.; Sollberger, Edmond",48,
(SMN) 2080,,,,21198/zz001s2mnn,Old Assyrian Text Project,,"Meek, Theophile J.",,,,,"Harvard Museum of the Ancient Near East, Harvard University, Cambridge, Massachusetts, USA",,,9/30/2003,,,2020-05-26,,20030930 cdliadmin,"HSS 10, 223",,,,,,,,,Letter,,,?,79858,0,231798,,Akkadian,150ppi 20160630,clay,unknown,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"HSS 10, 223",uncertain (mod. uncertain),,1935,,,,,,,,,,?,no translation,?,
,,,,21198/zz001t8p60,no atf,,"Garelli, Paul",,,,,"Louvre Museum, Paris, France",,,10/11/2004,,,2018-10-21,,20041012 cdliadmin,Fs Kraus 057,,,,,,,,,Letter,,,?,99088,0,249250,,Akkadian,150ppi 20160630,clay,AO 22505,,tablet,Old Assyrian (ca. 1950-1850 BC),,600ppi 20160913,Fs Kraus 057,Kanesh (mod. Kültepe),,1982,,,,,,,,,,?,no translation,?,
,,,,21198/zz001stbxs,no atf,,"George, Andrew R.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,MS 1789/2,,,,,,,,,,,,?,100274,0,250493,,,,clay,MS 1789/2,,tablet,Old Assyrian (ca. 1950-1850 BC),,,unpublished assigned,uncertain (mod. uncertain),,nd,,,,,,,,,,?,no translation,?,
,,,,21198/zz001t0s39,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 020",,,,,,,,,Letter,,,?,100297,0,250516,,Akkadian,,clay,MS 1834,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 020",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7dn,no atf,,nn,,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,MS 1886,,,,,,,,,,,,?,100328,0,250548,,,,clay,MS 1886,,tablet,Old Assyrian (ca. 1950-1850 BC),,,unpublished unassigned ?,uncertain (mod. uncertain),,nd,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7f5,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 007",,,,,,,,,Letter,,,?,100329,0,250549,,Akkadian,,clay,MS 1892/01,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 007",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7gp,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 014",,,,,,,,,Letter,,,?,100330,0,250550,,Akkadian,,clay,MS 1892/02,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 014",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
,,,,21198/zz001sf7h6,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 028",,,,,,,,,Legal,,,?,100331,0,250551,,Akkadian,,clay,MS 1892/03,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 028",uncertain (mod. uncertain),,2017,,,,,,payment,,,,?,no translation,?,
,,,,21198/zz001sf7jq,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 029",,,,,,,,,Legal,,,?,100332,0,250552,,Akkadian,,clay,MS 1892/04,,tablet,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 029",uncertain (mod. uncertain),,2017,,,,,,debt witnesses,,,,?,no translation,?,
,,,,21198/zz001sf7k7,no atf,,"George, Andrew R., Hertel, Thomas, Llop-Raduà, Jaume, Radner, Karen & van Soldt, Wilfred H.",,,,,"Schøyen Collection, Oslo, Norway",,,12/15/2004,,,2018-10-21,,20041215 schoeyen_catalogue,"CUSAS 34, 039",,,,,,,,,Administrative,,,?,100333,0,250553,,Akkadian,,clay,MS 1892/05,,sealing,Old Assyrian (ca. 1950-1850 BC),,,"CUSAS 34, 039",uncertain (mod. uncertain),,2017,,,,,,,,,,?,no translation,?,
