record_id,other_nos,description,classification,keywords,provenance,publication,dates_mentioned,dates_attributed,contents,terminology,names_titles,remarks,doc_type,be_loss_framing,be_gain_framing,be_reference_point,be_complaint_petition,be_certainty_claim,be_forecast_claim,be_failed_prediction,be_interest_rate,be_loan_credit,be_deferred_payment,be_fairness_claim,be_reciprocity,be_price_mention,be_commodity_grain,be_commodity_money,be_labor_absence,be_wage_payment,be_risk_mention,be_contract_formal,be_tax_tribute,be_loss_aversion_signal,be_overconfidence_signal,be_calibration_signal,be_economic_core
O. Aberdeen 1317,"HO 61, 2; O. ABDUA 24270","Limestone, 9. 1 x 16.5 cms. Two sides; obverse: six lines; reverse: five lines. Black ink. Top obverse = left side reverse.",account : payment - transfer,goat - grain - payment - rags - vegetables - wood - woodwork - rd (?),No indication,"Černý-Gardiner, Hieratic Ostraca , 18 (description) and pl. 61-61A no. 2 (facsimile, transcription); Allam, Hieratische Ostraka und Papyri , 17 no. 1 (translation, commentary); http://www.abdn.ac.uk/virtualmuseum (description, photographs); Kitchen, Ramesside Inscriptions V, 586-587 (transcription)",-,"Dyn. 20, Ramesses III ( Kitchen )","Commodities given to the carpenter OnnA , most probably as payment.","iw=i Hr di.t n=f (obv. 2); ir n (obv. 4, 5); wHm m Dr.t NN (obv. 3) wHm di.t n=f (obv. 2); m Dr.t NN (obv. 2); rdy.t NN n NN (obv. 1); rdy.t NN n NN r DbA (rev. 1-2); rdy.t n=f (obv. 2, ~ 4 # , 4); rdy.t n=f m Dr.t NN (obv. 3); dmD (obv. 6)","Imn-m-Ip.t (rmT-is.t ; obv. ~ 1 # , rev. 1 (without rmT-is.t ); Imn-ms (obv. 3); MnTw-PA-1apy (obv. 3); Nxw-m-Mw.t (obv. 2 - written Nxw-Mw.t ); OnnA (Hmw.w ; obv. 1, rev. 2)",-,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Allard Pierson Museum inv. no. 8875,-,"Limestone, 10 x 6.2 cm. Damaged. One side, with 9 lines in black and red ink. Top edge broken off and surface much rubbed: end of line 1 missing, ends of lines 4 and 8 faded and lines 6 and 9 almost completely faded. Correction in line 4.",account - journal : delivery(?),lamps,No indication,Unpublished; see Remarks,"sw 24-27 (3, 4, 5, 7, 8)",Dyn. 19 or dyn. 20,A total number of lamps (143) followed by a series of dates with totals of lamps delivered(?).,aHa n (1),-,Publication: transcription made after the original by R.J. Demaree.,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0003,"O. Gardiner 0003; HO 22, 2","Limestone, 19.5 x 14.5 cms (if facsimile in Hieratic Ostraca is on scale of 1:1). Two sides; obverse: thirteen lines; reverse: three lines. Black ink. Damaged at the right and bottom of obverse. Top obverse = bottom reverse.",account : payment,copper - grain - mat - metalwork - natron (?) - painting - payment - sandals - silver - statue - textile - vegetables - woodwork,No indication,"Černý-Gardiner, Hieratic Ostraca , 7 (description) and pl. 22-22A no. 2 (facsimile, transcription); Allam, Hieratische Ostraka und Papyri , 150-151 no. 146 (translation, commentary); Kitchen, Ramesside Inscriptions V, 584-585 (transcription); McDowell, Village Life in Ancient Egypt , 82-83 no. 53 (translation)",-,"Dyn. 20, Ramesses III ( Kitchen )",Account of payment to the carpenter Ra-mry for some statues in wood.,"ir n (obv. 3, 4, 5, 6, 10, 12); aHa n HD Hmt (rev. 3); m mi.t.t (obv. 6, 8); rdy.t n=f (obv. 9); rdy.t NN n NN (obv. 1); r DbA (obv. 2); HA.w r=f m dbn ? (obv. 8)",Ra-mry (Hmw.w ; obv. ~ 1 # ); Rt (obv. 1); Ony-Mnw (rev. 2),-,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0004,"O. Gardiner 0004; HO 27, 3","Limestone, 11.5 x 18 cms (if facsimile in Hieratic Ostraca is on scale of 1:1). Two sides; obverse: six lines and some signs on right edge in red ink; reverse: six lines, but much effaced. Black ink. Correction by the scribe in rev. 4. Top obverse = top reverse.",protocol : oracle,gang - house - junior - oracle - textile - theft - village,No indication,"Černý-Gardiner, Hieratic Ostraca , 9 (description) and pl. 27-27A no. 3 (facsimile, transcription); Allam, Hieratische Ostraka und Papyri , 151-152 no. 147 (translation, commentary); Černý, BIFAO 27 (1927), 178-179 (translation); Gardiner, PSBA 39 (1917), 43 (translation); Helck, Die datierten und datierbaren Ostraka , 394 (translation) ; Kitchen, Ramesside Inscriptions VI, 142 (transcription); McDowell, Village Life in Ancient Egypt , 181-182 no. 138 (translation)",rnp.t-sp 5 III Ax.t sw 28 (obv. 1),"Dyn. 20, Ramesses IV ( Kitchen ); year 5 Ramesses IV (Helck)","Case involving the theft of some clothes from the sculptor OH , which are in the possession of the daughter of the scribe Imn-nxt according to the oracle of the deified Imn-Htp ; see Remarks .",aS in NN n NN (obv. 1-2); pAy=i nb nfr (obv. ~ 2 # ); m bAH NN (rev. 4); m bAH mtr.w (rev. ~ 1 # ),"an. ( pAy=i nb nfr ; deity; obv. ~ 2 # ); Ii-r-niw.t=f (rev. 3); Imn-ms (xrp-4ro.t ; obv. ~ 3 # -4); Imn-nxt (sS ; ~ 5 # , rev. ~ 1 # , 4, 5); Imn-Htp anx wDA snb ( nswt ; deity; obv. 2); aA-pA-TAw (rev. 2); Nfr-Htp (rev. 2); 1Ay (rev. ~ 2 # ); 2ay (sAw ; rev. ~ 3 # ); OH (TAy-mDA.t ; obv. 1); tA wH.t (geo.; obv. 4 )","Contents: cf. dipinto in house C IV at Deir el-Medina; Bruyère, Rapport sur les fouilles de Deir El Medineh 1934-35 III, 303 and 304, fig. 171.",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
O. Ashmolean Museum 0005,"O. Gardiner 0005; HO 18, 1","Limestone,18 x 23 cms (if facsimile in Hieratic Ostraca is on scale of 1:1). Two sides; obverse: eight lines; reverse: drawing and an illegible line of hieratic. Black ink. Damaged at the left edge, causing some loss of writing. Palimpsest; the text was written over a list of workmen's marks (or 'funny signs') in red ink.",letter,cattle - document - fat - goat - message - pig - silver - village,No indication,"Černý-Gardiner, Hieratic Ostraca , 6 (description) and pl. 18-18A no. 1 (facsimile, transcription); Allam, Hieratische Ostraka und Papyri , 152-153 no. 148 (translation, commentary); Kitchen, Ramesside Inscriptions VI, 211 (transcription); Wente, Letters , 140 no. 177 (translation)",-,"Dyn. 20, Ramesses IV ( Kitchen ); Ramesses IV or Ramesses V (Wente)","Letter instructing the guardian 2ay to buy an ox (see Remarks) for the goddess Mr=s-gr , and not to indulge in using other people's (pots of) fat. Some more not quite clear reproaches, mentioning a sacred town and the addressee's own town (Deir el-Medina?).",n NN Hna Dd (obv. 1); Sa.t (obv. 1),an. ( rwD aA ; obv. 5); pA dmi (geo.; 7 ); Mr=s-gr (f.; deity ; obv. 2); 2ay (sAw ; obv. 1),"Contents: instead of nA in obv. 2 (as read by Černý-Gardiner, Hieratic Ostraca , pl. 18A ; Allam, Hieratische Ostraka und Papyri , 152 ; Kitchen, Ramesside Inscriptions VI, 211 ), read iH n ""ox for"" (cf. Wente, Letters , 140 ).",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0006,"O. Gardiner 0006; HO 20, 2","Limestone, 17 x 17 cms (if facsimile in Hieratic Ostraca is on scale of 1:1). One side with eight lines in black ink. Damaged at the top and right edges, causing loss of writing. Also some small chips missing from left edge.",account,basketry - grain - mat - natron - salt - woodwork,No indication,"Černý-Gardiner, Hieratic Ostraca , 7 (description) and pl. 20-20A no. 2 (facsimile, transcription)",-,-,Account of commodities.,"ir n (1, 2, 3, ~ 5 # , 6, 7, 8); wa nb m-im=sn (2); dmD (8)",-,-,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0007,"O. Gardiner 0007; HO 22,1","Limestone, 12 x 16 cms (if facsimile in Hieratic Ostraca is on scale of 1:1). Damaged. Two sides; obverse: 11 lines of which most, except 6-5 have lost the beginning; reverse: 11 lines, of which the first and the last are lost for the most part, the lines in the upper part of the ostracon have lost the beginning, those in the lower part the beginning and ending. The text of verso continues on the adjacent thickness ( HO 22, 1b), some on the border to the right ( HO 22,1b). On both obverse and reverse a large spXr was written over the text. Black ink. Top obverse = bottom reverse.",account - journal : labour,construction site - stone-work,No indication,"Černý-Gardiner, Hieratic Ostraca , 7 (description) and pl. 22-22A no. 1 (facsimile, transcription).",sw 12 (obv. 6); sw 14 (obv. 9),Dyn. 18 ( Cern y -Gardiner ),"Journal describing the work done by stone-workers in a tomb or temple (?), mentioning work on walls.","ir n (obv. 2, 3, 4, 5, 7, ~ 8 # , rev. 3, 5, 6, 7, 10, ~ 11 # , frgt. 1a 1); m mi.t.t (obv. 9); nty r-xt (rev. 1); nty Hr bAk (obv. 5); nty Hr snfr (obv. 9); nty Hr dri (obv. 2, 7, rev. ~ 6 # , 8); nty Hr dgA (obv. obv. 1, 3, ~ 6 # , 10, ~ 11 # , rev. 4, ~ 5 # , ~ 6 # , ~ 7 # , 9); spXr (over text obv. and rev.); grH (frgt. 1a 1, 2); dmD (obv. 10, frgt. 1a 1)",Imn-Htp sA 4wnr (Hr.y Xr.ty.w-nTr ; rev. 2); 4n-Htp (Hr.y Xr.ty.w-nTr ; obv. 1),-,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0008,"O. Gardiner 0008; HO 31, 5","Buff pottery, 15 x 11 cms (if facsimile in Hieratic Ostraca is on scale of 1:1). One (convex) side, with two columns of nine and two lines in black ink. Complete; see Remarks.",account (?) - list,copper - grain - metalwork - oil - textile - woodwork,No indication,"Černý-Gardiner, Hieratic Ostraca , 10 (description) and pl. 31-31A no. 5 (facsimile, transcription)",-,-,"Account of several commodities, their amounts and possibly a total.",-,-,"Description: same hand as O. Petrie 48 according to Černý-Gardiner, Hieratic Ostraca , 10.",ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0009,"O. Gardiner 0009; HO 24, 4","Limestone, 8 x 13 cms (if facsimile in Hieratic Ostraca is on scale of 1:1). One side with six lines in black ink. Damaged; the top and left edges have broken off, causing loss of writing.",account : transfer,basketry - junior - silver - vegetables - woodwork - sA.w n ms.w,No indication,"Černý-Gardiner, Hieratic Ostraca , 8 (description) and pl. 24-24A no. 4 (facsimile, transcription)",-,H ardly later than dyn. 19 (Černý-Gardiner),List/account of several commodities given by several people.,"ir n (2, 3, 4, 5, 6, 6); rdy.t [...] (1, 5); rdy.t NN [...] (4); dmD HD (4)","Iwn ( ~ 1 # , 5); PA-Sd ( ~ 4 # )",-,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
O. Ashmolean Museum 0010,"O. Gardiner 0010; HO 20, 5","Limestone, 10.5 x 7 cms. Complete. One side, with seven lines in black ink.",account - list : name,-,No indication.,"Černý-Gardiner, Hieratic Ostraca , 7 (description) and pl. XX-XXA (facsimile, transcription)",IV pr.t 21 (1),Dyn. 18 ( Černý-Gardiner ),List of names with amounts; see Remarks.,-,abA (2); Pr-r-Aw (5); Nb-ir.y (4); Nbd (7); 3nmw (6); 7nn (3),Content(s): some of these people are also known from O. Cairo 25662.,ostracon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
