cdli_id,publication,authors,excavation_no,genre,language,period,translation_status,has_atf,atf_line_count,has_translation,transliteration_text,translation_text
P390626,"Archivum Anatolicum 3, 131ff.","Günbatti, Cahit",kt j/k 097,,Akkadian,Old Assyrian (ca. 1950-1850 BC),uncertain,True,66,True,"_lugal_ lugal-ke-en6 _lugal_ | a-ki-di2-e re-be-tim _lugal_ | da-num sza isz-ti2 i-le-e | e-ta-wu-ni {d}iszkur da-nu-tam2 | i-di2-szu-ma isz-tu3 s,i2-it | sza-am-szi2-im a-di2 e-ra-ab2 | sza-am-szi2-im ma-tam2 as,-ba-at-ma | i-na u4-mi3-im isz-te2-en6 | a-na 7(u) a-la2-ni ka3-ka3-am a-di2-in | ru-ba-e-szu-nu u2-s,a-bi4-it u3 a-li-szu-nu | u2-ha-li-iq {d}iszkur be-el e-mu-qi2-im | u3 esz18-dar be-la2-at ta-ha-zi-im | at-ma s,a-bi4-tam2 a-mu-ur-ma li-bi4-tam2 | a-na na-ri-im a-di2-ma i-na | la2-sa3-mi3-a mu-sa3-ri i-bi4-ti2-iq-ma | za-ar-a-am asz2-ta-ka3-an-ma al-su2-ma | s,a-bi4-tam2 as,-ba-at li-bi4-tam2 | i-ma-e u2-sze2-li {d}iszkur u3 esz18-dar | at#-[ma] _1(disz) li#-im gu4 hi-a_ 6(disz) li-me-e | _udu-hi-a_ u2-mi3-sza-ma lu u2-t,a-ba-ah | 7(disz) li-me-e qa2-ra#-du-a sza i-ra-tim | u2-mi3-sza-ma ma-ah-ri-a e-ku-lu-ni | 3(disz) li-me-e la2-si2-mu-u2-a | sza ar-ka3-tim e-ku-lu-ni | _1(disz) li-im_ sza-qi2-u2-a | u4-mi3-sza-ma mu-ha-am | sza kur-ur-si2-na-tim a-di2-i | sza-ba-im e-ku-lu-ni | _tir_-tu3 i-ig-re-e-ma | 7(disz) li-me-e qa2-ra-du-a | i-ra-tim e-ku-lu a-na | wa-ar-ki-im i-ir-tum | la2 ik-szu-ud-ma a-la2-ap2-szu | ku-sza-ma-ni-a-am sza ku-si2-i-szu | it,-bu-uh3-ma a-na wa-ar-ki-im | i-ir-tam2 i-di2-in nu-hi-ti2-mi3 | ku-ur-<si2>-na-am u2-ri-ir-ma | a-na ar-ni-szu _1(disz) me-et gu4 hi-a_ | _2(disz) me-et udu-hi-a_ it,-bu-uh3-ma | ur-di2-a u2-sza-ki-il5 {d}iszkur | u3 esz18-dar at-ma _mu 7(disz)-sze3 iti-kam_ | u3 sza-pa2-tam2 i-na i-ki-il5-tim | qa2-du um-me-ni-a lu u2-szi2-ib | i-na wa-s,a-i-a sza _na4 gug_ | u3 _na4 za-gin3_ qa2-nu-a-am | lu ar-ku-us2-ma a-na ma-tim | lu u2-za-iz sza-du-a-am hu-ma-nam | a-szi2-ni-szu am-ha-su2-ma ki-ma | si2-ki-tim i-ba-ri-szu-nu s,a-al-mi3 | u2-sza-zi-iz ru-ba-am | sza tu3-uk-ri-isz masz-kam u2-la2-bi4-isz | hu-du-ra bi4-be-na-tim qa2-qa2-da-ti2-szu-nu | asz2-ku-un a-la2-szi2-am ki-ma | si2-ni-isz-tim qa2-qa2-da-ti2-szu-nu | ak-tu3-um sza a-mu-ri-e | ki-ma a-pi3-szu-nu sza ma-t,im | i-sza-ar-szu-nu aq-t,i2-i sza ki-la2-ri-e | i-mar-szi2-im qa2-qa2-da-ti2-szu-nu | ar-ku-us2 sza-ni-um ka3-ni-szi2 | su2-tu3-hi-szu-nu u2-sze2-er | sza ha-tim qa2-ba-al-ti2 qa2-qa2-da-ti2-szu-nu u2-sza-ag-li-ib lu-uh3-me-e | tu3-di2-tam2 u2-di2-id gu5-ti2-tam2 lu-lu-am u3 ha-ha-am su2-tu3?-hi?-szu-nu u2-sza-ri | 4(disz) zi-qi2 sza-ma-e i-qa2-ti2-a al-pu-ut mi3-na-am i-t,up-pi3-im | lu-sza-am-i-id a-nu-um la2 i-de8-a-ni ki-ma lugal a-na-ku-ni | ma-tam2 e-li-tam2 u3 sza-ap2-li-tam2 as,-bu-tu3-ni-i | sza-tu3-uk-ki li-sza-ar-bi4-u2 {d}iszkur / _lugal_","King, Sargon, king of Agade of the broad squares, strong king, who negotiates with the gods. Adad gave him strength, and from east to west I seized the land. In one day I fought against 70 cities; their princes I took prisoner and their cities I destroyed. By Adad, the lord of strength, and Ishtar, the lade of battle, I swear (to it). I saw a gazelle and I threw a brick into the river. During my running the inscription was loosened, I set up the inscription. I ran and caught the gazelle. (Then) I raised the brick from the water. By Adad and Ishtar I swear (to it). 1000 oxen and 6000 sheep I did indeed slaughter daily. 7000 of my heroes who daily eat breast-meat before me, 3000 of my scouts, who eat rump-meat, 1000 of my cupbearers, who daily eat the top part of the lower leg up to the roasted part ... invited. 7000 of my heroes ate breast-meat. There was not enough breast-meat for the rear. His ox, the ... of his throne, he slaughtered and he gave the breast-meat to the rear. My cook distributed the cuts of meat. As a punishment 100 oxen and 200 sheep he slaughtered, and he fed it to my servants. By Adad and Ishtar I swear (to it). For seven years, one month and 15 days I stayed with my creditors at the meal. Upon my leaving, I did indeed bind a rod of carnelian and lapis lazuli, and I did distribute it over the land. At mount Amanum, which I defeated twice, i set up a statue like a foundation peg in its middle. The prince of Tukrish I dressed with a skin. In Hutura, I placed ... on their heads. I covered their heads like that of a woman with an Alasian (cloth). Those of Amurru, like their fathers, their ... of the land, I finished. Those of Kilaru I bound their heads in a bundle. Again, the people of Kanesh their ... I let loose. Those of Hatu, the midst of their heads I skinned. Of Luhme the toggle-pin I sharpened, the Gutian one. Lullum and Hahhum, their ... I made rich. The four posts of heaven I touched with hand. Why should I enlarge what is on the tablet? Anum does not know how I am king, (and) how I took the lower and the upper country. May Adad, the king, make my offering abundant."
P361473,"22nd Congress Istanbul, 20","Balkan, Kemal",kt a/k 0084,,,Old Assyrian (ca. 1950-1850 BC),no translation,False,0,False,,
P361474,"22nd Congress Istanbul, 21","Balkan, Kemal",kt a/k 0320,Literary,,Old Assyrian (ca. 1950-1850 BC),no translation,True,9,False,"gi-mi gi [(x)] | gi bu-uk-ru | a-pi3-im sza-ap!-li-isz | er-s,a-tum u2-ra-su2 | e-li-isz sza!-ra-ta-szu | i-ha-ni-[ma] | [x-x-(x)]-ba-at | [x-x-(x)]-ze-e | [x-x-(x)-si2]-in",
P361245,4. HethKongr. 109 kt 98/k 107,"Donbaz, Veysel",kt 98/k 107,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,16,False,7(disz) 7(disz) 1(u) 5(disz) 7(disz) 7(disz)# 7(disz)# 7(disz)# | 7(disz) 7(disz) 7(disz) 7(disz)# 7(disz)# 7(disz) 7(disz) | ig-ra-am ku#-ra-a | 1/2(disz) 1/6(disz) 1(u) 5(disz) 7(disz) 7(disz) 7(disz) | 7(disz) 7(disz) 7(disz) 7(disz) 7(disz) 7(disz) ig#-ra-am | {d}utu-na-ku 1/2(disz) 1(u) 5(disz) 7(disz) | 7(disz) 7(disz) 7(disz)# ig-ra-am | ki-ri 1(u) 7(disz) 7(disz) 7(disz) 7(disz) 7(disz) 7(disz) 7(disz) | . ma#-as#-ha-ra-ti2 | . a-szur3-be-la2-ma-si2 | . _dumu_ e-na-am | . 1/6(disz) 7(disz) 7(disz) 7(disz) [ma-as]-ha-ra-ti2 | . _ir_ ad-{d}utu | . 1/4(disz) ma-as-ha-ra-ti2 | . ha-tu3-szi2-il5 | . a-qa2-qa2-da-ti2 ha-ni!,
P361246,4. HethKongr. 109 kt 98/k 108,"Donbaz, Veysel",kt 98/k 108,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,13,False,1(disz) _gin2_ a-szur3-ma-lik | 1(disz) 1(u)-e a-na-ku | 5/6(disz) _gin2_ a-nu-nu | 1/2(disz) _gin2_ szar-ni-ik-szu | 1(disz) la2 1/2(disz) _gin2_ | ha-tu3-szi2-il | 6(disz) la2 1/4(disz) _gin2_ | i-be-et e-na-a-szur | 2(disz) la2 1/4(disz) _gin2_ | i-na-ar | 4(disz) 1/4(disz) _gin2_ a-nu-nu | 1(disz) 1/2(disz) _gin2_ a-ni | 1(disz) 1/4(disz) _gin2_ da-[...],
P361247,4. HethKongr. 110f.,"Donbaz, Veysel",kt 98/k 126,Letter,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,13,False,"um-ma pi3-la2-ah-su2-en | a-na i-ku-pi3-a | qi2-bi4-ma 8(disz) _gin2 ku3-babbar_ | sza ta-di2-na-ni | a-na hu-bu-li-ka3 | a-na szu-hu-bur a-di2-in | x n _ma-na-ta_ | [pi3-la2]-ah-su2-en6 | [... lu]-s,i2-ib | . [...] _ku3#-babbar_ a-na szu#-hu#-bur | . la2 a-di2-in | . 8(disz) _gin2 ku3-babbar_ | . a-sza-qa2-la2-ku!",
P361248,4. HethKongr. 111,"Donbaz, Veysel",kt 98/k 118,Letter,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,21,False,a-na i3-li2 u2 a-lim{ki} qi2-bi4-ma | um-ma _dam-gar3_-ru-tum-ma | sza an-nu-ti3 ti2-de8-a a-tu3-nu | ki-ma ha-ra-na-tum sza-ap2-sza-qam2 | im-ta-al-a-ni a-szu-mi3 si-hi-tim | sza ni-qi2-im ki-ma ha-ba-tu3 | i-ta-ab2-<szi2>-u2-ni _sa2-tu_-e u2-ka3-lu-ni | i-ta-ab2-u2-ni | [...] sza-ap-sza-qam2 | _illat_-tum# sza-[...] | [...]-na#-tim i-ta-qi2-ka3 | [...] sza i-li-[(x)]-mu | [...]-tim# | . [...] | . [...] x x si#-hi#-tim# | . sza bu#-lu-e pa2-ni-szu ur-[...] | . u2 1(disz) _gin2 ku3-babbar_ sza i-na | . ni-qi2-im ne2-zi-ba-ni | . pa2-al-ha-ni a-na sze2-e | . mi3-ni-e e-ri-u2-tum-ma | . ne2-nu i-na sza-ap-ki2,
P361249,4. HethKongr. 112;,"Donbaz, Veysel",kt 98/k 121,,,Old Assyrian (ca. 1950-1850 BC),no translation,True,18,False,"2/2(disz) _ma-na ku3-babbar_ | s,a-ru-pa2-am i-s,e2-er | ha-nu-nu _dumu_ en-um-a-szur | li2-qe2-ep _dumu_ puzur2-esz18-dar i-szu | _iti-kam_ ab2 sza-ra-ni | li-mu-um szu-ra-ma | 1/3(disz) _ma-na ku3-babbar_ a-na | 1(disz) sza-na-at i-sza-qal | 1/3(disz) _ma-na ku3-babbar_ a-na | a-na 2(disz) sza-na-at i-sza-qal | szu-ma la2 isz-qu2-ul | ki-ma a-wa-at | ka3-ri-im i-na _iti-kam_-im | a-na 1(disz) _ma-na_-im <1(disz)> 1/2(disz) _gin2-ta_ s,i2-ib-tam2 | u2-s,a-ab | _igi_ szu-isz-ha-ra | _dumu_ ku-ra-ra | _igi_ id-na-a _dumu_ a-szur-i-mi3-ti2!",
P389654,"?? CT 02, 27 / LB1211 / 1234",,,Letter,,Old Assyrian (ca. 1950-1850 BC),no translation,False,0,False,,
P360975,"AAA 1/3, 01","Pinches, Theophilus G.",,Letter,Akkadian,Old Assyrian (ca. 1950-1850 BC),no translation,True,33,False,"a-na {d}en-lil2-ba-ni | qi2-bi-ma / um-ma | ta-ri-isz-ma-tum-ma | a-szu-mi3 _e2_-tim sza wa-asz2-ba-ni-ni | ki-ma _e2_-tum an-hu-ni | ap2-la2-ah-ma li-bi-tam2 | i-na di2-asz2-i-im usz-tal-bi-in-ma | e-me-ra-am / e-te2?-me er / a-szu-mi3 | gu5-szu-ri sza ta-asz2-pu-ra-ni | _ku3-babbar_ sze2-bu-lim! sze2-bi-lam | a-na-kam gu5-szu-ri li?-[...] | . [...]-ru-um i?-[...] | . u2-sa3-pa2-ah-ma ta-asz2-pu#-[...] | . a-hi a-ta a-na-ku a-na [...] | . u3 a-ta a-na ma-num-[...] | . a-la2-ki-ka3 / _ku3-babbar_ zi-tam2 sza# _e2#?_ | . a-bi-ni ta-la2-ma-ad-ma li-ba-ka3 | . u3 li-bi4 / i-nu-a-ah / a-na | . ta-ki!-li u3 li-sza-nim | . la2 ta-la-ak / i-na pa2-ni / wa-s,a-i-ka3 | . a-szu-mi3 ka3-li-ti2-ni tu3-na-hi | . um-ma a-ta-ma a-na _e2 dingir_-ni | . a-bi-sza la2 tu3-sze2-ri-szi2 qa2-ti2 ki-ma | . i-na _e2_-tim lu tu3-sze2-szi2-ib-ma _e2_-tam2 | . war-ka3-at-ki lu / ta-s,ur ki-ma tu3-us,-ni | . ma-ti2-ma ba-za-sza u3 szi2-la-sa2 / u2-la | . ib-szi2 / a-ni / isz-tu3 _u4 8(disz)-kam_ | . isz-ti2-a wa-[s,a-a-am] la2 ta-mu-wa | tu3-usz-te2-s,a-ma a-na _e2_ a-bi-sza | mu-szi2-a-tim ta-ta-na-la-ak-ma [...] | la2 dam-qa2-tim asz2-ta-na-me-szi2-ma [...] | a-wa-ti2 sza-ma-a-am u2-la | ta-mu-wa",
