doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
britmus.apis.58992,,,,britmus.apis.58992,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.58993,,,,britmus.apis.58993,Legal text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.58994,,,,britmus.apis.58994,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59064,,,,britmus.apis.59064,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59065,87671,87671,o.sarga;;191,britmus.apis.59065,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59066,,,,britmus.apis.59066,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59067,36504,36504,o.sarga;;275,britmus.apis.59067,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59069,36412,36412,o.sarga;;269,britmus.apis.59069,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59070,36364,36364,o.sarga;;217,britmus.apis.59070,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59072,36432,36432,o.sarga;;290,britmus.apis.59072,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59073,36491,36491,o.sarga;;355,britmus.apis.59073,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59074,36510,36510,o.sarga;;374,britmus.apis.59074,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59075,36427,36427,o.sarga;;285,britmus.apis.59075,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59076,,,,britmus.apis.59076,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59077,,,,britmus.apis.59077,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59078,,,,britmus.apis.59078,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59079,,,,britmus.apis.59079,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59080,,,,britmus.apis.59080,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59081,,,,britmus.apis.59081,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59082,,,,britmus.apis.59082,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59083,36331,36331,o.sarga;;147,britmus.apis.59083,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59084,,,,britmus.apis.59084,Financial-legal text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59085,,,,britmus.apis.59085,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59088,,,,britmus.apis.59088,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59089,,,,britmus.apis.59089,Legal text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59091,,,,britmus.apis.59091,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59093,,,,britmus.apis.59093,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59094,,,,britmus.apis.59094,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59096,,,,britmus.apis.59096,Legal text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59097,,,,britmus.apis.59097,Legal-financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59099,36377,36377,o.sarga;;234,britmus.apis.59099,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59101,36370,36370,o.sarga;;227,britmus.apis.59101,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59102,36445,36445,o.sarga;;303,britmus.apis.59102,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59103,,,,britmus.apis.59103,Legal-financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59104,,,,britmus.apis.59104,Legal-financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59105,36388,36388,o.sarga;;245,britmus.apis.59105,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59106,36430,36430,o.sarga;;288,britmus.apis.59106,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59107,,,,britmus.apis.59107,Legal-financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59108,36389,36389,o.sarga;;246,britmus.apis.59108,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59109,,,,britmus.apis.59109,Epistolary text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59110,36386,36386,o.sarga;;243,britmus.apis.59110,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59111,,,,britmus.apis.59111,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59112,36456,36456,o.sarga;;315,britmus.apis.59112,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59113,,,,britmus.apis.59113,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
britmus.apis.59114,36363,36363,o.sarga;;216,britmus.apis.59114,Financial text.,,6thC-8thC,649,Wadi Sarga,cop,Ostraca,,,False
