doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
columbia.apis.1,,,,columbia.apis.1,letter [VI or VII century],"letter to a cleric, perhaps from a layman to be readmitted to comunion.  The same text is copied on the back",500 CE – 690 CE,595.0,"from Thebes, Monastery of Epiphanius. Gift of H.E. Winlock in 1924 to the Metropolitan Museum, MMA inv. 24.6.4. Sold to Columbia University in 1958",cop,,,,False
columbia.apis.10,,,,columbia.apis.10,documentary text? [VI-VII century],,500 CE – 690 CE,595.0,"upper Egypt.  Formerly property of the Metropolitan Museum, unaccessioned, sold to Columbia University in 1958",cop,Ostraca,,,False
columbia.apis.100,,,,columbia.apis.100,letter [VI-VII century],letter from Frange and Moses to Matthew asking to leave everything and come in a great hurry,500 CE – 690 CE,595.0,"provenance unknown.  Purchased by the Metropolitan Museum, MMA inv. 21.2.150.  Sold to Columbia University in 1958",cop,Ostraca,,,False
columbia.apis.101,,,,columbia.apis.101,documentary text [VI-VII century],only a few letters are visible,500 CE – 690 CE,595.0,"provenance unknown.  Purchased by the Metropolitan Museum, MMA inv. 21.2.151.  Sold to Columbia University in 1958",cop,Ostraca,,,False
columbia.apis.102,,,,columbia.apis.102,receipt 92 AD,tax receipt,92 CE,92.0,"from Medinet Habu. Gift of T.M. Davis in 1913 to the Metropolitan Museum, MMA inv. 14.6.101 . Sold to Columbia University in 1958",grc,Ostraca,,,False
columbia.apis.103,,,,columbia.apis.103,account [VI-VII century],acount: it mentions chaff,500 CE – 690 CE,595.0,"from Medinet Habu.  Gift of T.M. Davis in 1913 to the Metropolitan Museum, MMA inv. 14.6.161.  Sold to Columbia University in 1958",grc,Ostraca,,,False
columbia.apis.104,,,,columbia.apis.104,documentary text [VI-VII century],,500 CE – 690 CE,595.0,"from Medinet Habu.  Gift of T.M. Davis in 1913 to the Metropolitan Museum, MMA inv. 14.6.151.  Sold to Columbia University in 1958",cop,Ostraca,,,False
columbia.apis.105,,,,columbia.apis.105,list [VI-VII century],"list of 6 proper names (e.g. Mena, Apakire, Leontios, Ananias)",500 CE – 690 CE,595.0,"from Medinet Habu.  Gift of T.M. Davis in 1913 to the Metropolitan Museum, MMA inv. 14.6.154.  Sold to Columbia University in 1958",cop,Ostraca,,,False
columbia.apis.106,,,,columbia.apis.106,documentary text (Roman),,1 CE – 399 CE,200.0,"provenance unknown.  Purchased by the Metropolitan Museum, MMA inv. 21.2.142.  Sold to Columbia University in 1958",cop,Ostraca; Papyri,,,False
columbia.apis.107,,,,columbia.apis.107,documentary text [I-II century],dated by month and day,99 CE,99.0,"from Medinet Habu. Gift of T.M. Davis in 1913 to the Metropolitan Museum, MMA inv. 14.6.109.  Sold to Columbia University in 1958",grc,Ostraca,,,False
