doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
duke.apis.29885998,,,,duke.apis.29885998,Account of expenses [1st cent. B.C.],"Papyrus account of daily expenses in money for working days from the Herakleopolites(?) (Heracleopolite Nome), Egypt. Includes wages. Recto has an account of transportation (P.Duk.inv 309 R)",99 BCE – 1 BCE,-50.0,,grc,Documentary papyri Egypt 332 B.C.-640 A.D; Accounts Egypt 332 B.C.-640 A.D; Papyri,,,False
duke.apis.29885999,,,,duke.apis.29885999,Account of expenses [2nd cent. B.C.],Papyrus account of daily expenses from Egypt. Possibly the account book of a banker,199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886000,,,,duke.apis.29886000,Account of expenses [2nd cent. B.C.],"Papyrus account of expenses in money from the Herakleopolites(?) (Heracleopolite Nome), Egypt.  Includes wages for workmen employed on dikes",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886001,,,,duke.apis.29886001,Account of expenses [2nd cent. B.C.],"Papyrus account of daily expenses from the Herakleopolites(?) (Heracleopolite Nome), Egypt. Mentions wine",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886004,,,,duke.apis.29886004,Account of expenses [2nd cent. B.C.],"Papyrus account of daily expenses from the Herakleopolites(?) (Heracleopolite Nome), Egypt. Possibly the account book of a banker. Account mentions banker named Chairemon",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886007,,,,duke.apis.29886007,Account of money taxes [2nd cent. B.C.],"Papyrus account of money taxes from the Herakleopolites (Heracleopolite Nome), Egypt. Some taxes on private land. Other taxes intended for guards and river guards. Mentions several villages in the Herakleopolites (Heracleopolite Nome), Egypt",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt Heracleopolite Nome 332-30 B.C; Accounts Egypt Heracleopolite Nome 332-30 B.C; Papyri,,,False
duke.apis.29886008,,,,duke.apis.29886008,Account of money taxes [2nd cent. B.C.],"Papyrus account of daily payments of money taxes from the Herakleopolites(?) (Heracleopolite Nome), Egypt. Includes taxes on orchards of olive trees",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886009,,,,duke.apis.29886009,Account of money taxes [2nd cent. B.C.],"Papyrus account of daily payments of money taxes from the Herakleopolites(?) (Heracleopolite Nome), Egypt",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886012,,,,duke.apis.29886012,Account of taxes in kind [2nd cent. B.C.],"Papyrus account of taxes in kind from the Herakleopolites(?) (Heracleopolite Nome), Egypt. Recto has a draft of a petition (P.Duk.inv. 310 R)",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886014,,,,duke.apis.29886014,Account of taxes(?) [127/126 B.C.],"Papyrus account of taxes from the Herakleopolites(?) (Heracleopolite Nome), Egypt that mentions wheat. Year 44 (127/126 B.C.) is also mentioned",127 BCE – 126 BCE,-127.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886015,,,,duke.apis.29886015,Account of taxes [2nd cent. B.C.],"Papyrus tax account from the Herakleopolites(?) (Heracleopolite Nome), Egypt. A village Thmoin- is mentioned. Verso has an account in Greek (P.Duk.inv. 375 V)",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
duke.apis.29886017,,,,duke.apis.29886017,Account of transportation [1st cent. B.C.],"Papyrus account of wheat shipments as taxes in kind from the Herakleopolites(?) (Heracleopolite Nome), Egypt. Verso has an account of expenses (P.Duk.inv. 309 V)",99 BCE – 1 BCE,-50.0,,grc,Documentary papyri Egypt 332 B.C.-640 A.D; Accounts Egypt 332 B.C.-640 A.D; Papyri,,,False
duke.apis.29886018,,,,duke.apis.29886018,Account(?) [2nd cent. B.C.],"Papyrus account(?) from the Herakleopolites(?) (Heracleopolite Nome), Egypt",199 BCE – 100 BCE,-150.0,,grc,Documentary papyri Egypt 332-30 B.C; Accounts Egypt 332-30 B.C; Papyri,,,False
