doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
fordham.apis.1,699733,699733,zpe;219;137,fordham.apis.1,On the Matter of the Murder of Ptolemaeus,The body of murder victim Ptolemaeus is said to have been found in a well near Poan and Moeris Ibion and to have been sent to the necropolis. The bottom part of the papyrus contains an account of wheat.  The relationship between the two parts is unclear.,2nd c. B.C.,-150,Arsinoite Nome,grc,Papyri,,,False
fordham.apis.14,,,,fordham.apis.14,Demotic Marriage Contract,"Marriage contract dated to the reign of Ptolemy V (but after 199) and containing the so-called ""document concerning money,"" which serves as a security for the ""document of maintenance"" referred to in line 5.  Party A (the man) is probably some kind of artisan.  Party B (the woman) is lost.",199-180 BC,-190,Arsinoite Nome,egy-Egyd,Papyri,,,False
fordham.apis.17,,,,fordham.apis.17,A List of Personal Names,A list of Egyptian names and patronymics.,2nd c. BC?,-150,Arsinoite Nome?,grc,Papyri,,,False
fordham.apis.2,699736,699736,zpe;219;143,fordham.apis.2,Document on Shoe-Shaped Papyrus,"Copy of a letter written by Sarapion, a member of the First Friends and a dioiketes (or hypodioiketes), concerning a death and, it seems, subsequent division of a kleros.  The document also mentions a scribe of the Machimoi whose name no longer survives.",Mid 2nd c. BC,-150,Arsinoite Nome,grc,Papyri; Official Letter,,,False
fordham.apis.20,,,,fordham.apis.20,An Account of Money and a List of Names,"This is a large papyrus containing an account of money on the front side.  The back is dominated by a list with days of the week followed by personal names, a few of which are repeated numerous times.",2nd c. BC?,-150,Arsinoite Nome?,grc,Papyri,,,False
fordham.apis.29,,,,fordham.apis.29,Greek Letter,Letter addressed to Posidonius requesting him to come to the city with his accounts (logoi).,2nd c. BC?,-150,From the Arsinoite Nome?,grc,Papyri,,,False
fordham.apis.3,,,,fordham.apis.3,Letter from Leonides,Left side of a letter from Leonides.  Mentions a man named Democrates.,2nd c. BC?,-150,Arsinoite Nome?,grc,Papyri,,,False
fordham.apis.5,129892,129892,zpe;176;213,fordham.apis.5,A Ptolemaic Petition to the Archidikastes,"A woman named Senyris submits a petition to the chief judge (archidikastes), Demophon, against a man whose name is lost but who is described as the son of Pancrates and father of Senyris?s two children.  She charges the man with breaking his contract of maintenance (a kind of loose marriage contract) and running off with another woman.  The parties to the petition (both Senyris and the man) are Egyptian and the archidikastes, who would have resided at Alexandria, is Greek, illustrating the reach and importance of the Greek judiciary system among the native Egyptian population.  Not many papyri from the Ptolemaic period survive that attest the office of the archidikastes.",Mid 2nd c. BC,-150,Oxyrhynchite Nome,grc,Papyri; Papyri,,,False
fordham.apis.6,,,,fordham.apis.6,Greek Document Mentioning Krokodilon polis,"Fragment of a document that mentions Krokodilon polis, capital of the Arsinoite nome, and refers to a Mikythos and Sokomenis.  The former name is relatively uncommon in papyri.",2nd c. BC?,-150,"Arsinoite, Krokodilon Polis",grc,Papyri,,,False
fordham.apis.7,,,,fordham.apis.7,Part of Two Columns from an Official Register,"Remains of an official register, perhaps of property.  Mention is made of someone who died childless.",2nd c. BC?,-150,Arsinoite Nome?,grc,Papyri,,,False
fordham.apis.8,,,,fordham.apis.8,Greek Papyrus,A much-worn fragment mentioning on one side an individual named Panontos and on the other an attendant of the public archive (hyperetes bibliothekes).,1st/2nd c. AD,100,Provenance Unknown,grc,Papyri,,,False
