doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
gothenburg.apis.1,,58907,,gothenburg.apis.1,Fragment théologique,Homily or tract,VI-VII A.D.,599,Provenance unknown (Province of Egypt),grc,Papyri; Theology; Magic,,,False
gothenburg.apis.10,17554,17554,p.got;;4,gothenburg.apis.10,Requête aux decaprotes,Application to the decaproti. A bouleutes writes to the decaproti asking for help with the collecting of arrears of taxes(?),28 Sept./27 Oct. 253 A.D.,253,"Provenance unknown or possibly Psonin, village in the Panopolite nome, Province of Egypt",grc,Papyri; Application; Tax-collecting?; Change of land?; Changes in tax list?,,,False
gothenburg.apis.100,,,,gothenburg.apis.100,Arabic text,,VII-X A.D.,824,Provenance unknown (Province of Egypt),ar,Papyri,,,False
gothenburg.apis.101,,,,gothenburg.apis.101,Arabic text,,VII-X A.D.,824,Provenance unknown (Province of Egypt),ar,Papyri,,,False
gothenburg.apis.102,,,,gothenburg.apis.102,Arabic text,,VII-X A.D.,824,Provenance unknown (Province of Egypt),ar,Papyri,,,False
gothenburg.apis.103,,,,gothenburg.apis.103,Arabic text,,VII-X A.D.,824,Provenance unknown (Province of Egypt),ar,Papyri,,,False
gothenburg.apis.104,,,,gothenburg.apis.104,Arabic text,,VII-X A.D.,824,Provenance unknown (Province of Egypt),ar,Papyri,,,False
gothenburg.apis.105,,,,gothenburg.apis.105,Arabic text,,VII-X A.D.,824,Provenance unknown (Province of Egypt),ar,Papyri,,,False
gothenburg.apis.106,,65818,,gothenburg.apis.106,Fragment épique,,IV B.C.-VII A.D.,154,Provenance unknown (Province of Egypt),grc,Papyri; Epic,,,False
gothenburg.apis.107,30695,30695,p.got;;99,gothenburg.apis.107,Document,Agreement between Aurelius Heron and Aurelius Pebos,III-IV A.D.,299,Provenance unknown (Province of Egypt),grc,Papyri; Agreement,,,False
gothenburg.apis.108,32848,32848,p.got;;13,gothenburg.apis.108,Lettre à un épistate,"Letter to Herakleios, epistates in Lykopolis, with complaints about the treatment of a certain Heron who is in Lykopolis to arrest a dealer in unguents, named Ktistes.",IV A.D.,349,"Lykopolis, Sebennytic nome, Province of Egypt",grc,Papyri; Letter; Detention,,"To my lord brother Herakleios. Apollonios (is greeting you). Having heard that you have come under the same constraint, I was really not pleased, except so far as it is possible, with the help of God, for us to strive to borrow this too. I cannot tell how much my brother Heron suffered when he was in Lykopolis to arrest Ktistes, the dealer in unguents. Since, as in an enemie's city, so everybody approached him so that he was almost killed by your fellow-citizens. However, since you are their epistates, I have handed over the present situation, although I am able to demand legal remedy from the authorities. But in order that this affair will be finished and the command accomplished, I wish above all, my lord brother, that it will really be possible for you, through the authorities, to send this Ktistes away, when he has first given security to you so that he will not be able to escape again. (2nd hand:) I wish you good health, my lord brother ... Verso: To my lord [brother] Herakleios ... Apollonios",True
gothenburg.apis.109,36158,36158,p.got;;100,gothenburg.apis.109,Fragment indéterminé,,VI A.D.,549,Provenance unknown (Province of Egypt),grc,Papyri; Documentary,,,False
gothenburg.apis.11,17555,17555,p.got;;5,gothenburg.apis.11,Propositon pour une liturgie,Proposal from comarches to the praepositus about a liturgy,"August 12, 318 A.D.",318,"Possibly Panopolites, village in the Panopolite nome, province of Egypt",grc,Papyri; Proposal; Comarchy; Praepositus,,"To the praepositus of the 2nd district from the comarchs of the village ... We propose and present the two men mentioned next, since they are well off and servicable for the comarchy. We answer for them and present them without any reproach. ... When they have been questioned we will agree. ... In the consulate of our lords Licinius Augustus, for the 5th time, and Crispus, the most renowned Caesar, for the 1st time, on Mesore the 19th. We propose these for comarchs, as it has been presented. I wrote on behalf of those being illiterate.",True
gothenburg.apis.110,32847,32847,p.got;;8,gothenburg.apis.110,Indication de la position d'une terre,Information about the position of a piece of land,IV A.D.,349,Provenance unknown (Province of Egypt),grc,Papyri; Statement; Position of land,,"Since you wrote to me about the neighbourhood: To the South a canal, to the North the land of Heraion, son of Heron, to the West the land of Pe..., son of Harpaesis, (land of Pe...) and of others, to the East the land of Titianos, son of Ptolemy.",True
gothenburg.apis.111,30693,30693,p.got;;11,gothenburg.apis.111,Fin d'une lettre chrétienne,"Christian letter in which someone is asked to help his sisters in Christ, just as it is his duty to help his brothers in Christ.",III - IV A.D.,262,Provenance unknown (Province of Egypt),grc,Papyri; Private Christian letter; Request for help for women,,"I and those with me are greeting you in the name of our Lord. Just as it is your duty to help all the brothers in the name of our Lord, you shall give your love to these sisters, too, who are brought to the epitropos, through what you will offer them. In the name of our Lord, I wish that you are well.",True
gothenburg.apis.112,30696,30696,p.got;;101,gothenburg.apis.112,Fragment indéterminé,,III A.D. (?),249,Provenance unknown (Province of Egypt),grc,,,,False
gothenburg.apis.113,30694,30694,p.got;;12,gothenburg.apis.113,Lettre concernant un héritage,Private letter concerning legacy,III - IV A.D.,300,Provenance unknown (Province of Egypt),grc,Papyri; Private letter; Legacy; Diakatoche,,"To my brothers, greetings. ... I have learned all ... 29th of Pachon, from Triadelphos ... having got a letter from you, presbyteros ... Make immediately all clear to me and send the diakatoche, as it is called, when you have signed it, so that I can sign and deliver it; in this way I will thereafter always observe the marriage-contract, so that they will not wish to do anything through petitions. You should inquire into what they want or prefer to do and write to me [[since I think it seems strange ]]. May they notice that I am here for other reasons and that I do not have connections with any other person in order to be free from concerns ... ... Harpokration",True
gothenburg.apis.114,30697,30697,p.got;;102,gothenburg.apis.114,Fragment indéterminé,,III-IV A.D.,299,Provenance unknown (Province of Egypt),grc,Papyri; Documentary,,,False
gothenburg.apis.115,30698,30698,p.got;;104,gothenburg.apis.115,Fragment de lettre,,III A.D.,274,Provenance unknown (Province of Egypt),grc,Papyri; Letter,,,False
gothenburg.apis.116,30697,30697,p.got;;103,gothenburg.apis.116,Fragment indéterminé,,III-IV A.D.,299,Provenance unknown (Province of Egypt),grc,Papyri; Documentary,,,False
gothenburg.apis.117,36159,36159,p.got;;105,gothenburg.apis.117,Comptes,"Four accounts, two on the recto and two on the verso",VI-VII A.D.,599,Provenance unknown (Province of Egypt),grc,Papyri; Accounts; Money,,,False
gothenburg.apis.118,27213,27213,p.got;;106,gothenburg.apis.118,Fragment indéterminé,,II-III A.D.,199,Provenance unknown (Province of Egypt),grc,Papyri; Documentary,,,False
gothenburg.apis.119,27214,27214,p.got;;107,gothenburg.apis.119,Lettre,,II A.D.,149,Provenance unknown (Province of Egypt),grc,Papyri; Letter,,,False
