doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
leidenpapinst.apis.0002,13701,13701,p.warr;;2,leidenpapinst.apis.0002,Notice of birth,"Birth certificate in the usual hypomnema form addressed to the amphodarch of the Arabs-quarter. Herakleides, the child to be registered, is in his third year.","AD 72, July 11",11.0,Arsinoite nome,grc,,,"(From P.L.Bat. I 2) [To Apollonios, the amphodarch of the] Arabs-[quarter] – from Herakleios son of Sambas, the son of Sokeus, his mother being Herakleis (5) daughter of Diphilos, registered in the Arabs-quarter. I return my son Herakleides born to me by my wife Tamaron, (10) daughter of Herakleios, born in the 2nd year of Imperator Caesar Vespasianus Augustus and now in his 3rd year. (15) I deliver the return. (Subscription of the amphodarch. Date).",True
leidenpapinst.apis.0003,17564,17564,p.warr;;3,leidenpapinst.apis.0003,Application for transfer of taxation,"Flavius Prosdokios asks for a change in the registers of taxation. Apparently his debtor, Julianus, has granted him a mortgage on a piece of ground; as long as this deed of mortgage will be valid, taxes due for the allotment will be chargeable to Prosdokios, who requests to have them transferred to his own name.","Ca. AD 530; perhaps before ca. 504, J.G. Keenan (BL VII)",,Oxyrhynchus,grc,,,"(From P.L.Bat. I 3) [In the consulship of --, in the city of Oxyrhynchus. To the office of the taxes collection] in the division and estate of Timagenes of illustrious memory, through Philoxenos, assistant to the collector of taxes in the same city, from Flavius Prosdokios, a centenarius (5) belonging to the company of the most brave and sacred leontoclibanarii, son of Satornilos of excellent memory, who has put his signature below through an official of the same city of Oxyrhynchus. Remove from the public lists in your custody the imposts payable on eighteen arurae of private land, beginning with the fourteenth indiction, on behalf of Julianus (10) the admiral, son of Martyrios, and enter and register them to my name, since I pay the imposts payable on the eighteen (15) arurae of private land, as has been said, beginning with the fourteenth indiction, for the time to come, as long as the deed of mortgage which Julianus has drawn up on my behalf, will be valid. (20) And for the security of the public treasury I have had this application for registration written with my signature as aforesaid. I, Aurelius Philoxenos, assistant to the collector of the taxes in the same estate of Timagenes, have received the original application. (25) (Verso:) Application for registration of the honourable Prosdokios, concerning 18 (arurae) of private land.",True
leidenpapinst.apis.0004,17565,17565,p.warr;;4,leidenpapinst.apis.0004,Testimonial for enforced service,Testimonial concerning the penthemeros duty,"AD 139, September 2-6",6.0,Arsinoite nome,grc,,,"(From P.L.Bat.I 4, with BL III) In the third year of Imperator Caesar Titus Aelius Hadrianus Antoninus Augustus Pius. Dionysios son of En--, the son of Dionysios, his mother being Taphois, has worked for the embankment-service of the 2nd year from the 4th till the 8th of Thoth at - - navitable canal (5) of Dionysias. I, Apollonios, the katasporeus, have attested this.",True
leidenpapinst.apis.0005,13702,13702,p.warr;;5,leidenpapinst.apis.0005,Receipt of a shipper,"The sailor Achais takes over a cargo of wheat, probably from sitologi, in order to convey it from Kerke to Alexandria and to deliver it there to the proper officials. The loading is controlled, amongst others, by a committee of euschemones. The sailor's promise to deliver the cargo is guaranteed by a certain Didymos. The receipt itself (1-13) seems to have been written by a clerk in the office of the sitologi themselves. The second part (14-23) contains the subscription written by a clerk Serenos on behalf of Achais. Then follows, again in the first hand, a short description of Serenos.","AD 154, November 28",28.0,Arsinoite nome,grc,,,"(From P.L.Bat. I 5) - - say 4503 artabae of wheat - - which have been sent to me (?) - - with the assistance of the (5) appointed - - together with the representatives of the euschemones. I shall give them back as has been declared above; and I shall deliver the cargo safe and pure and (10) free from any damage caused by the crew, at the administration in Neapolis to the officials involved. The 18th year of Imperator Caesar Titus Aelius Hadrianus Antoninus Augustus Pius, Hadrianus 2d. I, Achais son of Pathres, the son of Petepnouthis, (15) with the guarantee of Didymos also called Hermaios, and with the assistance of me, the clerk Serenos, have had measured and loaded at the harbour of Kerke in the sitologus-office of Philadelphia (19) the four thousand five hundred and three <artabae> of wheat together with 1 ½ artabae extra for every hundred; and I shall deliver them as has been declared above. Serenos, 25 years old, without distinguishing marks.",True
leidenpapinst.apis.0006,13703,13703,p.warr;;6,leidenpapinst.apis.0006,Contract of deposit,Herakleides receives from Athene a certain amount of gold and clothes in order to keep them at his own risk; he shall give them back as soon as Athene asks for the return. This in fact concerns Athene's dowry.,AD 198-199,199.0,Ptolemais Euergetis,grc,,,"(Translation from P.L.Bat. I 6) In the 7th year of Imperatores [Caesares Lucius] Septimius Severus [Pius Pertinax] Arabicus Adiabenicus Parthicus [Maximus and Marcus Aurelius] Antoninus Pius Augusti, [month] the (5) 1[.]th day at Ptolemais Euergetis [in the Arsinoite nome.] Herakleides - - - of Heron, registered in the Dionysios-Places-quarter, [aged about . .] years, having a scar on the small finger of the left hand, acknowledges [to Athene, daughter of - - - the son of - - los,] registered in the village of Hiera Nesos [in the Polemon district, aged about .. years, having a scar] (10) on the right brow, with the assistance of - -, [registered in the] Dionysios-Places-quarter, aged about .. years - - -, that the acknowledging party [Herakleides has received in cash] four tetartae of gold - - - and clothes to a value of [- - - silver drachmae,] (15) the whole of it being a deposit exempt [from every risk] and free from any deduction. And the acknowledging party Herakleides [shall keep (?) it and give it back] to Athene whenever she wishes, [without delay] or subterfuge, she having the right of execution (20) as fixed for reclamations, upon Herakleides and all his property [whatsoever it may be,] as if in accordance with a legal decision. Signatory [on behalf of the acknowledging persons] who declare themselves illiterate, - - aged about 2 [.] years, without ditinguishing marks - -.",True
leidenpapinst.apis.0007,13111,13111,p.sakaon;;92,leidenpapinst.apis.0007,Receipts for the Annona Militaris,"A number of tax receipts on one papyrus, written by three different officials.",AD 336/337,337.0,Theadelphia,grc,,,"(Translation: P. Sakaon 92) ... for the account of the village of Theadelphia, for the ninth indiction, for the recruits, four hundred talents (400 tal.), signed. And likewise, the said persons paid for the account of the villagers of Theaselphia, for the ninth indiction, for the recruits, one hundred talents (100 tal.), total. I, Ploutammon, acting through me, Theodotos, clerk have signed. Phamenoth 27th. Heron and Kanaoug, from the village of Theadelphia, delivered for the tenth (10th) indiction four (4) fowls, ten (10) eggs, one and sixteen thirtieths (1 16/30) of a linen cloak, total. I, Eulogios, have signed. Phamenoth 27th. Heron and Kanaoug, from the village of Theadelphia, paid for taxes in money, due to the department of the katholikos, for the tenth indiction, three hundred talents of silver (300 tal.). I, Kyrillos, secretary have signed. The 28th Likewise another one hundred talents (100 tal.). I, Kyrillos, have signed.",True
leidenpapinst.apis.0008,13704,13704,p.warr;;8,leidenpapinst.apis.0008,Agreement for payment of arrears,"The brothers Aunes and Papontos, styled Persians of the epigone, agree to pay to the Roman citizen M. Antonius Aper certain arrears of rent for arable land","AD 86, December 21",21.0,Philadelphia,grc,,,"(Translation from P.L.Bat I 8) The sixth year of Imperator Caesar Domitianus Augustus Germanicus, the twenty-fifth of the month Peritios, being the twenty-fifth of Choiak, at Philadelphia in the division of Herakleides of the Arsinoite nome. Aunes, aged about fifty-two, having a scar on the little finger of the left hand, and Papontos, aged about (5) fifty, having a scar on the left thumb, both sons of Petermouthis, inhabitants of the hamlet of Nestos in the said division, Persians of the epigone and mutual sureties for payment, acknowledge to Marcus Antonius Aper of the tribe Quirina, son of Marcus, aged about twenty-three, with no distinguishing mark, that they the acknowledging parties will perforce pay to Marcus Antonius Aper of the tribe Quirina or to his agents the arrears debited (10) to them on account of rent up to and including the past fifth year of Imperator Caesar Domitianus Augustus Germanicus for the twenty-four arurae in the holding of M. Antonius at the aforesaid village of Philadelphia, namely (15) 181 ½ artabae of wheat by the quarter measure of Philippus belonging to M. Antonius and 87 artabae of barley, in five years from the present year in the month Payni annually in equal parts, together with the rent measured out by them, with no delay or subterfuge; and if the acknowledging parties do not pay as herein written, they shall forfeit to M. Antonius the amount increased by one half and (20) M. Antonius shall have the right of execution on the acknowledging parties individually and upon whichever of them he may choose and upon all their property as if in accordance with a legal decision, irrespective of what is further due from Papontos separately to the same creditor, namely three arurae of fodder for the pasturage of sheep, the leases of holdings from them to Marcus remaining in force. The subscriber for the acknowledging parties is Dioskoros son of Kephalion, aged about 63, having a scar on his left wrist. (24) (Signatures of the contracting parties and the subscriber; note of registration; title on the verso)",True
leidenpapinst.apis.0009,13704,13704,p.soter;;25,leidenpapinst.apis.0009,Repayment of Loan / Staatsnotarielle Rückzahlungsquittung eines Darlehens,"Artemeis, daughter of Apollonios acknowledges to Thaisarion, daughter of Chares, 
                                                                    with as  guardian her son Chares, son of Soterichos, the receipt of 200 
                                                                    drachmas and 4 artabas of grain, for a debt of her deceased husband 
                                                                    Soterichos",AD 109,109.0,Theadelphia,grc,,,"(Translation from P. Soterichos 25) Im 12. Jahr des Imperator Caesar Nerva Traianus Augustus Germanicus Dacicus, am 30. des Monats Kaisareios, in Theadelphia im Bezirk des Themistes im arsinoitischen Gau. Es erklärt Artemeis, (5) Tochter des Apollonios, etwa vierunddreißig Jahre alt, besonderes Kenzeichen mitten auf der Oberlippe, mit (10) ihrem Blutsverwandten Ptolemaios, dem Sohn des Isidoros, etwa fünfundvierzig Jahre alt, ohne besondere Kenzeichen, als Frauenvormund, gegenüber Thaisarion, Tochter des Chares, etwa fünfundfünfzig Jahre alt, besonderem Kennzeichen am linken Schienbein, als Frauenvormund, daß sie von ihr 200 Silberdrachmen und 4 Artaben Weizen erhalten hat, die der verstorbene Mann der Thaisarion und Vater des Chares, Soterichos, (15) der Sohn des Lykos, der Artemeis noch zu Lebzeiten gemäß einer im 15. Jahr Domitians am 4. des Monats Neos Sebastos im Grapheion von Ptolemais Euergetis abgeschlossenen Homologie schuldete, in welcher Summe 100 Silberdrachmen für das Bewohnen des dem Soterichos gehörenden (20) Häuschens und Höfchens eingeschlossen sind, und daß Artemeis die vorgenannte und aufgelöste Homologie der Thaisarion zur Außerkraftsetzung und Annullierung übergeben hat und daß Artemis und ihre Leute weder betreffs dessen, was sie erhalten hat, wie oben geschrieben steht, einen Anspruch gegen Thaisarion oder ihre Leute haben oder haben werden (25) noch aufgrund einer anderen schriftlichen oder mündlichen Vereinbarung aus früheren Zeiten bis auf den laufenden Tag auf irgendeine Weise. Der Unterschreibende für Artemeis und ihren ihr bestimmten Frauenvormund ist Horion, Sohn des Horion, etwa 28 Jahre alt, besonderes Kennzeichen an der linken Hand. (2. Hand) Ich, Artemis, Tochter des Apollonios, mit meinem (30) Blutsverwandten Ptolemaios, Sohn des Isidoros, als Frauenvormund erkläre, daß ich 200 Silberdrachmen und 4 Artaben Weizen von Thaisarion, Tochter des Chares, erhalten habe, die der frühere, verstorbene Mann der Thaisarion, Soterichos, (35) Sohn des Lykos, aufgrund einer Homologie mir schuldete, die ich ihr zur Außerkraftsetzung und Annullierung auch übergeben habe, und daß ich keinen Anspruch habe, wie oben geschrieben steht. Horion, Sohn des Horion, hat für sie geschrieben, da sie nicht schreiben kann. (3. Hand) Ich, Thaisarion, Tochter des Chares, mit meinem Sohn (40) Chares, Sohn des Soterichos, als Fauenvormund, habe die Quittung in Empfang genommen, wie oben geschrieben steht. Ision, Sohn des Her[ ], hat für sie geschrieben [ ]. (4. Hand) Im 12. Jahre des Imperator Caesar Nerva Traianus Augustus Germanicus Dacicus, am 30. des Monats Kaisareios; registriert in dem Grapheion von Theadelphia. (Verso: 1. Hand) Homologiequittung von Artemeis an (45) Thaisarion.",True
leidenpapinst.apis.0010,17566,17566,p.warr;;10,leidenpapinst.apis.0010,Loan of money upon mortgage,"Two brothers borrow from a priest seven solidi which they want, among other things, to pay taxes. Interest will be paid in kind. The 'nome' (""possession or tenure"") of a plot of land is given as security.",591-592,592.0,Oxyrhynchus,grc,,,"(Translation from P.L.Bat. I 10) [In the name] of our Lord and Master Jesus Christ, [our God and Saviour. In the 10th year of the reign] of our most pious master [and most high benefactor Flavius Mauricius] Tiberius, the eternal Augustus [and Imperator; during the consulate of the same] most pious master, [9th year month, day 10th indiction; (5) in the city of Oxyrynchus. To the most reverend] George, priest [of the holy Church, inhabitant] of this city of Oxyrynchus, [the Aurelii James and Victor,] full brothers, sons [of Phib, their mother being --, inhabitants] of the hamlet of Lucius in the [Oxyrynchite nome, greetings.] (10) We acknowledge that we have received from your [reverence and] have borrowed from hand to hand [out of your house, for our personal] and public urgent needs, seven [solidi of gold,] private standard, [say 7 sol. g. pr. st., which] we shall perforce [repay to your] (15) reverence free from any risk, together with the interest, viz. sixty-four [bundles of grass] from the one and a half arurae [on which we grow] double (?) grass, (the capital) whenever [it will suit your reverence,] the interest of course [in the month of Pachon (?) of the] present 10th indiction. As [a security for] the (20) return we have forthwith mortgaged [in favour of your reverence, according to the right] of pawn and mortgage, the possession of the same one and a half [arurae, lying in our aforesaid] hamlet, at the west of it. And [we shall be free neither] to withdraw the one and a half arurae form [this mortgage before] (25) the full repayment [of the same debt] neither by sale nor by hypothecation, nor [to dispose of it in any other way] to the detriment of the debt, nor [to pretend to have given part] of it without a statement written by your reverence; our possessions being a surety for this [debt.] (30) The bond written in one single copy is [valid] and to the formal question [we have said yes.] (Subscriptions of James, Victor and the notary. Docket on the verso).",True
leidenpapinst.apis.0011,13699,13699,p.warr;;11,leidenpapinst.apis.0011,Lease of land,"Apeis, styled a Persian of the epigone, leases to Herakleides half of a parcel of public land which he is cultivating himself, for the time of one year. The rent of 56 drachmae is paid in advance. The expected subscription of the lessor is missing.","AD 98, September 16",16.0,Karanis,grc,,,"(Translation from P.L.Bat. I 11) The second [year] of Imperator Caesar Nerva Traianus [Augustus] Germanicus, [month] of August, the 19th, at Karanis [in the Arsinoite nome.] Apeis son of Maron, Persian of the epigone, aged about twenty-four years, having a [scar] on the left shin, acknowledges to Herakleides (5) [son of --, having a scar] on the right knee, that he has leased to him Herakleides for the present 2nd year of Imperator Caesar Nerva Traianus [Augustus Germanicus] one arura measured with the schoinion (10) of 96 cubits, of the two arurae of public land or how many they may be, which Apeis cultivates near Patsontis, lying near the Priest's -- in the south part, for the growing of whatever he likes; and that he has received [from] Herakleides by way of payment in advance the [rent's amount,] being fifty-six drachmae, paid immediately from hand to hand out of his house; and that Apeis himself and his agents shall guarantee it to Herakleides and his agents (15) - - free from rent and all taxes; all the agricultural work and the watering being incumbent upon Herakleides. And if [he fails] in anything of this he shall pay the damage and the expences [twice.] Signatory on behalf of the acknowledging party is - - (20) having a scar in the middle of the forehead.",True
