doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
lund.apis.1,14151,14151,p.bacch;;10,lund.apis.1,(Copy of) report to the basilikosgrammateus concerning temple documents that have been  sent,"The presbyter of the priests notifies to theauthorities (to the basilikos grammateus, Hermophilus) that the letter  with a register of priests and a temple inventory  concerning the year in question has been sent.",188 A D,,"Bakchias, Herakleidou meris, Arsinoite nome,province of Egypt",grc,Papyri; Inventory,,"To Hermophilus, basilikos grammateus ofthe meris of Herakleides in the Arsinoite nome, from Peteuris ... presbyter of the priests of Boubastis of the village Bakchias. I have handed in to you a list of priests and a temple inventory ... for the current year which is the 28th of our lord Aurelius Commodus Antoninus Caesar Felix Augustus.; (2nd hand:) Through Hermophilus, on the fifth supplementary day of Mesore.",True
lund.apis.10,,60679,,lund.apis.10,"Iliad VI 156-173, 196-208","Iliad VI 156-173, 196-208",ca 200 A D,200.0,Provenance unknown,grc,Papyri; Literary,,,False
lund.apis.100,,,,lund.apis.100,Contract,Fragment of contract about partial payment of rent or the like,II A.D.,149.0,Provenance unknown,grc,Papyri; Documentary,,,False
lund.apis.101,,,,lund.apis.101,Letter,Letter or certificate in the form of a letter,II A.D.,149.0,Provenance unknown,grc,Papyri; Documentary,,,False
lund.apis.102,,,,lund.apis.102,List of names,List of personal names,II A.D.,149.0,Provenance unknown,grc,Papyri; Documentary,,,False
lund.apis.103,,,,lund.apis.103,List of names,List of names,II A.D.,149.0,Provenance unknown,grc,Papyri; Documentary,,,False
lund.apis.104,,,,lund.apis.104,,,,,"Bakchias, Herakleidou meris, Arsinoite nome, province of Egypt",,Papyri,,,False
lund.apis.105,14153,14153,p.bacch;;6,lund.apis.105,Report to the archive concerning temple documents,Notification to the archive concerning temple documents that have been sent,184 - 192 A. D.,188.0,"Bakchias, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Papyri; List of priests; Temple inventory,,"To ..., having been, by Commodus Antoninus, excellent besides being idios logos, appointed for examination of the inventories and of the incomes of the temple and of the management of the priests. From Peteuris, son of Peteuris and grandson of Mystes and prebyteros of the priests of the famous temple of the great god Soknobraisis of the village of Bakchias. List of priests and temple inventory for the current year, ... of our lord Aurelius Commodus Antoninus Caesar",True
lund.apis.106,,,,lund.apis.106,Documentary text,,Date unknown,199.0,Provenance unknown,grc,Papyri; Documentary,,,False
lund.apis.107,,64316,,lund.apis.107,Anatomical instructions,"Anatomical information about intestines (the blind gut, the rectum and the sphinkter) given in questions and answers",3rd - 4th century A D,299.0,Provenance unknown,grc,Papyri; Sub-literary (anatomy); Blind gut; Rectum; Sphinkter,,"Recto: Why is it called blind gut? Because it does not have an opening, while all the others have an opening and are provided with passages. Why has the blind gut been created? Every ... is pleased at ... furnished by it, as you can understand according to the first argument on the gall bladder. Since, when there is something which is bilious, very pungent and betokening inflammation ... first ... the bladder / vessel, not less is there a danger to life in vomiting of bile, when what is contained is lessened, ... the gall bladder ... Verso: For what reason is it called straightened? Because it lies straight while the others ... revolving themselves in circles ... It is also called the rectum. Where is the closing muscle situated? In the final parts of the rectum. What is it like? With sinews and cartilage. For what purpose has it been created? For contraction ... rectum ... so that not easily ...",True
lund.apis.108,,63054,,lund.apis.108,Zum ägyptischen Tierkult,Holy animals in Egypt,4th September 98 A D,,"Bakchias, Herakleidou meris, Arsinoite nome, province of Egypt",grc,Papyri; Oaths; Holy animals,,,False
lund.apis.109,,,,lund.apis.109,Recto: byzantine record; Verso: Greek shorthand,,II-VI A.D.?,349.0,Provenance unknown,grc,Papyri; Recto: byzantine document,,,False
