doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
nyu.apis.4718,12543,12543,p.nyu;1;3,nyu.apis.4718,Tax receipt,,336-337 CE,336.0,Found at: Karanis,grc,,,,False
nyu.apis.4719,12536,12536,p.nyu;1;18,nyu.apis.4719,Memorandum of Disbursements,Notations of various payments,After 312 or 321 CE,316.0,Found at: Karanis,grc,Papyri; Documentary; Memorandum; Payments; Purchases,,,False
nyu.apis.4720,44548,44548,p.nyu;2;23,nyu.apis.4720,Loan of Money,,"August 13, 326 CE",326.0,From Karanis,grc,Papyri; Documentary; Loan,,"Aurelius Pemes, son of Patas and his mother Tanouphis, from the village of Karanis, about 45 years of age, with a scar on his right shin, to Aurelius Sarapammon, (formerly?) gymnasiarch, councillor, former strategus of the city of the Arsinoites, greetings. I acknowledge through the present document that I have received in loan from you in cash ten talents and three thousand drachmas in silver, in total 10 Tal., 3000 dr., for one month from the present day on, which I shall of necessity return on the 15th of the coming month Thoth, without interest forthwith. And if I fail to return them on the due date, I shall be subject to the (payment of) interest for the surpassing period and on demand you, the said Sarapammon, shall have the right of execution against both me, the acknowledging party Pemes, and against all my property, as if in consequence of a court decision. The document, written in a single copy, must be authoritative and in answer to the formal question I replied positively. In the consulship of our lord Constantinus Augustus (consul) for the 7th time and our lord Constantius, the most noble Caesar (consul) for the 1st time, Mesore 20. (M. 2) I Aurelius Pemes, have received the said ten talents and three thousand drachmas in silver and I shall return them on the due date in full as stated above. I, Aurelius Serenos, son of Heron, wrote for him, since he does not know letters. (Verso) Note of hand of Pemes from Karanis ...",True
nyu.apis.4721,14054,14054,p.nyu;2;39,nyu.apis.4721,Roman Will,,335 CE,335.0,From Fayum (Karanis?),grc,,,,False
nyu.apis.4722,,,,nyu.apis.4722,Letter from a Churchman,,VI / VII CE,587.0,From Oxyrhynchite nome,grc,Papyri; Documentary; Letter; Christianity,,"After leaving the town I shall go first to Takona and I shall travel up to the monastery of the Holy Georgios and there I shall take on a cargo. I looked for Mousaios, the child of Staurophania, because of the adaeratio I had provided (?) for him, and I found out to which place he had fled and look, I also forwarded to you his letter concerning the things he had sent me after he fled, in order that you too read it and (the letter) of our lord the scholasticus Bacchus. For you know well that I have his pledge that he will answer him. And look, I have written one letter to the same lord Bacchus in order that he comes to Takona and inspects his possessions. Please, ge hold not of the letter of Mousais and send it to me in order that get hold of it as testimony. (Verso) To my God-guarded lord and brother N.N., son of Phoibammon, ---, chartularius, Georgios, deacon, ---",True
nyu.apis.4723,,,,nyu.apis.4723,Account of farm produce,,Early IV CE,312.0,Found at: Karanis,grc,Papyri; Documentary; Account; Farming,,,False
nyu.apis.4724,121967,121967,p.nyu;2;17,nyu.apis.4724,Letter from Achilleus to Apollonius,,I BCE,-50.0,From: Euhemereia (?),grc,Papyri; Documentary; Letter,,,False
nyu.apis.4725,6433,6433,p.nyu;2;45,nyu.apis.4725,Hyponema for the Nomarch Nikanor,Four separate documents,"III BCE: June 30, 237 or June 24, 212 or June 20, 195 BCE?",-216.0,From the Fayum (?),grc,Papyri; Documentary; Letter; Zenon archive (?),,"(Verso) Memorandum to Nikanor, nomarch, from Heryothes. (M. 3) If it seems right to you, please, give an order to Achoapis concerning Petosiris, son of Thotortaios, a farmer from Philadelphia, in order that he be released (from jail) after a surety has been provided and that he will be there for the collecting of the wheat and --- on the threshing floors. He cultivates 55 arouras of land. (M. 4) Nikanor to Achoapis, greeting. After having checked whether he is not subject to a rather serious accusation and after having given a surety that he will stay, release him from jail in order that he will be present at the collecting of wheat. Farewell. (Recto) --- to Achoapis ---. (M. 5) To Alexandros. Achaopis to Alexander, greeting. I have sent you the letter from Nicanor. Act now according ---. Year 10, Pachon 13. ---.",True
nyu.apis.4726,121957,121957,p.nyu;2;50,nyu.apis.4726,Account,,III or IV CE,299.0,Hermopolite nome,grc,,,"(1-17) [...] of plows: 2 knidia of wine; [...] to the same persons for the treatment of another skin for a yoke band (for) wagons or...: 2 knidia of wine; to the same people for the treament of [N] small skins given to the cowherds, i.e. to Apollon son of Tesneus, 1, to Parous junior cowherd, 1, to Herminos cowherd, 1, together: 3 knidia of wine; to the same shoemakers for the treatment of other small skins for the use of donkey drivers carrying sacks...... skins: 4 knidia of wine; [...] through Paesis and N.N., camel drivers, during the transport of wine of the (village of) Ares: 2 knidia of wine; together 20 knidia of wine; total of 10 ... On account of chaff for the value of chaff, of wine as declared in the wine expense [...] loads; and in money, likewise, as declared in the money expense [...] (trans. ed. pr.)",True
nyu.apis.4727,121983,121983,p.nyu;2;51,nyu.apis.4727,Account,,III or IV CE,299.0,From Hermopolite nome,grc,Papyri; Documentary; Account,,,False
