doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
oslo.apis.1,21524,21524,p.oslo;2;47,oslo.apis.1,Private letter,"Letter from Dionysios to Theon, about purchase of fish and beans, warning about fraud","August 23, 1  A.D.",,"Unknown place, province of Egypt",grc,Documentary; Papyrus,,"Dionysios to his dearest Theon, very many greetings and for ever good health. When you reminded me of buying fish, I asked a friend of mine to buy 60 pigfishes for a drachma. I gave them to the person who came from you. But he himself bought 30 fishes for a drachma. I also gave him a basket. See to it that he does not cheat you, as he usually cheats in business affairs. When he himself made a buy, he only got 30 fishes, but 60 for you.;And send me five artabas of beans instead of lentils.;By the way, take care of yourself so that you are well.;Give greetings to all of yours, and to Herakles, son of Petalos. Goodbye. ;In the Emperor's 30th year, 30. Mesore. - And the basket, send it to me with Androus.;Verso:;Give to Theonas",True
oslo.apis.10,25287,25287,sb;6;9120,oslo.apis.10,Private letter,"Letter from Charitous to her brother Pompeius, informing him that she has attended to a matter he has previously asked her to take care of.",Ist century A.D.,50.0,"Unknown place, province of Egypt",grc,Documentary; Papyrus,,"Charitous to Pompeius, her brother, greeting. I wish you to know that I have attended to the matter concerning which you wrote me. I went to Zoilas, son of Argaios, and he went to the office of the royal scribe and made investigation and did not find your name written in the roll. Well then, come rather quickly up to your home. Salute the children of Herennia, and Pompeis and Syrion and Thaïsous and her children and her husband and all my friends. Be of good health.;Verso:;Deliver from Charitous to Pompeius, her brother.",True
oslo.apis.100,14299,14299,sb;8;9923,oslo.apis.100,Receipt for repayment of a loan,"Receipt from Ischyriaina to Hero, acknowledging that she has received repayment of a loan.",175-176 A.D.,175.0,"Ptolemais Euergetis, Arsinoite nome, province of Egypt",grc,Documentary; Papyrus,,"The 16th year of Imperator Caesar Marcus Aurelius Antoninus Augustus Armeniacus Medicus Parthicus Germanicus Sarmaticus Maximus, the ... of the month ... at Ptolemais Euergetis in the Arsinoite nome. Ischyriaina daughter of Geminus son of Ischyrion from the village ... in the Herakleopolite nome, aged about 28, having a scar ... acting with her guardian her husband ... son of the other Geminus son of Herm... aged about 38, having a scar on the little finger of his left hand, acknowledges to Hero also called Aia whose father is unknown, her mother being Herus daughter of ... son of Mallion, aged about 46, having a scar on her left knee, acting with her guardian Eutychus son of Soterichus son of Soterichus, aged about 52(?), with a scar near his right knee, that she has received from her, Hero, from hand to hand 1,800 silver drachmae, of which being for the capital 1,700 dr. which she owed to Ischyriaina and her mother ... also called Thenapynchis, who is dead, in accordance with a contract of loan made through the record office of Berenicis Aigialou in the division of Themistes in the 12th year of Titus Aelius Antoninus, the 8th of the month Payni, which Ischyriaina acknowledges is invalid in every respect, of which the remaining one hundred drachmas are the remaining (sc.drachmas) of the interest, and neither Ischyriaina herself nor another on her behalf shall proceed against Hero or her heirs about the sum which she has received in the aforesaid way or about anything at all up to the present day. ....",True
oslo.apis.101,14332,14332,sb;10;10723,oslo.apis.101,Repayment of a loan through a bank,"Amatius acknowledges that Ptolemaios has repaid, through a bank, the money he owed him.","May 22, 161? A.D.",,"Arsinoiton polis, Arsinoite nome, province of Egypt",grc,Documentary; Papyrus,,"First year of Imperator Caesar Marcus Aurelius Antoninus Augustus and Imperator Caesar Lucius Aurelius Verus Augustus, Pachon 27th through the bank of Souchammon in the quarter of the Macedonians. Amatius son of Soterichus (notifies) to Ptolemaius son of Areius that he has received from Amatius the x silver dr. which he owed him in accordance with a draft of the bank of Sabinus in the quarter of the Macedonians, which draft he has surrendered to him to be cancelled ...",True
oslo.apis.102,27179,27179,sb;10;10722,oslo.apis.102,Declaration of having requested for parathesis,Declaration that Didyme has requested a mortgage on her house as security for a money deposit.,IInd century A.D.,149.0,"Tebtynis, Polemonos meris, Arsinoite nome, province of Egypt",grc,Documentary; Papyrus,,"Didyme daughter of Heron acting with my husband Didymus as guardian. I have presented (to the bibliophylaces) a notification of mortgage of one fourth of the house in Tebtynis as security for the deposit of the 240 drachmas as aforesaid. I, Heron their son, wrote for them as they are illiterate.",True
oslo.apis.103,25057,25057,sb;16;12988,oslo.apis.103,Fragment of a contract,Seems to be a contract between a pastophoros and two or more women.,1 A.D.,,"Unknown place, province of Egypt",grc,Documentary; Papyrus,,"... 24 drachmae, in which is also ...apios, daughter of Mysthos ... by mutual consent ... concerning (the plots) belonging to ... of the pastophoros of the great god Serapis ... and the adjacent plots ... if (she consents) ... to give her ... from where the measures (are taken) ... as aforesaid ... from the aforementioned (conditions) ...",True
oslo.apis.104,139797,139797,sb;28;17263,oslo.apis.104,List of animals to be treated with malagma,An official list of animals to be treated with malagma.,Late IIIrd/early IVth century A.D.,300.0,"Arsinoite nome, province of Egypt",grc,Documentary; Papyrus,,"List of animals to be treated with an emollient (or, to be padded): from the metropolis through Chairemon: 18 animals; from the village of Straton: 10 animals; from the hamlets of Piabanes and of Loros: 10 animals; from the hamlet of Severus: 5 animals; from the hamlet of Touroubestis: 4 animals. In total, 53 animals.",True
oslo.apis.105,79360,79360,sb;24;16186,oslo.apis.105,Registration of an apprentice,A formal request from a father for registration of his minor son into the list of apprentices.,"June 11, 70 A.D.",,"Oxyrhynchos, Oxyrhynchite nome, province of Egypt",grc,Documentary; Papyrus,,"To Philiskos, farmer of the tax on weaving, from Ophelas(?), son of Thoonis, grandson of Nech..., from the Teumenouthis quarter. I wish, from the present month Hathyr, in the second year of Imperator Caesar Vespasianus Augustus, to apprentice my son Pachois, a minor, to the master weaver Isas, son of Thoteus, grandson of Isas, from the quarter of the Thoeris Square, so that he may learn the art of weaving, and (I wish) to pay the tax paid by persons of the same category for the same current second year, eight silver drachmae. I therefore ask that my son be registered in the list of apprentices as is fitting. Farewell. (2nd hand) I, Sarapion, have affixed my signature. ... eight drachmae. The second year of Imperator Caesar Vespasianus Augustus, Payni 17.",True
oslo.apis.106,16334,16334,sb;16;12987,oslo.apis.106,Official correspondence,Fragment concerning  temple administration.,134/135 A.D.,134.0,"Oxyrhynchos, Oxyrhynchite nome, province of Egypt",grc,Documentary; Papyrus,,"To NN strategos of the Oxyrhynchite, from the comogrammateus (in accordance with) the petition registered in the 19th year of the Emperor ... as to what appears from the following ... concerning the sons of the priest NN ... in the present year of the reign of the Emperor Hadrian ... the (paid) fee for admission ... (and concerning) their descent and investigation (has been made) ... that your Highness ... has received ...",True
oslo.apis.107,4136,4136,sb;16;12551,oslo.apis.107,Official letter,"Letter from an official to an unnamed person, with a complaint on behalf of Stotoetis, an ibis-burier.",2nd half of the IIIrd century B.C.,-225.0,"Unknown place, province of Egypt",grc,Documentary; Papyrus,,"[---] Stotoetis, an ibis-burier from Pso [--] has [written ?] to us [contending?] that you have [admitted?] a certain woman into the Tharesieion, though Stotoetis objected that she had no claim to (anything in) the temple. I am therefore surprised that [you] have ordered such a thing -- without attending to the rules of the temples. You will therefore do well to let Stotoetis in peace in the temple and, if the woman makes any objection, to send her to the town in order to be judged against Stotoetis by myself and the priests. [Farewell, year.] 1, Mecheir 13.",True
