doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
oxford-ipap.apis.1,,,,oxford-ipap.apis.1,Petition to Amphicles the hypomnematographos,"The priests of Souchos at Crocodilopolis wrote this petition to complain about the inhabitants of the neighbouring town of Harmonthis, who appear to have been troublesome during this period. They refer especially to the damage done to the property of the king and their temple.",After 123 BC,-123.0,Crocodilopolis? (Pathyris),,Documentary; Papyri,,,False
oxford-ipap.apis.10,18506,18506,bgu;4;1061,oxford-ipap.apis.10,Petition,"From cartonnage. Cursive hand, same as BGU IV 1060.","Jan. 25th, 14 BC",-14.0,Busiris (Heracleopolites),,Documentary; Papyri,,,False
oxford-ipap.apis.100,10426,10426,p.cair.isid;;94,oxford-ipap.apis.100,Repayment of Loan,"A receipt issued by Sarapion, senator of Antino�polis, to Isidorus, son of Ptolemaeus, for 30 silver talents which Chaeremon, agent of Sarapion, had loaned to Isidorus under a verbal agreement.","May 4th, 312 A.D.",,Kom Aushim  (Karanis),,Documentary; Papyri,,,False
oxford-ipap.apis.1000,1164,1164,p.cair.zen;3;59527,oxford-ipap.apis.1000,Letter from Philoxenos to Zenon,"Philoxenes, beginning his letter with a pleasant variation on the usual form of greeting, asks Zenon, as he had asked him once before, to give Exakon two jars full of pressed grapes and pips to enable him and his companions to make themselves some sour wine.",mid 3rd c. B.C.,-250.0,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1001,1165,1165,p.cair.zen;3;59528,oxford-ipap.apis.1001,Fragment of a petition from Chesthotes (?) to Zenon,"The writer had apparently lent 284 drachmae, the loan being confirmed by the royal oath, to another Egyptian on condition that if he did not return the money by a certain time he would be liable to exaction.  The money not having been repaid, Zenon is asked to write to the proper authorities.",mid 3rd c. B.C.,-250.0,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1002,1464,1464,p.cair.zen;3;59529,oxford-ipap.apis.1002,Fragment of a letter from Horos to Zenon,A fragment of a letter from Horos to Zenon.,mid 3rd c. B.C.,-250.0,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1003,1166,1166,p.cair.zen;3;59530,oxford-ipap.apis.1003,Fragment of a letter from Horos to Zenon,A fragment of a letter from Horos to Zenon.,mid 3rd c. B.C.,-250.0,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1004,1167,1167,p.cair.zen;3;59531,oxford-ipap.apis.1004,Memorandum from Horos to Zenon,"Hedylos the architect had forbidden Horos to attend to the works, but the latter insists that it is his business to keep an account of the bricks provided by the bricklayers.",mid 3rd c. B.C.,-250.0,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1005,,65682,,oxford-ipap.apis.1005,Two epitaphs on a dog,"An epitaph in elegiacs, followed by another in iambics, on an Indian dog called Tauron who had been killed in defending Zenon against the attack of a wild boar, but not before he had laid his adversary low.",256 - 246 B.C.,-251.0,Kharabet el Gerza (ancient Philadelphia),,Literary; Papyri,,,False
oxford-ipap.apis.1006,,65678,,oxford-ipap.apis.1006,Fragments of verse with musical notation,"The earliest Greek document with musical notation.  Perhaps part of an exercise or excerpt written by a pupil on an odd piece of papyrus.  Below are some large letters and combinations of letters, probably drawn without any definite meaning.",263 - 227 B.C.,-245.0,Kharabet el Gerza (ancient Philadelphia),,Literary; Papyri,,,False
oxford-ipap.apis.1007,,1170,,oxford-ipap.apis.1007,List of words and phrases,"A list, composed largely of literary words which would not have been used in ordinary correspondence or conversation.  Several of them are rare and one at least is new.",263 - 227 B.C.,-245.0,Kharabet el Gerza (ancient Philadelphia),,Literary; Papyri,,,False
oxford-ipap.apis.1008,,1171,,oxford-ipap.apis.1008,Hexameter,"An hexameter, written on a scrap of papyrus, perhaps by a schoolboy.",263 - 227 B.C.,-245.0,Kharabet el Gerza (ancient Philadelphia),,Literary; Papyri,,,False
oxford-ipap.apis.1009,1172,1172,p.cair.zen;4;59536,oxford-ipap.apis.1009,Part of a list of stores,"The earliest dated piece in the Cairo Zenon archive.  It contains a list of goods, probably beloning to the stores of Apollonios and imported by his agents, - wine, honey, incense, myrrh and other products of Arabia.",Summer of 261 B.C.,,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.101,10427,10427,p.cair.isid;;95,oxford-ipap.apis.101,Loan of Wheat,"A loan of six artabas of wheat to Heras, son of Melas, from Isidorus, son of Ptolemaeus, and his associates in the sitologia of Karanis.  Interest of 50 per cent, i.e. three artabas, is fixed at the time of the loan, and Heras must therefore return nine artabas in Pauni (May/June) of the same year.","Jan. 12th, 310 A.D.",,Kom Aushim  (Karanis),,Documentary; Papyri,,,False
oxford-ipap.apis.1010,1173,1173,p.cair.zen;4;59537,oxford-ipap.apis.1010,Fragment of a letter,"A fragment of a letter that seems to have been written in Palestine, by one of Zenon's subordinates, such as Krotos.",259 - 258 B.C. (?),-259.0,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1011,1174,1174,p.cair.zen;4;59538,oxford-ipap.apis.1011,Fragment of a letter,A fragment of a letter.,"16th January, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1012,1175,1175,p.cair.zen;4;59539,oxford-ipap.apis.1012,Fragment of an account,"A number of small fragments of accounts, written on both sides of the papyrus.",About 258 B.C. (?),,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1013,1176,1176,p.cair.zen;4;59540,oxford-ipap.apis.1013,Fragment of a letter,"A fragment of a letter with a copy of another letter subjoined.  The writer was engaged in equipping a ship, for which purpose he required the services of an educated slave.  He speaks of certain men of whom some had been drafted into the kun�goi and others assigned to some other duty.","3rd April, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1014,2413,2413,p.cair.zen;4;59541,oxford-ipap.apis.1014,Letter from Noumenios to Zenon,"Noumenios, who had been ordered by Apollonios to meet him in Memphis by a certain date, writes to ask when Apollonios intends to sail up from Mendes and where he has decided to celebrate the king's birthday and on what day in the Egyptian calendar the festival and sacrifice will take place.","10th April, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1015,1177,1177,p.cair.zen;4;59542,oxford-ipap.apis.1015,Account of money spent on horses,A description of a journey from Alexandria giving details of the sum spent on fodder and ferries.,"August, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1016,1178,1178,p.cair.zen;4;59543,oxford-ipap.apis.1016,Letter from Melanippos to Zenon,"A letter nearly identical with PCZ.I.59101,  stating that a certain Ptolemaios (?) was coming to see Apollonios, and Zenon is asked to assist him.","Probably 14th October, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1017,1179,1179,p.cair.zen;4;59544,oxford-ipap.apis.1017,Letter from Eunikos to Apollonios,"PCZ.I.59099 is a letter to Zenon on the same subject and is couched in almost the same words, announcing the dispatch of a consignment of fruit of various kinds.  No doubt the second letter was given to him at the same time in order that he might present it to Apollonios.","16th October, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1018,1180,1180,p.cair.zen;4;59545,oxford-ipap.apis.1018,Fragment of two drafts of letters,"The first fragment is the end of a draft of PCZ.I.59546; the second is written in a different hand, with abbreviations and other signs of haste.",257 BC,-257.0,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1019,,,,oxford-ipap.apis.1019,Letter to Panakestor,This is evidently the letter of which PCZ.IV.59545 was the draft; possibly from Zenon; a reminder to Panakestor of an order for him to provide byres for six yoke of oxen sent by Artemidoros.,"13th November, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.102,10430,10430,p.cair.isid;;98,oxford-ipap.apis.102,Lease of Land,"A lease of land, where the rent has been paid in advance.","July/Aug., 291 or 292 A.D.",,Kom Aushim  (Karanis),,Documentary; Papyri,,,False
oxford-ipap.apis.1020,1182,1182,p.cair.zen;4;59547,oxford-ipap.apis.1020,Letter from Amyntas to Apollonios,"Announcing the despatch of certain comestibles from Alexandria, obviously the consignment mentioned in PCZ.I.59110 and IV.59548.","about 26th November, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1021,1183a 1183b,1183 1183,p.cair.zen;4;59548,oxford-ipap.apis.1021,Account of wine,An account giving the quantities of wine issued daily for about ten days to certain persons travelling in the retinue of Apollonios.  Obviously referring to the same consignment as mentioned in PCZ.I.59110 and IV.59547.,"November, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1022,1184,1184,p.cair.zen;4;59549,oxford-ipap.apis.1022,Duplicate receipt,A duplicate receipt.,"21st December, 257 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1023,1185,1185,p.cair.zen;4;59550,oxford-ipap.apis.1023,Duplicate receipt,A duplicate receipt.,"2nd January, 256 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1024,1186,1186,p.cair.zen;4;59551,oxford-ipap.apis.1024,Duplicate receipt,A duplicate receipt.,"13th March, 256 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1025,1891,1891,p.cair.zen;4;59552,oxford-ipap.apis.1025,Duplicate receipt,Part of a duplicate receipt.,"14th March, 256 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1026,1187,1187,p.cair.zen;4;59553,oxford-ipap.apis.1026,Letter from Theodoros to Zenon,"Theodoros asks Zenon to see to the despatch of some lead, to help Sosistratos (?) to recover four drachmae from Damis, being the tax on the wine, and to give him the list of the mattresses handed over.","Date of reception: 15th July, 256 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1027,1188,1188,p.cair.zen;4;59554,oxford-ipap.apis.1027,Fragment of a letter from Panakestor,"Possibly connected with PCZ.II.59165, in which Apollonios gives orders about the feeding of calves.","Date of reception: 21st April, 255 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1028,1189,1189,p.cair.zen;4;59555,oxford-ipap.apis.1028,Fragment of a letter from Artemidoros,"A fragment of a letter from Artemidoros, the physician in Alexandria, probably asking Zenon to do some service for him at Philadelphia.","Date of reception: August - September, 255 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
oxford-ipap.apis.1029,1190,1190,p.cair.zen;4;59556,oxford-ipap.apis.1029,Fragment of a letter,A fragment of a letter.,"11th January, 254 B.C.",,Kharabet el Gerza (ancient Philadelphia),,Documentary; Papyri,,,False
