doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
perkins.apis.3986,28984,28984,p.oxy;10;1269,perkins.apis.3986,List of property,A list addressed to exegetes of Oxyrhynchus of some property belonging to two minors whose father was dead. The list has been drawn up by the uncle of the minors on the order of the previous exegetes and was now submitted to his successor in the office. A supervision of minors was one of the functions of the exegetae. Several of the articles in the list had been pawned by their late owner.,95-115 A.D. (end) of Ist - (early) IInd century A.D.,105.0,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"To Ptolemaios, priest and exegetes in office, from Theonas, son of Isidoros and Soeris of the city of Oxyrhynchos. Appended is a copy of the list which I presented to Sarapion, your predecessor as exegetes, of the articles left to my nephew and niece, being minors, Sarapas and Sarapous, by their deceased father, who was my full brother, Isas.;To Sarapion, priest and exegetes in office, from Theonas, son of Isidoros and Soerous of the city of Oxyrhynchos. Being asked by you for a list of th furniture and other articles left to my nephew and niece, being minors, Sarapas and Sarapous, by their deceased father, who was my full brother, Isas, I declare that they are as follows: a coffersupllied with a false key, another out of use, a box of bronze, a plate or dish pledged by Isas during his lifetime to Panares for twenty drachmae of silver, another box likewise pledged for ten drachmae to the same Panares, a flask of tin pledged to the same person for four drachmae, a ... coloured ... pledged to me for a further sum of twelve drachmae, a tunic pledged to Tnephersois for eight drachmae, and a half share in three weavers's looms which belonged to his father, a pig sold by me, Theon, after the death of my brother Isas for forty drachmae, a large chest of bronze, one cup of tin and one of silver, a pillow ...",True
perkins.apis.3987,33635,33635,p.oxy;10;1280,perkins.apis.3987,Partnership in a lease,"An agreement on oath between two citizens of Oxyrhynchos whereby one of them undertakes to share part of a camel-stable leased by the former, and to make an annual payment towards the rent.",(end) IVth century A.D.,374.0,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"Aurelios Pamea, son of Peter, of the illustrious and most illustrious city of Oxyrhynchos, to Aurelios Ammonianos, son of Euporion, of the said city, greetings. I acknowledge that I have of my own free will covenanted with you to share with you in the arbour of the camel-shed, which you, Ammonianos, have leased, from the past month Pachon at the beginning of the twelfth indiction, and to pay you yearly on account of rent one thousand myriads of silver drachmae, total 1000 myriads of silver, which I will deliver yearly with no delay. This aggrement, of which copy is made, is valid, and in aswer to the formal question, I have given my assent. (Signed) I, Aurelios Pamea, son of Peter, the aforesaid, have made the agreement and consent to all therein written, as aforesaid. I, Aurelios Pagochis, son of Ptollion, wrote for him, as he is illiterate. Drawn up by me, Ptol...",True
perkins.apis.3989,21770,21770,p.oxy;10;1263,perkins.apis.3989,announcement concerning practise of a trade,"A notification addressed to the city-scribe of Oxyrhynchos that the writer proposed to begin practising the trade of a ""potamou ergates"" (= labourer employed in the construction or repair of embankments and camals, and similar work)  in the present year.  As a ""techne"" this calling was presumably subject to the ""cheinonaxion"" or tax on trades, and it was probably in the interests of that impost that the present declaration was required.",128-129 A.D.,128.0,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"To Diogenes, alias Hermaios, ex-exegetes, scribe of the city, from Dioskoros, freedman of Sarapion, son of Sarapion, grandson of Dio..., inhabitant of Oxyrhynchos in the quarter of Hermaios. I wish to begin from the present thirteenth year of Hadrianus Caesar the lord to practise the trade of a river-worker; accordingly I present this application as above. Year thirteenth [",True
perkins.apis.3991,,61898,,perkins.apis.3991,Epistle to the Romans,"The beginning of the Epistle to the Romans i, 1-16. Textually the fragment is of slight interest.",VIth or VIIth century A.D.,599.0,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Literary; christian; Papyrus,,,False
perkins.apis.3994,,62763,,perkins.apis.3994,Oedipus Tyrannus,"Oedipus Tyrannus, 688-710; 731-752; 775-784; 819-827; 1304-1310; 1351-1355",Vth-VIth century A.D.,499.0,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Literary; tragedy; Papyrus,,,False
perkins.apis.3995,21875,21875,p.oxy;12;1474,perkins.apis.3995,Application concerning a loan,"An application to a strategos from a woman with reference to the return of a loan, enclosing copies of (1) an authorization from the archidikastes for ""metadosis"" (ll. 3-8), (2) her application to him for ""demosiosis"" and ""metadosis"" of the contract (ll. 8-11, 23) and (3) the contract itself (ll. 11-22). The conclusion is missing. The terms of the loan, which was without interest, but subject to an increase of one-half if not repaid at the proper time, are somewhat unusual.",216 A.D.,,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"To Aurelios Anoubion, strategos of the Oxyrhynchite nome, from Aurelia Didyme alias Dionysia, and however she is styled, through Aurelios Nilos, scribe. A copy of the communication which I have received from the bureau is as follows.;Aurelius Casius, priest and archidikastes, to the strategos of the Oxyrhynchite nome, greeting. Let a copy of the publication which has been effected be served, as follows. Goodbye. The 24th year of Aurelius Severus Antoninus Caesar the lord, Mecheir 5. I, Marcus Aurelius Harpokration, have signed for 14 drachmae. I, Marcus Aurelius Nemesianus alias Eirenaios, and however I am styled, scribe of the bureau, wrote the document.;To Lucius Septimius Aurelius Casius, priest, archidikastes and superintendent of the chrematistai and other courts, from Arelia Didyme alias Dionysia, and however she is styled. Appended is a copy of the bond issued to me in duplicate and of the signature beneath it. Pekysis son of Peusirion and Thetheus of Oxyrhynchos, to Aurelia Didyme alias Dionysia, and however she is styled, through Souchammon, freedman of your grandfather Aurelios Diogenes, greeting. I acknowledge that I owe you without interest in the month of Epeiph of the present 23rd year in wheat that is new, pure, unadulterated, unmixed with earth or barley, sifted, and measured into the public granary here in the Oxyrhynchite nome by your receiving-measure of the village of Syron, the measurement being performed by your agents, all without a delay, or, if I fail, I will forfeit to you interest for the overtime at the rate of half the capital, you having the right of execution upon my person and all my property of every kind. This bond, written in duplicate, is valid wheresoever it is produced and whosoever produces it on your behalf. The 23rd year of the emperor Caesar Marcus Aurelius Severus Antoninus Parthicus Maximus Bretanicus Maximus Germanicus Maximus Pius Augustus, Choiak 20. I, Pekysis, son of Pausirion, have received the aforesaid 45 artabae and will repay them as aforesaid. The period of the loan having expired and no repayment having been made, I desire that of this duplicate bond [a single copy should be sent to the Library of Hadrian etc.]",True
perkins.apis.3996,28995,28995,p.oxy;12;1483,perkins.apis.3996,Private letter,"A sharply worded letter from Dios to Zoilos, who, though called the writer's friend in one of the two addresses on the verso, is blamed for his absence and for having presented an unsatisfactory account of payments in connection with a vineyard or garden-land. At the end Dios threatens to take measures against Zoilos's surety, and thoughout writes in the tone of an official superior. Not improbably he was an ""epiteretes"" and Zoilos a ""cheiristes"", the land belonging to an ousia, or being at any rate administered by the goverment. The period of the letter is probably the period from Commodus to Caracalla.",(late) IInd or (early) IIIrd century A.D.,200.0,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"Dios to Zoilos, greeting. You arranged with me to come before the 25th of the month of Tybi, and have not come. When you went away, you rendered to me an account consisting of a list of what you had spent yourself. You write that you spent 33 jars upon the gardeners and two calves which you sacrificed, and you have spent upon them things of which absolutely noone has received for me the value, since you had it. Other claims are being made against you in the vineyard, of which you will have to render an account at the reckoning office. Know that, unless you pay all quickly and discharge the claims made against you, I shall seize your surety, until you pay me value of the claims. I pray for your health. (Addressed) to Zoilos from his friend Dios. Deliver to Zoilos from Dios.",True
perkins.apis.3997,21935,21935,p.oxy;12;1571,perkins.apis.3997,Order to a framer to pay 23 artabai of wheat to a dekaprotos,Order to a framer to pay 23 artabai of wheat to a dekaprotos. The name of the receiver is in the   nominative instead of the dative (l. 1).,297 A.D.,,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"Apollonios to Horpaesis farmer greetings. Measure to Demetrianos dekaprotos for the 13th and 12th and 5th year 23 artbai of wheat, total 23 artabai. Year 13 and 12 and 5, Mesore 16. I, Apollonios, have signed. (2nd hand) Apollonios, son of Heras.",True
perkins.apis.3998,31773,31773,p.oxy;14;1652A,perkins.apis.3998,Accounts of transport,"These two accounts, written by the same hand and following the same formula, relate to two villages in the Lower toparchy of the nome. The names of the villages preced as headings, and below are entered various sums for barges, desert dues, crown tax, wages for camelmen, each of these being followed by a kind of prosdiagraphomena called ""eremon"", the amount of which is always approximately 10% of the preceding sum. Since three out of the four main items are evidently concerned with transport either by land or water, it seems natural to connect ""eremon"" with the well-known ""eremophulakia"". The fourth main item, however, ""stephanika"", for which large sums are entered in both accounts, is obscure. If this is an unusual variant for ""stephanika"", the addition of a percentage for ""eremophylakia"" is surprising; but ""stephanika ""can be regarded as an epithet of ""ploia"" understood.",IIIrd century A.D.,249.0,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"(a) Psobthis , Lower (toparchy);for the barges of Kronion, 299 dr.;desert dues, 27 dr.;crown tax, 1 tal. 897 dr.;desert dues 672 dr.;wages of camelmen, 216 dr.;desert dues, 21 dr.;freightage of barley for Alexandria, 518 dr.;desert dues, 52 dr.;total 1 tal 2712 dr.;(b);Takona;wages of the sailors for the barges through Kronion epimeletes, 9409 dr;desert dues, 94 dr.;crown tax, 3 tal 3725 dr.;desert dues 2148 dr.;for the camelmen, 680 dr.;desert dues, 66 dr.;freightage of wheat, 1631 dr.;desert dues, 164 dr.;[[total 4 tal 3448 dr]];total 4 tal. 3448 dr.",True
perkins.apis.3999,21991,21991,p.oxy;14;1714_1dupl,perkins.apis.3999,Contract (deposit of money),Beginning of a contract in duplicate for a deposit of money (110 talents?) similar to P.Oxy. 1713,285-304 A.D.,294.0,"Oxyrhynchos, Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"Aurelia Apia, daughter of Ammonios and Thaesis from the iloustrious and most illustrious city of Oxyrhynchitai acting without a gurdian according the roman law because of the law concerning the children, to Aurelios Amois, son of Theon and Ammonile from the same city greetings. I acknowledge I have from you on a deposit contract guaranteed against any risk subject to no claim talanta 110, which onecessarily [I will repaid it",True
