doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
petra.apis.1,78719,78719,p.petra;1;1,petra.apis.1,Agreement concerning Family Property,"Property agreement drawn up between two individuals: Theodoros, son of Obodianos, and Theodoros' uncle and father-in-law, Patrophilos, son of Bassos.  It contains elements of both the marriage contract and will.","537 A.D., May 23",537.0,Petra (Tertia Palaestina Salutaris),grc,papyri; contract; legal document; will,,"(Lines 1-11) (chi)(rho) In the (second) year after the consulship of the most illustrious and all-praiseworthy Flavius Belisarius, on the [tenth before] the Kalends of June, in the four hundred and thiry-second year of the province, on the third of the month Daisios, in the fifteenth indiction year, in the Antonine imperial colony, the distinguished and . . . mother of colonies, Hadrianic Petra, Metropolis of the Third Palestine Salutaris, this mutual written security has been made, of their own free will and voluntary choice, without any treachery . . . or ignorance of law, on the one hand by the most honorable Patrophilos, [son of Bassos], on the other hand by the most honorable Theodoros, son of Obodianos, being present and agreeing to the document also the most honorable Eustathios, son of Theon, his curator for the matters below. (Lines 11-22) Because . . . the dowry of the most blessed Hiereia(?), the deceased mother of the most honorable Theodoros, was ceded (had been ceded?) to the same most honorable Theodoros by the said most honorable Patrophilos, son of Bassos, . . . which were also included in a written cession in favor of the [same] most honorable Theodoros; in the discussions between them at the time of the settlement they agreed [with each other] that if it should happen that the most honorable Theodoros dies without a child while his spouse, the most virtuous Stephanous remains in life, all the immovable property which her father, the said most honorable Patrophilos, had ceded to him shall go and devolve upon the same most virtuous Stephanous. (Lines 22-35) If the same most virtuous Stephanous dies and after her also the same most honorable Theodoros-let this not happen-[all the property which had been ceded] shall devolve upon [his most honorable uncle] Patrophilos or his heirs. If it should happen that the said most honorable Patrophilos himself dies [and] leaves behind [the same Stephanous], the most virtuous spouse of Theodoros and the daughter of [Patrophilos] himself, it was agreed that all (the property) of the same most honorable Patrophilos shall go and devolve upon the same Stephanous. But if the most virtuous Stephanous [dies] while the [said] most honorable Patrophilos and [Theodoros both remain in life] and (later) the same most honorable Patrophilos departs from life without a child altogether, his property shall go and devolve upoon the said [most honorable] Theodoros, his nephew and son-in-law. . . (Lines 36-55) Moreover, they also [agreed] by mutual consent and stipulation that . . . of Patrophilos and Theodoros . . . which belong to him . . places . . . any person . . . If he does not wish to buy, it can be sold to any person and none [can prevent it] in any way. In like manner they also agreed that as . . . which the most blessed Obodianos, the father of the . . . most honorable Theodoros, had got . . . debt(?) . . . of Kyrikos . . . former . . . money, with the condition that . . . or [part] of it . . . [the part] which is demanded . . . [from the moment when it ?] was demanded from him . . . willing . . . damage . . . penalty one half . . . had been agreed and . . . between them. (Lines 55-70) Moreover, they [both] also agreed that if it should happen that Palladia, the most reverent mother of the said Patrophilos, grandmother of [the said Stephanous and] Theodoros [ . . . dies] without leaving a will . . . gift . . . none of them any . . . other . . . [heirs, successors] or inheritors, and it will be invalid between [them or their] heirs . . . [3 lines] . . . the said honorably . . . the slave woman Gany[ . . . ]. Moreover, it was also [agreed that] if the most honorable Patrophilos should turn out to . . . of the most blessed Bassos, his father, . . . the most honorable Theodoros. . . (Lines 71-81) In addition to this being [valid and] firm and unalterable they both swore a sacred and most frightful [oath] by the [divine] Holy Trinity and the Imperial Safety of our Lord of the inhabited world, [Flavius Justinianus], the eternal Augustus, pledging to each other for this [. . . ?] all their [present] and future [property and that of their] heirs [and successors. Good] faith was formally asked and agreed upon [concerning all the] above-written matters. [And of this written security] two similar copies have been made, one for each party, which, subscribed, will be [valid] and firm wherever they are presented. (Lines 81-98) (2. H.) (chi) (rho) I, the above-mentioned Flavius [Patrophilos, son of Bassos], have made [this written security in favor of the most honorable] Theodoros, son of Obodianos, and through it I agree to fulfill all [the above-mentioned] (obligations) according to (my) expressed best ability, and I shall abide by everything and I have sworn and pledged as stated, [and being asked] I have agreed to every point accordingly . . .[and signing with my own hand] I have released it. (3. H.) (chi) (rho) I, the above-mentioned Flavius Theodoros, son of Obodianos, [have made] this written security-being present [and agreeing to it also my most honorable curator Eustathios], son of Theon-in favor of the most honorable Patrophilos, son of Bassos, [and through it I agree to fulfill all the above-mentioned obligations] according to (my) expressed best ability, and I [shall abide] by everything and I have sworn and pledged as stated, and being asked I have agreed [to every point accordingly] . . . I have signed with my own hand. (4. H.) (chi) (rho) I, Flavius [Eustathios], son of Theon, the curator of [the most honorable Theodoros, son of Obodianos], being present and agreeing to all the above-mentioned matters . . . have signed with my own hand. (5. H.?) . . . hand . . .",True
petra.apis.10,78728,78728,p.petra;1;10,petra.apis.10,Tax Receipt,"Tax receipt issued by Flavius Valens, son of Alpheios, to Patrophilos, son of Bassos, for payments for the 9th, 10th, and 11th indictions.","578 A.D., July 20 - Aug. 18",578.0,Petra (Tertia Palaestina Salutaris),grc,papyri; receipt; taxation,,"(chi)(rho) The most honorable Patrophilos, [son of Bassos], has given [on account of his taxes of the ninth,] tenth, and eleventh indiction years, [that is, of three years, every year from nine], one fourth, one eighth [iugera] from Petra and from [Augustopolis one half], one third, one tenth, one hundred and seventy[-fifth i( ), all the exacted and] extra taxes in farm products, [in oinokreon and in other products reduced by] one fourth share granted by our [most divine and pious] Lords. Written in month Loos of the 4[73d] year, [eleventh indiction year. (chi)(rho) I, Flavius Valens, son of Alpheios], have received in full for the present and future tax collectors [accordingly...from] you, the most honorable Patrophilos, that which you [owed...] of the assessment of land...(and other) taxes [...] up to the completion of the present [eleventh indiction year. I agree that I have no claims] against you and on my personal liability [...] successors ... and for your heirs [...] and make (you) free of all debts [...] the demand of public dues ... [...] of all kinds of debts of yours[...] as said earlier up to the present eleventh [indiction year ...] for your security [I have made this receipt and signed] in full with my own hand. (chi)(rho)",True
petra.apis.11,78729,78729,p.petra;1;11,petra.apis.11,Wrapping,"On the recto is a document of uncertain content.  On the verso is the phrase, ""apodesmos sun[teleion,"" indicating that the papyrus was used as wrapping.","569 A.D., Jan 16 - Feb. 14",569.0,Petra (Tertia Palaestina Salutaris),grc,papyri; document,,,False
petra.apis.12,78730,78730,p.petra;1;12,petra.apis.12,Part of an Agreement,Agreement of unknown kind involving at least an exchange or repayment and confirmed by a notary,After A.D. 544?,544.0,Petra (Tertia Palaestina Salutaris),grc,papyri; contract,,,False
petra.apis.13,78731,78731,p.petra;1;13,petra.apis.13,Agreement of Unknown Type,Roll pieces from an agreement of unknown type,6th c. A.D.,549.0,Petra (Tertia Palaestina Salutaris),grc,papyri; contract,,,False
petra.apis.14,78732,78732,p.petra;1;14,petra.apis.14,Document of Unknown Type,,6th c. A.D.,549.0,Petra (Tertia Palaestina Salutaris),grc,papyri; document,,,False
petra.apis.15,78733,78733,p.petra;1;15,petra.apis.15,Line Ends of a Document,An agreement or settlement; possibly a division of property,6th c. A.D.,549.0,Petra (Tertia Palaestina Salutaris),grc,papyri; contract; property,,,False
petra.apis.16,78734,78734,p.petra;1;16,petra.apis.16,Documentary Fragments,Multiple fragments apparently from an agreement of some sort,6th c. A.D.,549.0,Petra (Tertia Palaestina Salutaris),grc,papyri; document,,,False
petra.apis.17,112453,112453,p.petra;3;18,petra.apis.17,Change of a Dowry Agreement,"Change in marital assets negotiated between Theodoros, son of Obodianos, and his father-in-law Patrophilos","539 AD, July 20 - August 18",18.0,Petra (Tertia Palaestina Salutaris),grc,Papyri; Legal Document; Dowry,,"ï»¿(Lines 1-7) ... memorandum of the... regarding debt and..... Because..... the most honorable [Theodoros] an amount of gold... the most honorable [Patrophilos]... to the aforesaid Theodoros... half of all his existing paternal property in Serila... (Lines 7-19) And now..... the said most honorable Patrophilos... half part... of the belongings... written security and [this] security of cession [which is produced in] two exact copies, and with the agreement of the most honorable Patrophilos and Theodoros regarding the guarantee of [the aforesaid] most illustrious Dusarios to [the said most honorable] Theodoros... so that in the month of Loos of [the present] four hundred and [thirty-]fourth [year] the most honorable Theodoros will bring back, [in order to exchange] the aforesaid marital assets of the most virtuous Stephanous, his wife, [three pounds] of gold in dowry... and similarly [three and a half pounds] in paraphernalia... the most honorable Patrophilos... the marital assets of the said most virtuous Stephanous. (Lines 19-27) ... [the said] most honorable Theodoros in return acknowledged in these (identical copies) that he will... according to the... in the dotal contract, from [his] paternal and maternal property... [on the one hand, three] pounds [of gold in dowry and, on the other, three and] a half [pounds] in paraphernalia, and... exchange the aforementioned [marital assets]... along with the arra?... to the aforementioned most illustrious man, [Dusarios ... ] on the aforesaid... alll... and... this [security] of two exact copies. (Lines 27-30) Because, then, all these things [have been agreed upon] between [them], as [written above], they both agree [to do] and fulfill and to bring to an end the aforementioned in the above-mentioned month of Loos without delay and unambiguously. (Lines 30-50) [And in order that] none of them will attempt to [set at naught] or disturb any of the things mutually agreed upon as aforesaid, they swore [the oath by the Holy] divine Trinity and the Imperial Safety of our most divine and pious Lord Flavius Justinianus, the eternel Emperor Augustus, to do and fulfill all these, and [they determined the] fine of [twenty-four] golden coins for the security against the party that attempts to evade or overturn the [present] security in whatever manner, being paid from his own substance and property for the attempt alone... [in addition] and after the payment of the fine, [this] is valid and his its own force for each [party]..... the aforementioned Patrophilos and Theodoros [having pledged] to each other on account of all these [all] their property they now own, moveable [and immovable] and self-movable. And for the sake of greater security they additionally agreed [on guarantors] for each other, on the one hand, the most honorable Theodoros (presenting) for the aforementioned most honorable Patrophilos the most honorable Eustathios, his nephew/cousin, and on the other hand, Patrophilos (presenting) for Theodoros the most illustrious Dusarios, son of Valens, his father-in-law... (Lines 50-58) Each one of them (the guarantors) [promised] on his own liability [and from his] own substance and property... to do what had been guaranteed by him, and fulfill all the above-written without delay and [unambiguously], having both pledged for it their belongings, [good faith] having been formally asked and agreed upon. This memorandum is valid [and secure], executed in two identical copies which being undersigned will be valid and secure wherever presented, having the force of a notarial document. (Lines 58-61) It was written [in the month of... ] of the four hundred and thirty-fourth year. (chi-rho) The previous mutual agreements [between] us and the security made by the most honorable Eustathios and Theodoros toward the most honorable Patrophilos will nevertheless be valid. (chi-rho) (Lines 62-72) (2.H.) (chi-rho) I, the aforementioned Flavius Patrophilos, son of Bassos, have made this memorandum to you, the most honorable Theodoros, son of Obodianos, [my] nephew and son-in-law, and I agree to do and fulfill and to bring to an end [all the] above-written; and I negotiated the above-mentioned exact copy of the security, on the condition that it remains fixed, as stated, after the marital assets have been exchanged, namely three pounds of gold as dowry and three and a half as paraphernalia; and I swore and determined the fine of twenty-four golden coins and have pledged; and having been asked the formal question I agreed upon each point accordingly and having reading it and having signed it with my own hand, I have released it. (Lines 73-80) (3.H.) (chi-rho) I, the aforementioned [Flavius] Theodoros, son of Obodianos, have made this memorandum to you, the most honorable Patrophilos, son of Bassos, my uncle and father-in-law, and I agree to do and fulfill and [to bring] to an end all the aforementioned; and I negotiated the above-mentioned exact copy of the security, on the condition that it remains fixed, as stated, after three pounds of gold have been exchanged as dowry and three and a half pounds as paraphernalia; and I swore and determined the fine of twenty-four golden coins and have pledged; and having been asked the formal question I agreed upon each point accordingly and having read it and having signed it with my own hand, I have released it. (chi-rho) (Lines 81-85) (4.H.) [(chi-rho)] I, the aforementioned Flavius Dusarios, son of Valens, have guaranteed the most honorable Patrophilos, son of Bassos, my son-in-law, and shall make him fulfill the aforementioned without delay; and the above-mentioned two identical copies were negotiated in my presence as stated, so that after [the marital assets] have been exchanged as stated earlier I will provide and fulfill, [and I have pledged] and having been asked the formal question, [I have agreed upon] each point accordingly, having signed with my own hand. (Lines 86-89) (5.H.) [(chi-rho)] I, the aforementioned Flavius Eustathios, son of Theon, have guaranteed the most honorable Theodoros, son of Obodianos, our... and I shall make him fulfill the above-written [and I have pledged]; and, having been asked the formal question, I have agreed upon each point accordingly, having signed with my own hand. (chi-rho) (Lines 90-94) (1.H.) (chi-rho) I, the aforementioned Flavius Theodoros, son of Obodianos, since after we heard together (the provisions of) this memorandum... we... these... this month of Gorpiaios...",True
petra.apis.18,112454,112454,p.petra;3;19,petra.apis.18,Request for Transfer of Taxation,Request from Leontios son of Valens and Theodoros son of Obodianos to transfer tax responsibility for a piece of land to the latter,"539 AD, September 1 - 540 AD, August 31",539.0,Petra (Tertia Palaestina Salutaris),grc,Papyri; Legal Document; Taxation,,"(chi-rho) To the present and future most respectable tax collectors of gold of this metropolis and of the districts belonging to the administrative area of Augustopolis (managed) through it. (We,) Flavii, Leontios, son of Valens, politeuomenos, and Theodoros, son of Obodianos, notify (you) of the following: I, Theodoros, own a plot of vineyard from my paternal inheritance called Mal Ouda, located in the uninhabited hamlet Baith el-Alkeb, which has been registered in the public codex of the city of the Augustopolitans through my, Leontios', late paternal grandfather, the most blessed Horion, son of Leontios, on behalf of his former oiketes, Magdios, son of Euzoios. Nevertheless, both I, Theodoros, and the most blessed Obodianos, son of Obodianos, my father, paid for this piece of land the taxes that amount to one half, one third, one eighth, (and) on sixtieth (iugum?) for free iugerum, both to the blessed Valens, (who is) my, Leontios', father, and to me, Leontios, who have received the due (amount) of the taxes for the said piece of land until the past second indiction, concerning which I, Leontios, have no claim against Theodoros, the most honorable, because as much has been paid as stated above. But since both of us have now found it good that I, Theodoros... the taxes for the mentioned vineyard through the public chartai, I request you, the most respectable Basileios and the present and future most respectable tax collectors to burden my account and [person] in each case (in the register) of the total holdings at Augustopolis by itself... for the iugerm of vineyard one half, one tihrd, one eighth, [(and) one sixtieth (iugum) — — —]",True
