doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
pts.apis.1,33342,33342,p.oxy;6;903,pts.apis.1,Accusation against a Husband,Indictment by a Christian wife against her husband for various offenses against her and other members of the household. No addressee named; presumably an affidavit for use in suit against the husband.,IV c. CE,349,Oxyrhynchus,grc,papyrus; documentary; indictment,,"[Side 1:] Concerning all the insults uttered by him against me. He shut up his own slaves and mine with my foster-daughters and his agent and son for seven whole days in his cellars, having insulted his slaves and my slave Zoe and half killed them with blows, and he applied fire to my foster-daughters, having stripped them quite naked, which is contrary to the laws. He also said to the same foster-daughters, *Give up all that is hers,* and they said, *She has nothing with us*; and to the slaves when they were being beaten he said, *What did she take from my house?* and they under torture said, *She has taken nothing of yours, but all your property is safe.* Zoilus went to see him because he had shut up his foster-son, and he said to him, *Have you come on account of your foster-son or of such a woman, to talk about her?* He swore in the presence of the bishops and of his own brothers, *Henceforward I will not hide all my keys from her [he trusted his slaves but would not trust me]; I will stop and not insult her.* Whereupon a marriage deed was made, and after his agreement and his oaths, he again hid the keys from me; and when I had gone out to the church at Sambatho he had the outside doors shut on me, saying *Why did you go to the church?* and using many terms of abuse to my face, and through his nose. There were 100 artabae of corn due to the State on my account of which he paid nothing, not a single artaba. He obtained possession of the books, and shut them up saying, *Pay the price of the hundred artabae,* having himself paid nothing, as I stated before; and he said to his slaves, *Provide helpers, to shut her up also.* Choous his assistant was carried off to prison, and Euthalamus gave security for him which was insufficient, so I took a little more and gave it for the said Choous. When I met him at Antinoopolis having my bathing-bag [?] with my ornaments, he said to me, *I shall take anything you have with you on account of the security which you gave to my assistant Choous for his dues to the State.* To all this his mother will bear witness. He also persisted in vexing my soul about his slave Anilla, both at Antinoopolis and here, saying, *Send away this slave, for she knows how much she has possessed herself of,* probably wanting to get me involved, and on this pretext to take away whatever I have myself. But I refused to send her away, and he kept saying, *A month hence I will take a mistress.* God knows this is true.",True
pts.apis.10,,62025,,pts.apis.10,Joshua 4:23-5:1,Greek fragment of Joshua containing 4:23-5:1,IV c. CE,349,Oxyrhynchus,grc,parchment; literary; Septuagint,,"[Side 1:] the Red Sea, which the Lord our God dried up before us until we crossed over, so that all the nations of the earth might know that the power of the Lord is strong... [Side 2:] that the Lord God dried up the Jordan River from before the children of Israel while they crossed over, and their intentions were melted, and they were terrified",True
pts.apis.11,,61804,,pts.apis.11,"Matthew 6:5-6, 8-10, 13-15, 17","Greek fragment of the Gospel according to Matthew containing 6:5-6, 8-10, 13-15, 17",V/VI c. CE,499,Oxyrhynchus,grc,parchment; literary; New Testament,,"[Side 1, col. i:] They have their reward. But whenever you pray, go into your closet... [Side 1, col. ii:] for your father knows what you need before you ask him. Therefore you pray in this way: Our father who is in heaven, let your name be sanctified... [Side 2, col. i:] us into trials, but deliver us from the evil one. For if you forgive people their trespasses, your heavenly father will also forgive you; if... [Side 2, col. ii:] but you, when you fast, anoint your head and wash your face",True
pts.apis.12,,62026,,pts.apis.12,Leviticus 16:33-34,Greek fragment of Leviticus containing 16:33-34,IV c. CE,349,Oxyrhynchus,grc,papyrus; literary; Septuagint,,"of witness and for the altar he shall make atonement, and for the priests and for all the assembly he shall make atonement. And this shall be an everlasting statute for you, to make atonement for the children of Israel from all their sins, once a year it shall be done.",True
pts.apis.2,35312,35312,p.oxy;6;925,pts.apis.2,Christian Prayer,"Christian prayer of petition concerning the prudence of a journey and the likelihood of success. Grenfell and Hunt, comparing it to pagan counterparts P.Oxy. 923 and P.Fay. 137, suppose that it would have been deposited in a church.",V/VI c. CE,499,Oxyrhynchus,grc,papyrus; documentary; prayer,,"O God almighty, holy, true, and merciful, Creator, Father of our Lord and Savior Jesus Christ, reveal to me thy truth, whether it be thy will that I go to Chiout, and whether I shall find thee aiding me and gracious. So be it; Amen.",True
pts.apis.3,,64603,,pts.apis.3,Christian Prayer,A short Christian prayer for divine assistance,IV/V c. CE,399,Oxyrhynchus,grc,papyrus; documentary; prayer,,"O God of the crosses that are laid upon us, help thy servant Apphouas. Amen.",True
pts.apis.4,31312,31312,p.oxy;7;1065,pts.apis.4,Letter of Hephaestion,"Side 1: a short personal letter from one Hephaestion to a friend, Stephanus, entreating the latter to come at once because of some unspecified circumstances. Side 2: apparently a complaint against a brother in the matter of the division of a piece of land.",III c. CE,249,Oxyrhynchus,grc,papyrus; documentary; letter,,"To Stephanus from Hephaestion. On receipt of the letter from my son Theon put off everything and come at once to me at the village because of what has happened to me. If you neglect this, as the gods have not spared me so I will not spare the gods. Goodbye.",True
pts.apis.5,,61643,,pts.apis.5,Revelation 3:19-4:3,Greek fragment of the Apocalypse of John containing 3:19-4:3,IV c. CE,349,Oxyrhynchus,grc,parchment; literary; New Testament,,"[Side 1:] Be earnest, therefore, and repent. Behold, I stand at the door and knock. If anyone hears my voice and opens the door, I will come in to him, and I will dine with him, and he with me. The one who conquers, to him I will give to sit with me on my throne, just as I myself conquered and sat with my father on his throne. The one who has ears, let him hear what the spirit says to the churches. After [Side 2:] these things I saw, and behold, a door opened in heaven, and the first voice, which I heard speaking to me like a trumpet, saying, *Come up here, and I will show you what must happen after these things.* Immediately I was in the spirit, and behold, a throne stood in heaven, and one sitting on the throne, and the one sitting on the throne was like in appearance",True
pts.apis.6,,61389,,pts.apis.6,"Isocrates, Panegyricus and De Pace",Greek fragment of Isocrates containing the concluding lines of Panegyricus (par. 189) and the beginning lines of De Pace (pars. 1-3),IV c. CE,349,Oxyrhynchus,grc,vellum; literary; Isocrates,,"[Side 1:] They regard them as the cause of great blessings to others. *PANEGYRIC* *CONCERNING THE PEACE* All those who customarily come forward here say that the greatest things and the things most worthy of attention by the city are the things that they are about to advise you. Nevertheless, even if it were appropriate to preface some other matters with such words, it seems fitting to me, with respect to the present state of affairs [Side 2:] to make a beginning in this way. For we have assembled today concerning war and peace, which have utmost power in the life of men, and concerning which those who are counseled rightly necessarily manage better than others. So great, then, is the magnitude of the things for which we have come together. But I see that you do not give an equal hearing to the speakers, but you give attention to some, while to others not",True
pts.apis.7,35571,35571,p.oxy;8;1138,pts.apis.7,Receipt for Money-taxes,Receipt for money-taxes paid on behalf of a church,V/VI c. CE,499,Oxyrhunchus,grc,papyrus; documentary; tax receipt,,"Paid to the credit of the church by Apphouas, presbyter, for the money-dues of the 10th indiction, 12 solidi of gold less 51 carats on the private standard, total 12 solidi of gold less 51 carats private standard, and no more. Phaophi 8, 11th indiction, through me, Phib, scribe. Once for all.",True
pts.apis.8,,64911,,pts.apis.8,Christian Amulet,"A short magical prayer amulet with pagan, Jewish, and Christian elements (cf. P.Oxy. 1060)",V/VI c. CE,499,Oxyrhynchus,grc,papyrus; documentary; amulet,,"Oror phor, eloi, adonai, Iao sabaoth, Michael, Jesus Christ, help us and this house. Amen.",True
