doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
stanford.apis.10132,,,,stanford.apis.10132,Unknown,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10133,,,,stanford.apis.10133,Literary text,,2nd century B.C.,-150.0,,egy-Egyd,"Literary papyri, Unidentified authors",,,False
stanford.apis.10134,,,,stanford.apis.10134,Literary text (?),,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10135,,,,stanford.apis.10135,Unknown,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10136,,,,stanford.apis.10136,Unknown,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10137,,,,stanford.apis.10137,Documentary text,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10138,,,,stanford.apis.10138,Documentary text,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10139,,,,stanford.apis.10139,Account,"Top part mentions artabas of barley, bottom part names followed by a one or two",2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10140,,,,stanford.apis.10140,Contract,,2nd century B.C.,-150.0,,egy-Egyd,"Contracts, Ptolemaic Period",,,False
stanford.apis.10141,,,,stanford.apis.10141,Documentary text,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10142,,,,stanford.apis.10142,Account,,2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10143,,,,stanford.apis.10143,Register of land,Diagram of landholding,2nd century B.C.,-150.0,,egy-Egyd,"Registers of land, Ptolemaic Period",,,False
stanford.apis.10144,,,,stanford.apis.10144,Account,Account with days and amounts,2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10145,,,,stanford.apis.10145,Contract,,2nd century B.C.,-150.0,,egy-Egyd,"Contracts, Ptolemaic Period",,,False
stanford.apis.10146,,,,stanford.apis.10146,Account,,2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10147,,,,stanford.apis.10147,Account,,2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10148,,,,stanford.apis.10148,Literary text (?),,2nd century B.C.,-150.0,,egy-Egyd,"Literary papyri, Unidentified authors",,,False
stanford.apis.10149,,,,stanford.apis.10149,Register of land,List of Greek cleruchs and their tenant farmers,2nd century B.C.,-150.0,,egy-Egyd,"Registers of land, Ptolemaic Period",,,False
stanford.apis.10150,,,,stanford.apis.10150,Account,Some day entries visible,2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10151,,,,stanford.apis.10151,Account,,2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10152,,,,stanford.apis.10152,Register of land,Land measurements,2nd century B.C.,-150.0,,egy-Egyd,"Registers of land, Ptolemaic Period",,,False
stanford.apis.10153,,,,stanford.apis.10153,"Register of land, topographical",Topographical survey of land with field diagrams,2nd century B.C.,-150.0,,egy-Egyd,"Registers of land, Ptolemaic Period",,,False
stanford.apis.10154,,,,stanford.apis.10154,Account,,2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10155,,,,stanford.apis.10155,Documentary text,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10156,,,,stanford.apis.10156,Contract,,172/171 B.C.,-172.0,,egy-Egyd,"Contracts, Ptolemaic Period",,,False
stanford.apis.10157,,,,stanford.apis.10157,Contract,Witness list on verso,Early 2nd century B.C.,-175.0,,egy-Egyd,"Contracts, Ptolemaic Period",,,False
stanford.apis.10158,,,,stanford.apis.10158,Documentary text,,2nd century B.C.,-175.0,,egy-Egyd,,,,False
stanford.apis.10159,,,,stanford.apis.10159,Contract,,2nd century B.C.,-150.0,,egy-Egyd,"Contracts, Ptolemaic Period",,,False
stanford.apis.10160,,,,stanford.apis.10160,Letter (?),,2nd century B.C.,-150.0,,egy-Egyd,Letters,,,False
stanford.apis.10161,,,,stanford.apis.10161,Account,Large numbers of artabas of wheat,2nd century B.C.,-150.0,,egy-Egyd,"Accounts, Ptolemaic Period",,,False
stanford.apis.10162,,,,stanford.apis.10162,Unknown,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10163,,,,stanford.apis.10163,Account,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10164,,,,stanford.apis.10164,Documentary text,,2nd century B.C.,-150.0,,egy-Egyd,,,,False
stanford.apis.10165,,,,stanford.apis.10165,Unknown,,3rd century B.C.,-250.0,,egy-Egyd,,,,False
stanford.apis.10166,,,,stanford.apis.10166,Register of land,Individuals with amounts of land; Sarapis the great god appears as one landholder,2nd century B.C.,-150.0,,egy-Egyd,"Registers of land, Ptolemaic Period",,,False
