doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
toronto.apis.1,10832,10832,p.fay;;266,toronto.apis.1,Letter to servant Epagathus,"Letter to Epagathus, requesting assistance, including shipment of dry wood.",10 Dec. 95 A.D.,,Euhemeria,grc,"Papyri; Private letters, Roman",,,False
toronto.apis.10,10861,10861,p.fay;;307,toronto.apis.10,Lease of Land,,9 July 132 A.D.,,Philoteris (Wadfa),grc,"Contracts, Roman Period; Papyri",,,False
toronto.apis.11,20592,20592,p.oxy;2;372,toronto.apis.11,Marriage Contract,Onnophris gives daughter in marriage.,74/75 A.D.,74.0,Oxyrhynchus,grc,"Contracts, Roman Period; Papyri",,,False
toronto.apis.12,8204,8204,p.hib;1;54,toronto.apis.12,Letter,"Demophon writes to Ptolemaios requesting musicians, instruments, and food for a festival; he also requests return of a fugitive slave.",ca. 245 B.C.,,Hibeh,grc,"Papyri; Private letters, Ptolemaic",,"Recto: Demophon to Ptolemaios, greetings. By all means send me the flute-player Petous with both the Phrygian and other flutes; and if any expenditure is necessary, pay it and you will be reimbursed by me. Send me also Zenobius the effeminate dancer with the drum and cymbals and castanets, for the women want him for the sacrifice; and let him be dressed as well as possible. Get the kid from Aristion and send it to me. And you have arrested the slave, hand him over to Semphtheus to bring to me. Send me also as many cheeses as you can, empty jars, vegetables of every sort, and whatever delicacies you have. Farewell. Put them on board with the policemen who will help to bring the boat along. Verso: To Ptolemaios",True
toronto.apis.13,20536,20536,p.oxy;2;265,toronto.apis.13,Marriage Contract,"Dionysius acknowledges to the bride, Sarapous, receipt of the dowry; provisions made for some property belonging to mother of the bride; for care of children, etc.",24 - 28 Aug. 81-96 A.D.,88.0,Oxyrhynchus,grc,"Contracts, Roman Period; Papyri",,,False
toronto.apis.14,20629,20629,p.oxy;3;493,toronto.apis.14,Will,Pasion and Berenike submit a joint will stating that in the event of either's death the survivor maintain full control of all assets and possessions and full authority to divide these among children as survivor sees fit.,Shortly before or in A.D. 98/99?,94.0,Oxyrhynchus,grc,"Contracts, Roman Period; Papyri",,,False
toronto.apis.15,28356,28356,p.oxy;3;498,toronto.apis.15,Contract with Stone-Cutters,"Asklas and Appollonios, two stone-cutters, agree to supply stone to Antonia Asklepias for building a house, with prices differing for the different kinds of stones.  The stone-cutters are to receive food and to be guaranteed a fixed rate of pay should their services be required by the builders.",25 June - 24 July IInd cent. A.D.,149.0,Oxyrhynchus,grc,"Contracts, Roman Period; Papyri",,"Copy. To Antonia Asklepias, also called Kyria, from Asklas, son of Alexandros, and Apollonios, son of Amois and Tauris, both from Oxyrhynchus. We undertake to cut the squared building stones, which are to be transported by camel from the northern quarry for your house, Antonia, in the quarter of Pammenes' Garden, at the following rate of payment: the outer squared camel stones at 4 drachmas for 16, the inner ones at 4 drachmas for 30, the antiblemata at 3 drachmas for 100 squared camel stones, oblong corner-stones at 8 drachmas for 16 outer squared camel stones and at 8 drachmas for 30 inner ones, axe-hewn squared camel stones at 4 drachmas for 50 and axe-hewn squared camel corner-stones at 8 drachmas for 50. All of the previously mentioned stones we will cut, but no ornamentation will be expected of us. Each of us will also receive for each day that he works one loaf of bread and 'prosphagion'. If the builders need assistance from the stone cutters, we or one of us will assist them, each man receiving 4 drachmas as wages for each day's assistance and each of us likewise one loaf of bread and 'prosphagion' for each day. Until the 22nd of the present month of Epeiph you have the right to transfer to others this contract for cutting the previously mentioned squared camel stones from the northern quarry.... The agreement is valid.... Year....",True
toronto.apis.16,20425,20425,p.oxy;4;725,toronto.apis.16,Apprenticeship to a weaver,"Ischyrion and Heraclas, the weaver, agree to the apprenticeship of Ischyrion's ward, Thonis, to Heraclas. Agreement is reached for provision of the youth's wages and clothing.",23 Sept. 183 A.D.,,Oxyrhynchus,grc,"Contracts, Roman Period; Papyri",,,False
toronto.apis.17,20442,20442,p.oxy;4;744,toronto.apis.17,Letter,"Hilarion writes from Alexandria to his wife Alis, telling her that he must remain there and offering reassurance. The instruction given at lines 8-10 is ambiguous and the subject of much discussion.",17 June 1 B.C.,,Alexandria (found in Oxyrhynchus),grc,"Private letters, Roman; Papyri",,"Hilarion to his sister Alis, many greetings, also to my lady Berous and Apollonarion. Know that I am still in Alexandria; and do not worry if they wholly set out, I am staying in Alexandria. I ask you and entreat you, take care of the child, and if I receive my pay soon, I will send it up to you. Above all, if you bear a child and it is male, let it be; if it is female, cast it out. You have told Aphrodisias, ""Do not forget me."" But how can I forget you? Thus I'm asking you not to worry. The 29th year of Caesar, Pauni 23. (verso) Hilarion to Alis, deliver.",True
toronto.apis.18,10905,10905,p.fay;;55,toronto.apis.18,Tax receipt,Receipt for various taxes on land paid by a woman named Thermouth( ),26 Feb. - 26 March 136 A.D.,,Theadelphia,grc,"Papyri; Receipts, Roman Period",,,False
