doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
trimithis.apis.1,,372073,,trimithis.apis.1,Account,Account,Ca. 350-370,360,Trimithis (Amheida),grc,,,"(Convex side) Son of Ammo(nios) . . . ., 2. Son of Euethios, 2. Son of Philosarapis, 2. Matthaios, 2. Pekysis, 1. (Concave side) From Pmouo, 2",True
trimithis.apis.2,131049,131049,o.trim;1;1,trimithis.apis.2,Account of Wine,,4th c. AD,349,Trimithis (Amheida),grc,,,"To Sarapion son of Horos. To Horos son of Pathotes 1, likewise 4. 28th (vac.). To Geron son of Pamoun, 50 maria. To Horos son of Akysis, 15. To Horos the donkey-driver, 8. To Sarapion son of Horos for the son of Herak( ) through the son of Ammonios son of Philiskos, 4. Epeiph 13. Share of Psenamounis son of Pathotes 16. I got from Aquila . . . [- -] 1, Pauni 20",True
trimithis.apis.21,131068,131068,o.trim;1;20,trimithis.apis.21,Account,"Account of disbursements of wine, measured in maria",Ca. 300-350,325,Trimithis (Amheida),grc,,,"To the camel-driver, 20 maria. To Hermesias the linenweaver, 6.",True
trimithis.apis.22,131069,131069,o.trim;1;21,trimithis.apis.22,Account of disbursements,Account of disbursements to people and places,Ca. 240-340,290,Trimithis (Amheida),grc,,,"To Pmoun Harau. To Ammonios son of Korax, camel-driver - - . To Plout( ) the linenweaver - - . To Psenamounis son of Pa[ . To Pse( ) - - -",True
trimithis.apis.23,131070,131070,o.trim;1;22,trimithis.apis.23,Account,"Account, unknown purpose",Ca. 300-350,325,Trimithis (Amheida),grc,,,,False
trimithis.apis.25,131072,131072,o.trim;1;24,trimithis.apis.25,Account of wine,"Account of wine, each name with an entry of 8 maria",Ca. 275-350,312,Trimithis (Amheida),grc,,,"(Lines 2-4) Psais and Am---, 8 maria; Psenamounis . . . 8 maria; Psennesis . . . 8 maria.",True
trimithis.apis.26,131073,131073,o.trim;1;25,trimithis.apis.26,Account of oil,Account of oil in keramia and choes; mentions a prostheke and a deacon.,Ca. 315-350,332,Trimithis (Amheida),grc,,,"(Convex) Petosiris son of Psentheth, 16 keramia. Samos son of Patchot( ), 18 keramia and 1 keramion for extra; and 1 keramion for extra. Bekis son of Psaios, 32 choes of oil and 32 for extra. Besis son of Horos 15 choes and 2 choes. Psennesis also called Lykarion, 5 choes and 1 chous for extra. Petosiris son of Psenthotes, 20 choes and 2 choes for extra. (Concave) Bekis the deacon, 15 choes and 2 choes for extra.",True
trimithis.apis.3,131050,131050,o.trim;1;2,trimithis.apis.3,Account?,,After 350?,360,Trimithis (Amheida),grc,,,,False
trimithis.apis.4,131051,131051,o.trim;1;3,trimithis.apis.4,Account of wine in maria,,ca. 350-370,360,Trimithis (Amheida),grc,,,,False
trimithis.apis.5,131052,131052,o.trim;1;4,trimithis.apis.5,Account of grain,,ca. 350-370,360,Trimithis (Amheida),grc,,,"Through Pamounis, 1 modius; through the steward and That and others, 2 modii; through Psais son of Petechon, 1 modius",True
trimithis.apis.6,131053,131053,o.trim;1;5,trimithis.apis.6,Account?,,ca. 350-370,370,Trimithis (Amheida),grc,,,,False
trimithis.apis.7,131054,131054,o.trim;1;6,trimithis.apis.7,Receipt or account?,,ca. 350-370,360,Trimithis (Amheida),grc,,,,False
trimithis.apis.8,131055,131055,o.trim;1;7,trimithis.apis.8,Account of wine,,ca. 350-370,360,Trimithis (Amheida),grc,,,"(Convex side) . . . 1 marion; Psenamounis, 1 marion; Sais son of Sais . . .; Ammonios son of Pe. . .; Louisai, - maria; total, - maria",True
