doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
upenn.apis.10,37149,37149,p.oxy;1;194,upenn.apis.10,Acknowledgment,"Acknowledgment addressed to Flavius Apion, or his heirs, of the loan by Aurelius Ptollion of one solidus for a ""Carian instrument"".",6th CE,549.0,Oxyrhynchos,grc,papyrus; acknowledgment,,,False
upenn.apis.100,,,,upenn.apis.100,Calendar,"Mutilated section of a calendar for the solar year, according to the Syrian months, and comprises the end of the month Iyar (May) and most of the month of Haziran (June). Refers to periodic changes in the Nile.",10th-11th CE,999.0,Egypt,ar,leather; literary; calendar,,"Recto: 1. [...] the Nile of Egypt, and waters change (in color), and 2. [app]les are good, and truffles crack, and the East wind blows 3. [and] the time of the yellow gall enters, and (lasts) [for] ty- 4. two nights. On the twenty-fourth of it 5. [the d]ay is fourteen hours and the night ten hours 6. and durra and millet are sown in Yamam and in the land of Ma[..] (Tihama ?). 7. [and the land] of the Nubians. And on the twenty-ninth of it 8. the Goat rises by God''s permission from all[ 9. [and........] is high and remains until the ris[e of the Sting of the Scorpion] 10. [and on] the twenty-ninth [Aldebaran] rises 11. ... (Della Vida) Verso: 1. ...................................... 2. [...].............................[...] 3. [....] ... to hunt and to.....[......] 4. [to eat] meat and to drink honey. 5. [Hazir]an. Thirty days. Its symbol is dal, i.e. four, 6. [and] it is called in Persian Adarbihisht Mah and in Coptic 7. [Bu]ne. Its zodiacal sign is the Twins. On the eleventh of it 8. the ""Haq''a"" rises and the Sting of the Scorpion disappears, and it is 9. [the long]est day and the shortest night in the year because 10. [the d]ay becomes fifteen hours and the night 11. [n]ine hours, and it is the birthday of John [the Baptist] (Della Vida)",True
upenn.apis.101,,,,upenn.apis.101,Hadiths,"Hadiths, or traditions (Sahih) of Bukhari, reporting the sayings of the Prophet Muhammad. Almost certainly a fragment of the book al-Mulakhkhas lima fi''l-Muwatta'' min al-hadith al-musnad, by Ali Ibn Muhammad Ibn Khalaf Al-Qabis, d. 403 A.H. (Della Vida)",10th-11th CE,999.0,Egypt,ar,leather; literary; hadiths,,,False
upenn.apis.102,,,,upenn.apis.102,Document,Coptic document of unknown specific content.,4th-5th CE,399.0,Egypt,cop,paper,,,False
upenn.apis.103,,,,upenn.apis.103,Farm Account,Side 1: Accounts referring to farm produce. Some words remain unknown or unclear as to meaning. Side 2: Remnants of a private letter about which little sense can be made. (Della Vida),10th-11th CE,999.0,Egypt,ar,paper; documentary; account; letter,,"Side 1: Column 1: 1. The first (time) barley, forty ardabbs. 2. And a second time, barley, eight ardabbs less two thirds. 3. And on his debt . . . twenty ardabbs of wheat. What the tenant received: thirty-two ardabbs, a third time, wheat. Column 2: 1. Beans, the first time to . . . . . and . . . . .; wheat for the rented field. 2. nineteen ardabbs of beans 3. A second time, eleven ardabbs of beans, on the third(?) thirty-one 4. A second time, eleven ardabbs of beans. 5. Fifty-two ardabbs on the fourth. Sixty-one ardabbs and a half. (Della Vida)",True
upenn.apis.104,,,,upenn.apis.104,Document,Coptic or Greek document of unknown specific content.,4th-7th CE,499.0,Egypt,cop,papyrus,,,False
upenn.apis.105,,,,upenn.apis.105,Document,Unknown,4th-16th CE,,Egypt,und,vellum,,,False
upenn.apis.106,,,,upenn.apis.106,Medical Prescription,"Side 1 (Recto): Prescriptions and recipes for the same. (Records payment of three, four, and seven dirhams. [S.L. Skoss]) Side 2 (Verso): Arabic Accounts on Paper. Index to a book of accounts (see DV, no. 55, p. 113-115).",10th-11 CE,999.0,Egypt,ar,paper; documentary; prescription; account,,"Side 1 (Recto): 1. In the name of God, the Merciful, the Compassionate. 2. Let there be taken with God's blessing and help thirty grains of sabistan and twenty grains of jujube 3. and the weight of three drams (dirhams) of lily root the weight of four drams of violet root, 4. and the whole be boiled in two quarts (ratl) of water, until it shrinks to one third, and let be soaked in it the weight of seven 5. drams of cassia ...................................... 6. so please God. God is our sufficiency and how good a custodian is He!",True
upenn.apis.107,,,,upenn.apis.107,Document,Papyrus of unknown specific content.,1st-4th CE,200.0,Egypt,grc,papyrus,,,False
upenn.apis.108,,,,upenn.apis.108,Portions of Qur’an,"Qur’an 40,85 to the end of sura 41 (basmala).",9th CE,849.0,Egypt,ar,parchment; literary; religious,,,False
