doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
uts.apis.1,20525,20525,p.oxy;2;255,uts.apis.1,Census Return,,28 September - 27 October 48 AD,48,Oxyrhynchus,grc,Papyri; Document; Census,,"To Dorion, Strategos, and to Apollonios, royal secretary, and to Didymos and Apollonios, secretaries of the region and of the village, from Thermoutharion the daughter of Thoonis, with her lord Apollonios the son of Sotades. There are resident in my house behind the alley .... Thermoutharion, a freedwoman of the aforementioned Sotades, 65 years of age, medium, honey-colored, with a broad face, with a scar on the right knee. 3. I, Thermoutharion, the aforementioned, with my master the same Apollonios, swear by Tiberius Claudius Caesar Augustus Germanicus Imperator from her health and on her freedom to have given over the list in question of those living with me, and that no-one else lives with me, neither foreigner nor Alexandrian citizen nor freedperson nor Roman citizen nor Egyptian apart from those written above. If I swear truthfully, may it be well for me; if I perjure, the opposite. In the ninth year of Tiberius Claudius Caesar Augustus Germanicus Imperator, Phaophi...",True
uts.apis.10,23720,23720,sb;20;14338,uts.apis.10,Lease of Land,,"28 October - 26 November, 120 AD",120,Oxyrhynchus,grc,Papyri; Document; Lease,,,False
uts.apis.11,28394,28394,p.oxy;3;643,uts.apis.11,Account of Payments,,IInd c. AD,149,Oxyrhynchus,grc,Papyri; Document; Lease,,,False
uts.apis.2,28639,28639,p.fay;;292,uts.apis.2,Register of Land,,IInd - IIIrd AD,199,Euhemeria (Arsinoite),grc,Papyri; Document; Register,,,False
uts.apis.3,20545,20545,p.oxy;2;274,uts.apis.3,Register of Property,,"28 August, 97 AD",97,Oxyrhynchus,grc,Papyri; Document; Register,,,False
uts.apis.4,28393,28393,p.oxy;3;642,uts.apis.4,Official Letter,,IInd c. AD,149,Oxyrhynchus,grc,Papyri; Document; Letter,,"... having become secretary of finance... and we are happy with your excellent manner, for benevolence towards you and good people like you, and virtue, has been important to us beyond all else. Be well, master. From Anoubion, son of Julius, who has become the secretary of finance.",True
uts.apis.5,23719,23719,sb;20;14337,uts.apis.5,Lease of an Olive Garden,,"28 December, 103 AD",103,Oxyrhynchus,grc,Papyri; Document; Lease,,,False
uts.apis.6,20526,20526,p.oxy;2;256,uts.apis.6,Census Return,,ca. 34 AD,34,Oxyrhynchus,grc,Papyri; Document; Census,,,False
uts.apis.7,20687,20687,p.oxy;3;641,uts.apis.7,Notice to Agoranomoi,,"28 October - 26 November, 100 AD",100,Oxyrhynchus,grc,Papyri; Document; Notice,,,False
uts.apis.8,20524,20524,p.oxy;2;254,uts.apis.8,"Census Return, Account",,13 - 26 AD,19,Oxyrhynchus,grc,Papyri; Document; Census Return,,"[recto] To Eutychides and Theon, secretaries of the region and of the village, from Orion the son of Petosiris, priest of Isis the greatest Goddess, of the shrine called the Two Brothers, which is at the Sarapeum in Oxyrhynchus on Myrobalanos street. There are residents in the house which belongs to me and my wife Tasis and Taurios son of Arbichis and Panpontos son of Nechthesoris and Thaechmere in the aforesaid so-called Two Brothers, who include: N.N. whose mother is Sintheos, plain, ... father and... shrine, years... medium, honey-colored skin, with a broad face...",True
uts.apis.9,23717,23717,sb;20;14336,uts.apis.9,Cession of Catoecic Land,,91 - 108 AD,99,Oxyrhynchus,grc,Papyri; Document; Cession,,,False
