doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
wisconsin.apis.5156,15889,15889,p.wisc;2;38,wisconsin.apis.5156,List of payments,"The recto deals with payments of money for the months Choiah, Tybi, Mecheir and Phamenoth of an unknown year in the first century A.D. It is not clear why these payments were made. Most amounts. though not all of them, can be divided by four. On the verso we find one column containing a list of names of foreigners who make payments for an unknown tax(?). In addition there is a list of expenses spread over three columns ( = Ib - d) and headed (line 106): ""logos gerdion dia Kotouitos"". A second column contains a date and a payment by one more foreigner.",54 - 67 A.D.,60.0,"A village in the Polemon meris, Arsinoite nome, Egypt (see ed. princ. note on l. 92-105)",grc,Documentary; Papyrus,,"Account for the daily payment of prakroreia in the month Neronios Augustus: 16 - 130 dr; 17 - 260 dr; 18 - 188 dr; 19 - 188 dr; 20 - 96 dr; ; 21 - 102 dr; 22 - 84 dr; 23 - 28 dr; 24 - 60 dr; 27 - 104 dr; 28 - 180 dr; 29 - 68 dr; 30 - 28 dr; total for the month: 1416 dr.;Tubi 1 - 28 dr; 2 - [ ]6 dr; 3 - [ ]; 4 - [ ]; 5 - [ ]; 6- [ ] dr; 7 - [ ] dr; 8 - [ ] dr; 9 - [ ] dr; 10 - [ ] dr; 11 - [ ] 3[ ] dr; 12 - 1[ ] dr; 13 - [ ]dr; total for the month 3[ ] dr.;Mecheir 15 - 8 dr 5 ob; 16 - 2 dr; 17 - [ ] dr 2 1/2 ob; 18 - 193 dr 2 ob; 19 - 102 dr; 20 - 32 dr 5 1/2 ob; 21 - [ ] dr 1 ob; 22 - [ ] dr 1 ob; Total for the month 48[ ] dr. Total 2[ ]8 dr. From these in the bank in the month Neronios Augustus 1040 dr. Similarly, other 500 dr; in Tybi similarly 68 dr; similarly other [ ] dr to the hegoumenos; similarly other [ ] dr; similarly in the 30th other 400 dr. remainder other 100 dr. from the which the expenses.;Another account daily through Petheus, son of Harapaesis, hegoumenos.;Tybi 19 - 28 dr; 20 - 8 dr; 21 - 48 dr; 22 - 8 dr; 23 - 32 dr; 26 - 14 dr 2 ob; 27 - 160 dr; 28 - 400 dr.; 29 - 809 dr 4 ob; 30 - 426 dr; total for the month 1938 dr; Mecheir 1; 1- 167 dr; 2 - 48 dr; 3 - 6 dr 2 ob; 6 - 234 dr 3 ob; 7 - 153 dr - i ob; 8 - 76 dr; 9 - 38 dr 4 ob; 10 - 110 dr; 11 - 58 dr 4 ob; 12 - 24 dr; 24 - 8 dr; total for the month 978 dr.;total 2916 dr of silver dr.;From these in the bank in Tybi similarly 1140 dr. similarly other 880 dr; similarly other 60 dr; similarly other 500 dr; similarly other 40 dr similarly other 72 dr through Harapaesis, son of Pethes. Of these in the bank 5212 dr.;Similarly and through Kotouis, another hegoumenos;Mecheir 25 - 20 dr; 26 - 89 dr 4 1/2 ob; 27 - 240 dr 12 ob; 28 - 108 dr; 29 - 52 dr; 30 - 8 dr; total for the month 519 dr 2 1/2 ob; ;Phamenoth 1 - 24 dr.; 2 - 121 dr 2 ob; 3 - 43 dr; 4 - 130 dr; 5 - 40 dr; total for the month 877 dr 4 1/2 ob; from these in the banl 400 dr. sililarly in the 5 (of the month) other 360 dr . remainder 17 dr 4 1/2/ ob.;Account of thetax paid by the foreigners;Phamenoth 1 ;Harpaesis, from Kerkesoucha 3 dr 3 ob;;Onnophris from Dionysias 3 dr 3 ob;;Onnophris, son of Sambas 4 dr;;Horis, son of Hermas for his son 1 dr 5 ob;;Pases from Nesos 20 ob;Kames for Neilou polis through Petr( ) 4 dr;;Pasion son of Ammonios 4 dr;;Nekpheraus from Bakchias 4 dr;;heron from Taurinos 4 dr;;Epaphras 4 dr.;Ptollion son of Petees 2 dr;;Sokmenis son of Pakysis 4 dr;;Horos son of Satabous from Nesos 8 dr;Account of the weavers through Kotouis;Mecheir 10;account of weavers 28 dr;;[fragmnetary status of about 17 lines];Phamenoth 2;---;weavers;for cutting fowl 3 ob;3 (of the month) similarly another 3 ob;;vegetables dr;;vinegar ob;cheiristikon 1 dr 4 ob;;exchange of 2 stateres 2 ob;;To Heron the mach(etes?) 4 dr;;To Ptolemaios --- for writing the document 8 dr;;--- 5 dr 3 ob;;To Panephremmis the komarch 9 dr;;---;to Hydrophylax 4 dr;to the builder breaking --- 1 dr;;to Papepn( ) the parachytes 1 dr;;to the machaerophoros of the strategos --- 2 1/2/;Expenses for 8 days 4 dr 4 ob;;Pharmouthi 10;Kames from Neilopolis 4 dr",True
wisconsin.apis.5173,15890,15890,p.wisc;2;39,wisconsin.apis.5173,Receipt of corn,"A common receipt for payment of a certain number of artabas of barley, undoubtdly paid as a tax.",119 - 120  A.D.,119.0,"Oxyrhynchite nome, Egypt",grc,Documentary; Papyrus,,"Hermas, son of Tarutillius, through his father Tarutillius, Apeis, son of Loukas, [ ], son of Pathool( ), Diosko( ), son of Apol( ), and Apollo( ), his mother being Siag, have measured out to the treasury of the produce of the fourth year of Hadrianus Caesar the lord through Andromachus, sitologus of Monimou in the Upper toparchy twelve and a half artabas six choinikes, total 12 1/2 art., 6 choinikes. (2nd jand) And through the sitologus of Sinary likewise one artaba - - - of barley, total 1 art.",True
wisconsin.apis.5189,15891,15891,p.wisc;2;40,wisconsin.apis.5189,Tax receipt,A receipt for at least six payments of different amounts of money for an unknown tax. The payments are made to Hermes and the other superintendents.,"(After) October 22, 184 A.D.",,Unknown,grc,Documentary; Papyrus,,"Year 23 of Marcus Aurelius Commodus;[ ]ammon son of Apsois [paid to] Hermes and the rest of epiteretes ... the same year for account [ ]8 silver drachmai, total dracmai 8. Year 24 Thoth [ ] ... dracmai six, total dracjmai 6, 2 oboloi.;[Year 24 Marcus Aurelius Commodus. [ ] paid to heremes and the rest of epiteretes ... for the upokeimena (tax) ... the same year ... for account 2 silver drachmai, total drachmai 2. Year 25 Phaophi 25 .... total drachmai 4 2 oboloi ... twelve, total 12 ... for account ... drachmai 10, total drachmai 1[ ]",True
wisconsin.apis.5284,13714,13714,p.wisc;2;41,wisconsin.apis.5284,Receipt for poll-tax,,"(After) August 6, 18 A.D.",,"Arsinoe, Arsinoite nome, Egypt",grc,Documentary; Papyrus,,"lines 7-12;Year 29 of Aurelius Commodus Antoninus Caesar the lord Mesore 13, for the account of Payni. Epeiph. Paid to Prolemios, son of Heron, grandson of Apion, his mother being Thaesis, as poll tax for the 29th year in the quarter Apolloniou Parembole, twenty drachmai, total 20, and the extra payments, ten oboloi of copper.",True
wisconsin.apis.5344,13715,13715,p.wisc;2;42,wisconsin.apis.5344,Receipt for poll-tax,A receipt for three instalments of poll-tax written in bad Greek,"(After) February 24, 190 A.D.",,"Hephaestias, village in the Herakleidou meris of the Arsinoite nome, Egypt",grc,Documentary; Papyrus,,"lHathyr 30. Paid through Aurelius Petesouchos, collector of money-taxes at Hephaestias by kle( ), son of N.N. as poll-tax for the 30th year eight drachmas, total 8 dr. (2nd hand) Mecheir 30 drachmas, total 8 dr. (3rd hand) Tybi 30 another twelve drachmas, total 8 dr.",True
wisconsin.apis.5345,13716,13716,p.wisc;2;43,wisconsin.apis.5345,Payment of corn dues,,193-198 A.D.,195.0,Bousiris,grc,Documentary; Papyrus,,"The [ ]th year of Lucius Septemius Severus Pertinax Pius, the 20th od ---. We, Pasion and He---, sitologi-elect of the village of Bousiris, have had measured (to us) from the produce of the same year by public measure --- in the name of Eudaimon, son of N.N., through --- of Belles --- nine and one-twelfth artabas of wheat, total 9 1/12 art. of wheat and --- by the public measure --- 18 1/2 artabas of wheat, total 18 1/2 art. of wheat.",True
wisconsin.apis.5347,26682,26682,p.wisc;2;44,wisconsin.apis.5347,Payment of corn,"The persons mentioned in this papyrus (men and women) paid certain amounts of corn, as we may deduce from the appearance of choinix, a dry measure for corn especially. We can no longer ascertain for what reason these payments were made. There is no order in the sequence of days. The names of the pesons and the number of artabas paid by them were probably copied from other documents (the receipts issued to the payers?) and they were transcribed as the writer found them. This papyrus may have served as a list to check who had paid and who had not. Possibly another list was made by means of this one, now arranged according to days. Not only men but women are listed.",IIIrd/IVth century A.D.,299.0,Oxyrhynchite nome (BL VIII 511),grc,Documentary; Papyrus,,"23. Horos, son of Herakles [;26. Herakles, son of Herakles and Thae(sis) 19 ch(oinikes) 1;25. Sarapion, son of [ ]senos ch(oinikes) 2;31. Thotis, daughter of Ida[ ] (half) (quarter), ch(oinikes) x;25. Herakles, son of Herakles 17 (quarter) ch(oinikes) 1;24. Papontos, son of Kastor 3 (half);23. Herakles, son of T[ ], grandson of Harsiesis 13 (quarter) ch(oinikes) x;23. Onnophris son of Herakles (half) ch(oinikes) 1;25. Herakles son of Herakles and Sinth(oonis) 4 (half) (quarter) ch(oinikes) [x];29. Pnepheros son of Thonis 25 (half) (quarter);25. Tageris daughter of Patos and Ako(usous) 13;25. Herakles son of Spartakos (quarter) [ch(oinikes] 4;30. Arsous son of Spartakos 1;25. Taonnophris daughter of Onnophris x [ch(oinikes)] 1;24. Isidoros son of Herakl(es) [ ];29. Horos son of Thonis 7 (half) (quarter);30. Tases son of Papontos 7 (half);30. Pases named as her mother being Sintho(onis) 11;30. Spartas son of E..to( ) 11;30. Loukios son of Loukios 15;30. Horion son of Demas 1 ch(oinikes) 2 4;23. Spartas son of ....( ) 11;23. [ ]tou[ ;25. Horos son of Herakles 1 [",True
wisconsin.apis.5348,26682,26682,p.wisc;2;44,wisconsin.apis.5348,P.Wisc. inv. 63,"line 4 reads ""Mesore 3""; line 11 ""Pharmouthi 7""; line 14 ""Pauni 20"". In l. 9 ""through Papontos""; l. 5 ""chalkimos"" and in l. 6 ""ch]alkimou (?)",IIIrd/IVth century A.D.,299.0,unknown,grc,Documentary; Papyrus,,,False
wisconsin.apis.5349,38647,38647,p.wisc;2;45,wisconsin.apis.5349,List of payments,A list of names (all followed by the name of the father) of persons who pay a certain number of solidi and keratia. The purpose of this list cannot be ascertained. From the fractions it follows that these persons paid in solidi and keratia. After checking a large dot was placed in front of the amounts.,VIIth/VIIIth century A.D.,699.0,Unknown,grc,Documentary; Papyrus,,"Apa Ilos, son of Apa Melas 5 1/48;Ph.lta( ), son of Senouth(es) 2 (half) (quarter);Bartho(lomaios) diakon 2 (half) (third);Ioannes, son of Apa Ioulios 5 (half) 1/48;Kosmas, son of Apa Ioulios 2 1/3;Senouth(es), sos of Apa Neilos 1 (quarter);Menas, son of Phi ......... 1 1/8;Melas son of Iakk(obios); 1 1/1x;Senouth(es), son of O[ ]; 1 1/3 1/12;Ka[ ]ost( ), son of Cha( ) 1/3",True
wisconsin.apis.5350,15892,15892,p.wisc;2;46,wisconsin.apis.5350,List of names,"A list of names. Originally the papyrus must have been much bigger. At the left-hand side the endings of 12 names (the fifth ending is ""-ites"") of a preceding column are still visible. As the total number of persons listed is 127 (line 36) and only the names of 32 persons are preserved, it follows that a piece containing 95 names (and a heading?) has been lost.;If the reading in l. 34 [pol( )] is right, then we are dealing with a list of citizens from one of the three autonomous cities: Alexandria, Ptolemais or Naukratis. The purpose of this list, dating from the beginning of the Roman occupation, may have been to establish who were citizens and who were not. Not only men but also women are listed.",22/21 B.C.,-22.0,Unknown,grc,Documentary; Papyrus,,"col. II;- - - - - - ;[..] . [;Horos, son of ......;Harpaesis son of Konon;;Pnepheros son of Harpekis;;Patmoueios son of Metochos;;Psenamounis son of Herakles;;Peteesis son of Pameinis;;Zenon son of Dikaious;;Asklas son;;Herotes brother;;Apollos .....;;Apollos son of Alistokrates;;Pasis son of Pamos;;Pasis son (of Pasis);;Epeis brother similarly;;Pnepheros son of Chesm ...os;;Pachis son of Onnophris;;Nekpheraus son of Autonomos;;Sisois son of Nekphras;;Onnophris son;;Droetes son of Harthes;;Onnophris son of .....;;Soumeis son of Atres;;Petesouchos son of Paaimis;;Horos son of Pathermouthis;;Petesouchos son of Syn[ ];;Papontos son of Pete[ ];;Petees son of Kametes;;Pason son of Epharmostos;;NN, daughter of Onnophris;;NN, daughter of Petesiris;;NN, daughter of Apollon;;total pol( ) 122;and not aged yet 5;total 127.",True
