doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
yale.apis.0000010000,10817,10817,p.fay;;25,yale.apis.0000010000,"List, Roman CE 36, Aug 17","Of men who fulfilled their work on the embankments, penthemeros certificate for labor, receipt","Roman CE 36, Aug 17",17.0,"Euhemeria, Arsinoite nome",grc,,,,False
yale.apis.0000024100,10929,10929,p.fay;;86A,yale.apis.0000024100,"Account, Roman CE 161-169","Receipts of and freight charges for grain, by sitologoi",Roman CE 161-169,165.0,"Theadelphia, Arsinoite nome",grc,,,,False
yale.apis.0000024200,,,,yale.apis.0000024200,Account,,,,"Theadelphia, Arsinoite nome",grc,,,,False
yale.apis.0000030000,10778,10778,p.fay;;113,yale.apis.0000030000,"Letter, Roman CE 100",Lucius Bellenus Gemellus to his son Sabinus,Roman CE 100,100.0,"Euhemeria, Arsinoite nome",grc,,,,False
yale.apis.0000040000,10780,10780,p.fay;;115,yale.apis.0000040000,"Letter, Roman CE 101",Lucius Bellenus Gemellus to Epagathus,Roman CE 101,101.0,"Euhemeria, Arsinoite nome",grc,,,,False
yale.apis.0000050000,25721,25721,p.fay;;137,yale.apis.0000050000,"Petition, Roman CE i [BPG]",To an oracle,Roman CE i [BPG],50.0,"Bacchias, Arsinoite nome",grc,,,,False
yale.apis.0000060000,25722,25722,p.fay;;138,yale.apis.0000060000,"Petition, Roman CE i-ii [BPG]",To an oracle,Roman CE i-ii [BPG],100.0,"Bacchias, Arsinoite nome",grc,,,,False
yale.apis.0000070000,13740,13740,p.yale;1;74,yale.apis.0000070000,"Receipt, Roman CE 208, 5. Dec.  [PJS]",For 1% and 2% customs tax,"Roman CE 208, 5. Dec.  [PJS]",,"Bacchias, Arsinoite nome",grc,,,,False
yale.apis.0000080000,,60370,,yale.apis.0000080000,"Literary work, Roman CE i-early ii [BPG]","Homer, Iliad XXII.254-299, 350-355, 358-362, 364-365",Roman CE i-early ii [BPG],63.0,"Euhemeria, Arsinoite nome",grc,,,,False
yale.apis.0000090000,10831,10831,p.fay;;265,yale.apis.0000090000,"Letter, Roman CE i-ii (ca. 100) [BPG]",Lucius Bellenus Gemellus to [...],Roman CE i-ii (ca. 100) [BPG],100.0,"Euhemeria, Arsinoite nome",grc,,,,False
yale.apis.0000100000,10833,10833,p.fay;;267,yale.apis.0000100000,"Letter, Roman CE i-ii (ca. 100) [BPG]",Lucius Bellenus Gemellus to [...],Roman CE i-ii (ca. 100) [BPG],100.0,"Euhemeria, Arsinoite nome",grc,,,,False
yale.apis.0000110000,10839,10839,p.fay;;272,yale.apis.0000110000,"Letter, Roman CE i-ii (ca. 100) [BPG]",Lucius Bellenus Gemellus to his son Sabinus,Roman CE i-ii (ca. 100) [BPG],100.0,"Euhemeria, Arsinoite nome",grc,,,,False
yale.apis.0000120000,10840,10840,p.fay;;273,yale.apis.0000120000,"Letter, Roman CE i-ii (ca. 100) [BPG]",Lucius Bellenus Gemellus to [...],Roman CE i-ii (ca. 100) [BPG],100.0,"Euhemeria, Arsinoite nome",grc,,,,False
yale.apis.0000134100,,,,yale.apis.0000134100,"Account, Roman CE ii [BPG]",List of names with charges or payments in money (for poll tax?),Roman CE ii [BPG],149.0,"Theadelphia, Arsinoite nome",grc,,,,False
yale.apis.0000134200,28655,28655,p.fay;;335,yale.apis.0000134200,"Account, Roman [BPG]",List of names with charges or payments in grain,Roman [BPG],100.0,"Theadelphia, Arsinoite nome",grc,,,,False
yale.apis.0000140000,16845,16845,p.yale;1;73,yale.apis.0000140000,"Receipt, Roman CE 186",For poll tax,Roman CE 186,186.0,"Theadelphia, Arsinoite nome",grc,,,,False
yale.apis.0000150000,,,,yale.apis.0000150000,"Certificate, Roman CE 138-161",For labor (penthemeros),Roman CE 138-161,149.0,"Theadelphia, Arsinoite nome",grc,,,,False
yale.apis.0000160000,14578,14578,sb;16;12315,yale.apis.0000160000,"Certificate, Roman CE 119, Aug 1",For labor (penthemeros),"Roman CE 119, Aug 1",1.0,"Theadelphia, Arsinoite nome",grc,,,,False
yale.apis.0000170031,832139,832139,aegyptus;98;140_2,yale.apis.0000170031,"Account, Roman CE i-ii [CBW]","List of names, with professions, etc., with charges or payments",Roman CE i-ii [CBW],100.0,Hawara,grc,,,,False
yale.apis.0000170032,26062,26062,aegyptus;98;133_1,yale.apis.0000170032,"Account, Ptolemaic [AHS]|Roman CE i-ii [CBW]",List of names with charges or payments,Ptolemaic [AHS] Roman CE i-ii [CBW],-349.0,Hawara,grc,,,,False
yale.apis.0000184100,40468,40468,aegyptus;94;70_4r,yale.apis.0000184100,"Account, Roman CE ii [CBW]","List of names, etc., with payments",Roman CE ii [CBW],149.0,Hawara,grc,,,,False
yale.apis.0000184200,703072,703072,aegyptus;94;72_4v,yale.apis.0000184200,"Account, Roman CE ii [CBW]",,Roman CE ii [CBW],149.0,Hawara,grc,,,,False
yale.apis.0000190000,40469,40469,sb;26;16577,yale.apis.0000190000,"Account, Roman CE i-iii [CBW]",List of household items and payments,Roman CE i-iii [CBW],100.0,Hawara,grc,,,,False
yale.apis.0000200000,8195,8195,p.yale;1;33,yale.apis.0000200000,"Letter, Ptolemaic BCE 253, Apr 5 [BPG, CBW]","Deinon to the toparch Harimouthes, concerning native soldiers and harvesters","Ptolemaic BCE 253, Apr 5 [BPG, CBW]",,Ankyronon Polis,grc,,,,False
yale.apis.0000210000,8200,8200,p.yale;1;32,yale.apis.0000210000,"Letter, Ptolemaic BCE iii (ca. 257) [BPG]","The oikonomos (?) Leodamas to Laomedon, concerning shipment of grain and olives",Ptolemaic BCE iii (ca. 257) [BPG],-250.0,Ankyronon Polis,grc,,,,False
yale.apis.0000220000,8205,8205,p.yale;1;34,yale.apis.0000220000,"Letter, Ptolemaic BCE 250, Jan 28 [BPG, CBW]",The oikonomos (?) Skythes to the komogrammateus Ptolemaios,"Ptolemaic BCE 250, Jan 28 [BPG, CBW]",,Ankyronon Polis,grc,,,,False
yale.apis.0000230000,8206,8206,p.yale;1;35,yale.apis.0000230000,"Letter, Ptolemaic BCE 249, Dec 9 [BPG, CBW]",The archiphylakites Patron to the komogrammateus Ptolemaios,"Ptolemaic BCE 249, Dec 9 [BPG, CBW]",,Ankyronon Polis,grc,,,,False
yale.apis.0000240000,8272,8272,p.yale;1;30,yale.apis.0000240000,"Letter, Ptolemaic BCE iii (ca. 265) [BPG]","Zoilos to Ploutarchos, concerning damaged merchandise",Ptolemaic BCE iii (ca. 265) [BPG],-250.0,Ankyronon Polis,grc,,,,False
yale.apis.0000250000,8273,8273,p.yale;1;47,yale.apis.0000250000,"Letter, Ptolemaic BCE iii (ca. 230) [BPG]",Herakleodoros to Kleitarchos,Ptolemaic BCE iii (ca. 230) [BPG],-250.0,Ankyronon Polis,grc,,,,False
yale.apis.0000260000,8274,8274,p.yale;1;48,yale.apis.0000260000,"Letter, Ptolemaic BCE iii (ca. 230) [BPG]",[Asklepiades?] to Kleitarchos,Ptolemaic BCE iii (ca. 230) [BPG],-250.0,Ankyronon Polis,grc,,,,False
yale.apis.0000270000,8275,8275,p.yale;1;49,yale.apis.0000270000,"Letter, Ptolemaic BCE 227, Jul 16-Aug 14",Asklepiades to Kleitarchos,"Ptolemaic BCE 227, Jul 16-Aug 14",14.0,Ankyronon Polis,grc,,,,False
yale.apis.0000280000,78827,78827,p.yale;1;59,yale.apis.0000280000,"Literary work (?), Ptolemaic-Roman BCE i-CE i [CBW]",,Ptolemaic-Roman BCE i-CE i [CBW],0.0,,grc,,,,False
yale.apis.0000290000,,,,yale.apis.0000290000,"Document, Ptolemaic BCE ii [AES]",Letter (?),Ptolemaic BCE ii [AES],-150.0,,grc,,,,False
yale.apis.0000300000,,61524,,yale.apis.0000300000,"Literary work, Roman CE ii-iii [BPG]",Comedy,Roman CE ii-iii [BPG],199.0,Oxyrhynchus,grc,,,,False
yale.apis.0000310000,,62641,,yale.apis.0000310000,"Literary work, Roman CE iii [BPG, ASH]|Roman CE late ii [CBW]","Plato, Republic X.607e-608a","Roman CE iii [BPG, ASH] Roman CE late ii [CBW]",249.0,Oxyrhynchus,grc,,,,False
yale.apis.0000320000,28407,28407,p.oxy;1;115,yale.apis.0000320000,"Letter, Roman CE ii (Oct 28 or 29) [BPG]","Irene to Taonnophris and Philo, offering condolences",Roman CE ii (Oct 28 or 29) [BPG],149.0,Oxyrhynchus,grc,,,,False
yale.apis.0000330000,20806,20806,sb;22;15367,yale.apis.0000330000,"Receipt, Byzantine CE 535, Jan 17","For loan of money, from Pamuthios, pronoetes of the village Leontos to Johannes, a farmer of two farms in the same village","Byzantine CE 535, Jan 17",17.0,"Leontos epoikion, Oxyrhynchite nome",grc,,,,False
yale.apis.0000344100,,59037,,yale.apis.0000344100,"Literary work, Roman CE early ii [BPG]",Tragedy (Sophocles? Aeschylus?),Roman CE early ii [BPG],,Oxyrhynchus,grc,,,,False
yale.apis.0000344200,,,,yale.apis.0000344200,"Account, Roman CE i [BPG]",Lists of names with charges or payments,Roman CE i [BPG],50.0,Oxyrhynchus,grc,,,,False
yale.apis.0000354100,,63206,,yale.apis.0000354100,"Literary work, Roman CE early i [BPG]",Rhetorical exercise (?),Roman CE early i [BPG],,Oxyrhynchus,grc,,,,False
yale.apis.0000354200,,,,yale.apis.0000354200,"Letter, Roman CE early i [BPG]",Dionysios to Pse[?],Roman CE early i [BPG],,Oxyrhynchus,grc,,,,False
yale.apis.0000360000,,63205,,yale.apis.0000360000,"Literary work, Roman CE early i [BPG]",Lament,Roman CE early i [BPG],,Oxyrhynchus,grc,,,,False
yale.apis.0000370000,20518,20518,p.oxy;2;249,yale.apis.0000370000,"Registration, Roman CE 80, Oct 10",Of inherited property,"Roman CE 80, Oct 10",10.0,Oxyrhynchus,grc,,,,False
yale.apis.0000380000,20539,20539,p.oxy;2;268,yale.apis.0000380000,"Registration, Roman CE 58",Of repayment of wife's dowry by heir of deceased husband,Roman CE 58,58.0,Oxyrhynchus,grc,,,,False
yale.apis.0000390000,20547,20547,p.oxy;2;276,yale.apis.0000390000,"Receipt, Roman CE 77",For grain to be shipped,Roman CE 77,77.0,Oxyrhynchus,grc,,,,False
