institution,doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
berenike,berenike.apis.1,70778,70778,o.berenike;1;1,berenike.apis.1,Order from Sosibios to Andouros,Remains of a customs pass for wine exportation.,33 - 70 A.D.?,51.0,Roman dump at Berenike.,grc,Ostraca; Order; Customs; Wine; Export,,"""Sosibios to Andouros, greetings. Let pass for A-- 6 italika of wine.""",True
berenike,berenike.apis.10,70787,70787,o.berenike;1;10,berenike.apis.10,Order from Sosibios to Andouros,Remains of a customs pass for wine exportation.,33 - 70 A.D.?,51.0,Roman dump at Berenike.,grc,Ostraca; Order; Customs; Wine; Export,,"""Sosibios to Andouros, greetings. Let pass for NN - italika of wine.""",True
berenike,berenike.apis.100,70877,70877,o.berenike;1;100,berenike.apis.100,Document,Remains of a document of an uncertain character.,33 - 70 A.D.?,51.0,Roman dump at Berenike.,grc,Ostraca; Document,,,False
berenike,berenike.apis.101,70878,70878,sb;30;17282,berenike.apis.101,Document,Remains of a document relating to an account.,33 - 70 A.D.?,51.0,Roman dump at Berenike.,grc,Ostraca; Document; Account,,,False
berenike,berenike.apis.102,70879,70879,o.berenike;1;102,berenike.apis.102,Receipt,Receipt for the delivery of a load of barley.,"August 6, 33 A.D.",,Roman dump at Berenike.,grc,Ostraca; Receipt; Surety; Barley; Soldier,,"""--tios, lancer, to --, son of Didymous, greetings. I have received from you 6 artabas of barley, total 6 art., which Gaius Iulius --, soldier, became surety for. Year 19 of Tiberius Caesar Augustus, Mesore 13.""",True
berenike,berenike.apis.103,70880,70880,o.berenike;1;103,berenike.apis.103,Document,Remains of a document of an uncertain character.,33 - 70 A.D.?,51.0,Roman dump at Berenike.,grc,Ostraca; Document,,,False
berenike,berenike.apis.104,70881,70881,o.berenike;1;104,berenike.apis.104,Customs Order,Remains of a customs pass for wine exportation.,33 - 70 A.D.?,51.0,Roman dump at Berenike.,grc,Ostraca; Order; Customs; Wine; Export,,"""NN to NN, greetings. Let pass for Eponychos, son of Paeris, five italika of wine, total 5.""",True
berenike,berenike.apis.105,70882,70882,o.berenike;1;105,berenike.apis.105,Receipt for the Quintana Tax,Receipt for the Quintana Tax,"July 4, A.D. 54 - 68",61.0,This document was discovered in a Roman dump at Berenike.,grc,Ostraka; Receipt; Quintana; Quintanensis,,"(1 h.) Germanos, quintanensis, to Panechates son of P[--, greetings.] I have from you the quint(ana) of Pa[uni, 16 (dr.). (Year) --] of Nero the lord, Epeiph 10. (2 h.) I, Germanson, have signed.",True
berenike,berenike.apis.106,70883,70883,o.berenike;1;106,berenike.apis.106,Grain Receipt from an Imperial Slave to Psenosiris,"Remains of a receipt for wheat(?), barley and chaff.","September 20, 61 A.D.?",,Roman dump at Berenike.,grc,Ostraca; Receipt; Wheat; Barley; Slave,,"""Zethos, slave to Gratus, slave of Caesar, to Psenosiris, son of Kastor, grandson of Psenthotes, greetings. I have received from you at Berenike, since the transport of the delivery for the month of Sebastos, twenty artabas of wheat (?), likewise ... of barley, four artabas, totals 4 art. of barley, and likewise of chaff one and a half, total 1 1/2 load. Year 8 of Nero the lord, 23rd of the month of August. (2nd Hand) Balance ...""",True
berenike,berenike.apis.107,70884,70884,o.berenike;1;107,berenike.apis.107,Letter,Remains of a letter of an uncertain character.,33 - 70 A.D.?,51.0,Roman dump at Berenike.,grc,Ostraca; Letter,,,False
