doc_id,institution,date_year,date_text,genre,name,father,role,context
michigan.apis.10,michigan,249.0,IInd - IVth century A.D.,Documentary; Wooden Tablet,Thaseis,Pachumis,,"Apollonios, son of Neeisis and Thaseis daughter of Pachumis, grandson of Apollonios, age 22 years. Farewell."
michigan.apis.1000,michigan,,"December 21, 280 A.D.[?]",Documentary; Ostracon,Ptolemaios,Iulianus,,"Ptolemaios son of Iulianus, of the crops of the 5th year of Karanis, through beasts, six sacks. In the 6th year, Choiak 25."
michigan.apis.1001,michigan,,"August 2, 303[?] A.D.",Documentary; Ostracon,Palemon,Ptollas,,"Through sitologoi, has shifted (to the harbor) Palemon son of Ptollas, for the crops of the 18th and 17th and 10th year and of the 17th and 16th and 9th year, fifteen donkeys of wheat, = 15"
michigan.apis.1002,michigan,,"July 23, 315 A.D.",Documentary; Ostracon,Achillas,Antoninus,donkey-driver," the granary of the village of Karanis, of the crops of the 8th and [6th] year, Achillas son of Antoninus, through Syros son of Herakles, donkey-driver, has handed in four sacks of wheat, = 4, in the "
michigan.apis.1002,michigan,,"July 23, 315 A.D.",Documentary; Ostracon,Syros,Herakles,donkey-driver,"nis, of the crops of the 8th and [6th] year, Achillas son of Antoninus, through Syros son of Herakles, donkey-driver, has handed in four sacks of wheat, = 4, in the harbor of Leukogion. I, Isidoros, h"
michigan.apis.1006,michigan,,"June 23, 289 A.D.",Documentary; Ostracon,Ouenaphris,Atisios,,"hrough Cassianus, of the village of the horiodeiktia of Karanis, in the name of Ouenaphris son of Atisios, two donkeys. In the 5th and 4th year, on Pauni 29."
michigan.apis.1007,michigan,249.0,IIIrd century A.D. (November 27/28),Documentary; Ostracon,Artemidoros,Phokas,,"Of Syron (kome), Artemidoros son of Phokas, three sacks, equal 3. In the 4th year, on Choiak 1."
michigan.apis.1011,michigan,162.0,(Late) IInd century/(early) IIIrd centur,Documentary; Ostracon,Arianus,Terentius,,"In the 1st year, on Mesore 2nd intercalary day, Arianus son of Terentius has given (his part)."
michigan.apis.1012,michigan,249.0,(Late) IIIrd century A.D.,Documentary; Ostracon,Esouris,Chairemon,,"Esouris son of Chairemon, six sacks, equal 6."
michigan.apis.1013,michigan,,"April 8, 278 A.D.",Documentary; Ostracon,Ptolemaios,Iulianus,,"Of the crops of the 2nd year, of Karanis, Ptolemaios son of Iulianus, 4 sacks. In the 3rd year, Pharmouthi 13."
michigan.apis.1014,michigan,,"June 18, 188 A.D.",Documentary; Ostracon,Theagenes,Horion,,"In the 28th year, on Pauni 21, Theagenes son of Horion has given two naubia for (his) arourai. I have signed."
michigan.apis.1015,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Sarapion,Antonius,,"Sarapion son of Antonius, seven sacks, equal 7 sacks."
michigan.apis.1016,michigan,,"February 19[?], 313 A.D.",Documentary; Ostracon,Apiris,Ouenaphris,,"ary of the village of Karanis, of the horiodeiktia, has shifted (to the harbor) Apiris son of Ouenaphris through beasts of Arsinoe, for the crops of the 8th and 6th and 4th year, two donkeys of barley"
michigan.apis.1021,michigan,249.0,IIIrd century A.D. (July 15),Documentary; Ostracon,Anthestis,Touam,,"In the 4th year, Epeiph 21. Anthestis son of Touam( ) has given (his part)."
michigan.apis.1028,michigan,300.0,300/301 A.D.,Documentary; Ostracon,Arabikos,Ptollas,,"lage of Karanis, of the crops of the 16th and 15th and 8th year, in the name of Arabikos son of Ptollas, two donkeys, equal 2 donkeys. In the 17th and 16th and 9th year, on [- - -]"
michigan.apis.1029,michigan,,"June 4, 298 A.D.",Documentary; Ostracon,Ptollas,Sokrates,,"ktia of Karanis, of the crops of the 13th and 12th and 5th year, in the name of Ptollas son of Sokrates, through Arabikos, through his own beasts, one donkey, 1. In the 14th and 13th and 6th year, on "
michigan.apis.1030,michigan,308.0,"September 18, 304 or 312[?] A.D.",Documentary; Ostracon,Paout,Arabikos,,"e granary of the village of Karanis, of the crops of the 19th year, has shifted Paout son of Arabikos to the harbor of Leukogion, of those from Thoth 5 until 21, eight donkeys of wheat, = 8. In the . "
michigan.apis.1036,michigan,249.0,"(Late) IIIrd century A.D. (July 19, 260 ",Documentary; Ostracon,Horion,Alexandros,,"Of the crops of the 6th year, Horion son of Alexandros, 10 sacks, 30 artabai of wheat. In the 7th year, on Epeiph 25. I have signed."
michigan.apis.1038,michigan,249.0,IIIrd century A.D.,Documentary; Ostracon,Heroninos,Horos,,"on of Pasei through Tapasion, his wife, has paid 8 artabai of wheat and through Heroninos son of Horos, similarly, 7 artabai of wheat."
michigan.apis.1039,michigan,249.0,"IIIrd century A.D. (July 27, 244 or 238 ",Documentary; Ostracon,Manes,Maron,,"In the 1st year, on Mesore 3, of the sitologoi of the horiodeiktia of Karanis, Manes son of Maron, five sacks, equal 5, of the crops of the same year."
michigan.apis.1040,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Kastor,Deios,,"Kastor son of Deios, [[2]] 1 sack of barley."
michigan.apis.1041,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Sarapion,Onnophris,,"Sarapion son of Onnophris, 2 sacks of barley."
michigan.apis.1044,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Ptolemaios,Theagenes,,"Ptolemaios son of Theagenes and his brother, five sacks, equal 5 sacks."
michigan.apis.1046,michigan,249.0,"IIIrd century A.D. (January 10 (or 20), ",Documentary; Ostracon,Pleein,Mysthes,,"ear of the granary of the horiodeiktia of Karanis, through Phaesis, has brought Pleein son of Mysthes three sakkoi. In the 1st(?) year, Tybi 14(?)."
michigan.apis.1049,michigan,162.0,(Late) IInd century/(early) IIIrd centur,Documentary; Ostracon,Aphrodisios,Aunes,,"In the 1st year, on Mesore 28, Aphrodisios son of Aunes and Aunes his son and Horos his other (son) have given three (naubia)."
michigan.apis.1050,michigan,249.0,"IIIrd century A.D. (May 18, 227 or 243[?",Documentary; Ostracon,Didymos,Ouenaphris,,"ps of the 5th year, of the sitologoi of Kerkesoucha, through beasts of Karanis, Didymos son of Ouenaphris, 3 sacks. In the 6th year, Pachon 23."
michigan.apis.1054,michigan,,"March-April, 276 A.D.[?]",Documentary; Ostracon,Ptollas,Sokrates,,"Through beasts [of - - -], of the crops of the 6th year, [. . .] sacks, Ptollas son of Sokrates(?). In the 1st year, on Pharmouthi [. .]."
michigan.apis.1055,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Apollonios,Sotas,,Apollonios son of Sotas 1000 drachmai;Serenos son of Horos 2000 drachmai;Leein son of Nikanor 1500 drachmai;Melas son of Sokrates 1800 drachmai
michigan.apis.1055,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Serenos,Horos,,Apollonios son of Sotas 1000 drachmai;Serenos son of Horos 2000 drachmai;Leein son of Nikanor 1500 drachmai;Melas son of Sokrates 1800 drachmai;Ptollas son of Pa . . . [
michigan.apis.1055,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Leein,Nikanor,,Apollonios son of Sotas 1000 drachmai;Serenos son of Horos 2000 drachmai;Leein son of Nikanor 1500 drachmai;Melas son of Sokrates 1800 drachmai;Ptollas son of Pa . . . [
michigan.apis.1055,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Melas,Sokrates,, drachmai;Serenos son of Horos 2000 drachmai;Leein son of Nikanor 1500 drachmai;Melas son of Sokrates 1800 drachmai;Ptollas son of Pa . . . [
michigan.apis.1057,michigan,,"November 22, 278 A.D.",Documentary; Ostracon,Ptolemaios,Iulianus,,"Of Syron (kome), Ptolemaios son of Iulianus, three sacks, equal 3. In the 4th year, Hathyr 26."
michigan.apis.1060,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Horion,Amianos,,"Kasianes;Ptolemais, manufacturer of oil;Horion son of Amianos;Heron son of Heron;Ouainaphis son of Salae;Serenes son of Ptolemaios;Demetres son of - - -"
michigan.apis.1060,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Heron,Heron,,"Kasianes;Ptolemais, manufacturer of oil;Horion son of Amianos;Heron son of Heron;Ouainaphis son of Salae;Serenes son of Ptolemaios;Demetres son of - - -"
michigan.apis.1060,michigan,262.0,(Late) IIIrd century/(early) IVth centur,Documentary; Ostracon,Ouainaphis,Salae,,"asianes;Ptolemais, manufacturer of oil;Horion son of Amianos;Heron son of Heron;Ouainaphis son of Salae;Serenes son of Ptolemaios;Demetres son of - - -"
