name,father,institution,n_docs,earliest,latest,span_years,roles,doc_ids
Palemon,Ptollas,michigan,8,262.0,304.0,42.0,auletes,michigan.apis.1001; michigan.apis.21; michigan.apis.848; michigan.apis.854; michigan.apis.873; michigan.apis.882; michigan.apis.883; michigan.apis.887
Ptollas,Sokrates,michigan,8,249.0,249.0,0.0,,michigan.apis.1029; michigan.apis.1054; michigan.apis.864; michigan.apis.867; michigan.apis.871; michigan.apis.872; michigan.apis.876; michigan.apis.881
Ptolemaios,Iulianus,michigan,5,,,0.0,,michigan.apis.1000; michigan.apis.1013; michigan.apis.1057; michigan.apis.1167; michigan.apis.491
Palemon,Palemon,michigan,4,262.0,308.0,46.0,donkey-driver,michigan.apis.859; michigan.apis.878; michigan.apis.882; michigan.apis.883
Komon,Kallonios,michigan,3,249.0,262.0,13.0,sitologos,michigan.apis.550; michigan.apis.557; michigan.apis.898
Akousilaos,Tebas,michigan,3,-50.0,-50.0,0.0,,michigan.apis.921; michigan.apis.929; michigan.apis.978
Stotoetis,Isidoros,michigan,3,149.0,149.0,0.0,,michigan.apis.2588; michigan.apis.2589; michigan.apis.2591
Nilammon,Toullas,michigan,3,449.0,449.0,0.0,,michigan.apis.2406; michigan.apis.2410; michigan.apis.2413
Heron,Heron,michigan,3,262.0,262.0,0.0,,michigan.apis.1060; michigan.apis.1121; michigan.apis.550
Peeous,Ptolemaios,michigan,3,262.0,262.0,0.0,,michigan.apis.534; michigan.apis.550; michigan.apis.569
Petheus,Charidemos,michigan,3,149.0,149.0,0.0,,michigan.apis.2588; michigan.apis.2589; michigan.apis.2591
Ptolemaios,Ptolemaios,michigan,3,249.0,249.0,0.0,,michigan.apis.1126; michigan.apis.865; michigan.apis.869
Kastor,Ptolemaios,michigan,2,262.0,262.0,0.0,auletes,michigan.apis.882; michigan.apis.883
Haryotes,Outhe,michigan,2,-50.0,-50.0,0.0,,michigan.apis.1128; michigan.apis.1130
Apion,Hatres,michigan,2,449.0,449.0,0.0,,michigan.apis.2414; michigan.apis.2415
Sotas,Apollonios,michigan,2,262.0,262.0,0.0,auletes,michigan.apis.882; michigan.apis.883
