doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.eleph.10,5844,5844,p.eleph;;10,p.eleph.10,223/222 BC,-222.0,Elephantine,grc,"Εὐφρόνιος Μίλωνι χαίρειν. ὡς ἂν ἀναγνῶις τὴν ἐπιστολήν, ἐπιλαβὼν παρὰ τῶν τραπεζιτῶν τῶν ἐν τοῖς ἱεροῖς τ ὰ πεπτωκ ό τα εἰς τὸ ἐν Ἀπόλ λων ος πόλει τῆ ι μ εγάληι ἱερὸν ὁμοίως δὲ καὶ τοῦ εἰσμεμετρημένου σίτου παρὰ τῶν πρὸς τοῖς θ η σ αυροῖς ἀπὸ τοῦ πρωτί σ του χρόνου ἕως τοῦ ἐνεστῶτος κατὰ μῆνα καὶ κατʼ καθʼ ἔτ ο ς, διεστάλθω δὲ εἰς ἃ πέπτωκεν ἔτη, καὶ τοῦ το ποιή σας ἐπιμελῶς ἀπόστειλ ο ν ἡμῖν ἐπὶ τῶν διαδόχων, ὅπως μὴ διὰ ταῦτα κωλυώμεθα τῶν λοιπῶν ἐν ἑτοίμωι ὄντων τοὺς λ ό γ ους εἰς τὴν πόλιν κα ταπέμψαι· ἔστιν δὲ τὰ πεπτωκότα διὰ Θ ου καὶ Ἄνδρωνος ὥστε ἐπακολουθε ῖν . ἔρρω σο ἔτους κε Παῦνι κδ Μίλω ν ι seal",,False
p.eleph.11,5845,5845,p.eleph;;11,p.eleph.11,223/222 BC,-222.0,Elephantine,grc,"Εὐφρόνιος Μίλωνι χ αίρειν. τ ὸν λόγον τῶν πεπ τωκότων καὶ εἰσμεμετρη μένων εἰς τὸ ἐν Ἀπόλλωνος πόλει τ ῆι μεγ άληι ἱερὸν καὶ πλεονάκις γεγράφαμεν ἐπιστεῖλαι ἡμῖν ἀπὸ τοῦ πρωτίσ του χ ρόνου ἕως τοῦ ἐνεστῶτος διαστείλαντα κατʼ ἄνδ ρ α καὶ ἐ ν οἷς ἔτε σιν τὰ πτώματα γέγονεν. σὺ δὲ ἕως τοῦ νῦν παρενην εγμένο ς ε ἤδ η παρενήν οχ ας ἐ η πάνθʼ ὑπερθέμενος πέμψον ἡμῖν εἰς Διὸς πόλιν τὴν μεγάλην, ἵνα μὴ δ ιὰ ταῦτα κω λυώμεθα τοὺς λόγους ἀποστεῖλαι εἰς τὴν πόλιν. ὧν δʼ ἂν πράξηις γʼ οἰκ ονομιῶν , γ ράφε ἡμῖν ὑπὸ χεῖρα ὑπό χ ειρα , ἵνα εἰδῶμεν. ἔρρωσο ἔτους κε Ἐπεὶφ β Μίλωνι.",,False
p.eleph.12,5846,5846,p.eleph;;12,p.eleph.12,223/222 BC,-222.0,Elephantine,grc,"Εὐφρόνιος Μίλωνι χαίρειν. καθάπερ ὤιου δεῖν, γεγράφαμεν Πλειστάρχωι τῶι φυλακίτηι περὶ τῶν παροινησάντων σε ἀποθέσθαι αὐτοὺς εἰς τὴν φυλακήν. ὡς ἂν οὖν ἀναγνῶις τὴν ἐπιστολὴν παράδειξον αὐτῶι τοὺς ἀνθρώπους ἐπιμελῶς. ἔρρωσο. ἔτους κε Ἐπέφι α Μίλωνι",,False
p.eleph.13,5847,5847,p.eleph;;13,p.eleph.13,223/222 BC,-222.0,Elephantine,grc,"Ἄνδρων Μίλωνι τῷ ἀδελφῶι ταδελφῶι χαίρειν. εἰ ἔρρω σ αι καὶ τὰ λοιπά σοι κατὰ λόγον ἐστίν, εἴη ἂν ὡς ἐγὼ θέλω· ὑγίαινον δὲ καὶ αὐτός. παραγενομένου Σανῶτος ἐκομισάμην τὴν παρὰ σοῦ ἐπιστολήν, ἣν ἀναγνοὺς ἐχάρην ἐπὶ τῶι με αἰσθέσθαι τὰ κατὰ σέ. ἐγὼ οὖν ἐπυνθανόμην τοῦ Σανῶτος, εἴ τι βούλοιτο ἐν τοῖς κα θ ʼ ἡμ ᾶς τόποις, ὁ δὲ ἐπῄνει ἐπήινει μόνον, ἐπέταξεν δʼ οὐθέν. περὶ δὲ τῶν εἴκοσι δραχμῶν οὔπω ἐκεκόμιστο Φίλων, Πιστοκλῆ ν Πιστοκλέα Πιστοκλης γ ὰρ οὐχ εὑρήκειμεν. περὶ δὲ τοῦ οἰναρίου Πρα ξιάδης οὔπω εἰσελήλυθεν ἐξ ἀγροῦ, οὐκ οἶμαι δ αὐτὸν ἔχειν ἐξ ὧν ἡ μήτηρ αὐτοῦ ἀνήγγελλεν. εὐχαριστήσεις οὖν οὖμ μοι σαυτοῦ τε ἐπιμελόμενος καὶ μὴ ὀκνῶν γράφειν ἡμῖν καὶ τί ἄν σοι ποιοῦντες χαριζοίμεθα χαριζοιμην . ἔρρωσο ἔτους κε Μεσορεὶ ιη Μίλωνι.",,False
p.eleph.14,5848,5848,p.eleph;;14,p.eleph.14,III sac,,Elephantine,grc,"ἐπὶ τοῖσδε π ωλοῦμεν ἐφ ʼ οἷ ς οἱ κ υ ρ ωθ έντες ἀγ ο ρ άσα ντ ε ς διορθώσονται εἰς τὸ βα σιλικὸν κατʼ ἐ ν ιαυτὸν τῶν μὲν ἀμπελώνων τοὺς καθήκον τας ἀργυρικοὺς φόρους καὶ τὴν γινομένην γ ε νομένην ἀπόμοιραν τῆι Φιλαδ έλφωι, τῆς δὲ γῆς τὰ ἐπιγεγραμμένα σιτικὰ ἐκφόρια καὶ εἴ τι ἄλλο καθήκει πρὸς τὴν γ ῆν δίδοσθαι, τάξονται δὲ τὰς τιμὰς τῶν μὲν πιπτόν των εἰς τ ὸ βα σιλικὸν ἐπὶ τὴν βα σιλικὴν τρά πεζαν τῶν δὲ εἰς τ ὸ τω ν ι τρά πεζαν ἐν ἔτεσι γ , τῶν μὲν γε ρ ῶν τῆ ς π άσης τι μῆς τὸ τέταρτον μέρος χρυ σίου ἢ ἀ ργυρίου τοῦ καινοῦ νομ ί σματος, τὸ δὲ λο ιπὸν χα λκοῦ καὶ τὴν εἰθισμένην ἀλλαγὴν ὡς τῆι μν ᾶι ι ζ ὀ τῶν δʼ ἄλ λω ν ἐνγαίων χα λκοῦ καὶ τὴν εἰθισμένην ἀλλαγήν, πρ οσ διορθώσονται δέ καταγώγιον τῆι μν ᾶι τριώβολον καὶ τὴν καθήκου σαν ἑξηκοστὴν καὶ κηρύκειον τοῦ παντὸς χιλι οστήν, ὁ δὲ πριάμενος τῶν μὲν γε ρ ῶν λήψεται τὰς γινομένας καρπείας ἅμα τῶι τὴν α ἀν αφ ο ρὰν διαγραφῆναι τῶι βα σιλικῶι , τῆς δὲ γῆς κυρι εύσει καὶ τῶν καρπῶν, ἐὰν ἦι ὑπὸ τῶν κυρίων κατεσπαρμένη· ἐὰν δὲ ᾖ μεμισθωμένη, διορθώσονται οἱ γεγεωργηκότες τὸ το ἐ κ φόριο ν τῶι ἀγοράσαντι ἐκ τῶν πρὸς τοὺς γεωρ γοὺς συν γ ρ α φῶν , τῆς δ ὲ τιμ ῆς τάξονται παραχρῆμα τὸ τέταρτον μέρος, τὸ δὲ λοιπὸν ἐν ἔτεσι γ ἀπὸ τοῦ κε εκ ἔτους τασσόμε νοι κατʼ ἐνιαυτὸν τοῦ Ἐπεὶφ καὶ Μεσορὴ τὸ ἐπιβάλλον σωμάτ ιο ν, ἔκ τε κτ ηνῶν καὶ σκευῶν παραχρῆμα τὴν π στὴν καὶ τὴν ἐνενηκοστὴν ἐννενηκοσ τὴ ν π νε ε ννε κ στ ν , κυριεύσουσιν δὲ καθʼ ἃ καὶ οἱ πρῶτον κύριοι ἐκέκτηντο· ἐξέσται δὲ τῶι βου λομένωι ὑπερβάλλειν, ἕως ἔτι ἐν τοῖς κύκλοις εἰσὶν ὅσωι ἂν βούλ η τ αι , ὅταν δὲ ἀπὸ τῆς πράσεως γένωνται, τοῖς ἐπι δεκ ά τοις, μέχ ρ ι τοῦ τὴν α ἀναφορὰν διαγραφῆναι· τὰ δὲ πωλούμενα ἄ π ρ ατα ἐν ταῖς κα τὰ κὰ τὸ διάγραμμα ἡ μέραις ϛ .",,False
p.eleph.15,5849,5849,p.eleph;;15,p.eleph.15,223/222 BC,-222.0,Elephantine,grc,"Πανίσκωι. τοῦ δοθέντος ἡμῖν ὑπομνήματος παρὰ Πινύριος τοῦ Ἐστφή ν ιος καὶ Βερενέβθιος τοῦ Ἐσφήνιος καὶ Ψινταῆτος τοῦ Ἐστφήνιος, ὁμοίως δὲ καὶ τοῦ ὑποτέθεικά ὑπόκειταί σ ο ι τὸ ἀντίγραφον. ἐπεὶ οὖν ν ι ει ν τά ξασθαι τὰς λοιπὰς γ ἀν αφορὰς τ ὰς γεν ησομένας δι ἡμῶν, ἅμʼ ἀλλ ἐκχωροῦντες τῶι ξένωνι τῶν γ ἀναφορῶν ὅ ἐστιν δραχμαὶ σμ , οἱ δʼ ὑπο γεγραμμένοι γεωργοὶ ἐπέδωκαν ἡμῖν ὑπόστασιν ησα ἐν τέταχά σοι τὰ ἀντίγραφα· vestiges δεξάμενος οὖν παρʼ αὐτοῦ αὐτων κατὰ τὴν ὑποκειμένην διαγραφὴν ἀνένεγκε ἐνένεγκε ἐν λή μματι κατὰ τὴν ὑποκειμένην διαγραφὴν ἐπὶ τῆς ἐν Ἀρσινόηι τρα πέζης . ἔτους κε Ἁθὺρ Θωὺθ δ Πανίσκωι Ἀπολλωνοπο λίτηι .",,False
p.eleph.16,2789,2789,p.eleph;;16,p.eleph.16,223/222 BC,-222.0,Elephantine,grc,Demotic ἔστι τὸ τρίτο ν τ ο ν ὑπόμν ημα παρὰ τῶν ὑπογεγ ραμμ ένων ἱερέων περὶ τῆς γῆ ς ἔτους κε Φα ῶφι λ,,False
p.eleph.17,5850,5850,p.eleph;;17,p.eleph.17,223/222 BC,-222.0,Elephantine. Corrections to the text as given in BL 1-13 have been added,grc,"ὑπόμνημα παρὰ Ξένωνος Μίλωνι τῶι παρʼ Εὐφρονίου πράκτορι ἱερῶν. ἐπειδὴ Πινῦρ ι ς Ἐστ φ ή νιος καὶ Πρηνέ β θιος Πρενε β θιοσ Ἰστφήνιος καὶ Ψεντεὺς Ψεντεὴσ μικρὸς ἀπολέ γονται τὴν γῆν τὴν οὖ σαν ἐν Τμουν ψώβθει Τμεν ψύβθει τῆς κάτω τοπαρ χίας τοῦ Ἀπολ λωνοπο λίτου ἀρουρῶν λ , ἧς τὴν πρώ την ἀναφορὰν καταβεβλή κασιν δραχμὰς π , διὰ τὸ δὲ μὴ ἰσχύ ειν εἰσχύ ειν αὐτοὺς κα ταβαλεῖν τὰς λοιπὰς ἀνα φοράς, ὃ γίνον ται χαλκοῦ εἰς κδ ὀβολοὺς δραχμαὶ διακοσί αι διακοσι ας τεσσαράκον τα , ὑφίσταμαι τάξασθαι ἐπὶ τὴν βασιλικὴν τρά πεζαν ἐν ἔτεσιν τρισὶν ποιού μενος τὴν ἀναφορὰν ἐν τῶι Ἐπὶφ μηνὶ ἀπὸ τοῦ καθήκο ν τι καθηκοτι χρόν ω ι. ἔτους κε Ἁθὺρ β",,False
p.eleph.18,5851,5851,p.eleph;;18,p.eleph.18,223/222 BC,-222.0,Elephantine,grc,"Ἀντίπατ ρος Μίλωνι χαίρειν. εἴ τι ἐκτ ί θενται Πινῦρις Ἐσφήνιος Ἐσ τ φήνιος , Ἠτινας ἡ γυνὴ καὶ Ψεντεῆς μι κρὸς Ἐστφήνιος ἐν οἷς ἔχεις ὀφειλήμασιν ἐκ ἐγ λογιστηρ ί ου ἢ π α ρ ʼ εὐφ ρ ονίου ἢ παρʼ ἄ λ λου τινὸς παραγεγραμμένοι σοί εἰσίν, κ α λῶς ποιήσεις διασαφήσας ἡμῖν, ὅπως ἐπιτε λέσωμεν πάντα τὰ κα τ ὰ τ ὴν γῆ ν τὴν οὖσα ν ἐν τῆι κ ά τω τοπαρχίαι τοπαρχίᾳ τοῦ λων ης προσπο ρε ύονται πρ οσ πο ι οῦνται ἀγοράζοντες Ποῆρις Παχόιτος Μαχόιτος καὶ οἱ ἀδελφοί, κα θὼ ς συντέτα χεν Μνήσαρχο ς . ἔρρωσο ἔτους κε Ἁθὺρ κϛ vestiges Μίλ ωνι.",,False
p.eleph.19,5852,5852,p.eleph;;19,p.eleph.19,III sac,,Elephantine,grc,"Ἀπολλοδώρ ωι παρὰ Πατοῦ τος τοῦ Παχόι Μαχόι . ὑφίστ αμα ι τῆς γῆς τῆς Πινύριος τοῦ Ἐσφήνιος καὶ Βερηνέπθιος Βερενέπθιος τοῦ Ἐσ φήνιος καὶ Ψινταῆτος τοῦ Ἐσφήνιος, ἧς λε λυτρωμένοι εἰσὶν τῆς πεπραμένης ὑπὸ Μίλωνος ἀρουρῶν λ τῆς οὔσης ἐν Τμ ου ν πσωβ ο θει. ἐπειδὴ ἔτι προσοφείλουσιν εἰς τὸ βασιλικὸν καὶ οὐ τεταγμένοι εἰσὶν ἐπὶ τὴν βασιλικὴν τράπεζαν, ἀξιῶ σε ἀνακαλέσασθαι Μίλωνα α καὶ ἐπι τάξαι αὐτῶι, ὅπως πλεῖον γίνηται τῶι βασιλεῖ. εὐτύχει.",,False
