doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
p.zen.pestm.1,1832,1832,p.zen.pestm;;1,p.zen.pestm.1,257 BC,-257.0,Philadelphia,grc,"βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου Σωτῆρος ἔτους κθ μηνὸς Π α ῦνι Πῦνι κθ . ὁμολογοῦσι ὁμολογει Κλείταρχος ὁ παρὰ Δάμιδος καὶ Διόδωρος ἐκ τῆς Ἀπολ λ ω νίου γῆς μεμετρῆσθαι ἀπὸ τῆς ἅλω τῆς Ἰναρῶδος τοῦ Πάιδος Μοιθυμίτου πυ ροῦ Συρί ου ἀρ τάβην α , ἐπιχωρίου κζ 𐅵 , κρ ιθῶν με γ . βασιλεύο ντ ος Π τολεμαί ου τοῦ Πτολεμαίου Σωτῆ ρος ἔτους κθ μηνὸς Παῦνι κθ . ὁμολογοῦσι ὁμολογει Κλε ί ταρχος ὁ πα ρὰ Δάμιδος κα ὶ Διόδωρος ἐκ τῆς Ἀπολλωνίου γῆς μεμετρῆσθαι ἀπὸ τῆς ἅλω τῆς Ἰναρῶδος τοῦ Πάιδος παιτος Μοιθυμίτου πυ ροῦ Συρίου ἀρτάβην μίαν , ἐπιχωρίου εἰκοσιεπτὰ ἥμισυ , κριθῶν τεσσαρα κονταπέντε τρίτον . Demotic ἔτους κθ Παῦνι κθ . Ἰναρῶ το ς .",,False
p.zen.pestm.10,1841,1841,p.zen.pestm;;10,p.zen.pestm.10,257 BC,-257.0,Philadelphia,grc,βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου Σ ωτῆρος ἔτους κθ Θῶυθ β . ὁ μολογεῖ Σαμῶυς Ἀμεννέως ἔχειν παρὰ Π ανακέστορος τοῦ παρʼ Ἀπ ολλωνίου εἰς ξυλοκοπί αν καὶ ἐμπυ ρισμὸν ἀρου ρῶν δ δραχμὰς ι . βασιλεύο ντο ς Πτολεμαίου τοῦ Πτ ολεμαίου Σωτῆρος ἔτους κθ Θῶυθ β . ὁμολογεῖ Σαμῶυς Ἀμ εννέως ἔχειν παρὰ Παν ακέστορος τοῦ παρʼ Ἀπολλωνίου,,False
p.zen.pestm.11,1842,1842,p.zen.pestm;;11,p.zen.pestm.11,257 BC,-257.0,Philadelphia,grc,ἔτους κθ Θῶυτ κε . ἔχει Νικίας εἰς τὴν γῆν ἣν ἔχει εἰς τὰ διαχώματα εἰς ἐργάτας ι ἀν ὰ ὀβολὸν · δραχμὴν α τετρώβολον . ἔτους κθ Θῶυτ κε . ἔχει Νικίας εἰς τὴν γῆν ἣν ἔχει εἰς τὰ δι αχώμα τα εἰς ἐργ ά τα ς ι ἀν ὰ ὀβολὸν · δεκόβολ ο ν . Demotic Θῶυθ κε . Ἀργυρι κά . Θῶυτ κε .,,False
p.zen.pestm.12,1843,1843,p.zen.pestm;;12,p.zen.pestm.12,254 BC,-254.0,Philadelphia,grc,"ἔτους λ β Ἐπεὶφ κβ . ἔχουσι ἐχει Κόρραγο ς ὁ παρὰ Ἑρμολάου καὶ Χαιῶφις ὁ πα ρὰ Ὥρου βασιλικοῦ γραμματέως παρὰ Φανήσιος χειριστοῦ τ οῦ παρὰ Ζήνωνος κροτῶνος ῥυ παροῦ τοῦ ἐκ τοῦ Ἀρσινοίτου , οὗ σήκωμα κατεσφρα γίσατο ἐν φορω ὁ χειριστής, μέτρωι ἐννεακα ι εικοσιχοι νίκωι εννεακαεικοσαχοι νίκωι ἀρτάβας ἑκατὸν δί μοιρον Demotic ἔτους λβ Ἐπεὶφ κβ . ἔχουσι ἐ χει Κόρραγος ὁ π αρὰ Ἑρμολάου καὶ Χαιῶφις ὁ παρὰ Ὥρου βασιλικοῦ γ ραμ ματέως παρ ὰ Φ ανήσιος χει ρ ισ τ οῦ το ῦ πα ρὰ Ζήνωνος κρο τ ῶ νος ῥ υπα ρ οῦ τοῦ ἐκ Φιλα δ ε λφείας, οὗ σήκ ω μα κατε σφραγίσατο ἐν φορω ὁ χειριστής , μέ τρωι ἐννεακαιεικοσι χο ινίκωι ἀρτάβας ἑκατὸν δί μοιρον .",,False
p.zen.pestm.13,1844,1844,p.zen.pestm;;13,p.zen.pestm.13,252 BC,-252.0,Philadelphia,grc,"β ασιλεύοντος Πτολεμαίου τοῦ Πτολεμαί ο υ Σωτῆρος ἔτους λδ μηνὸς Μεχὶρ κβ . ἔχουσι ἐχει Κόρραγος ὁ παρὰ Ἑρμολάου καὶ Χαιῶφις ὁ παρὰ Ὥρου βασιλικοῦ γραμ μ ατέως παρὰ Κλειτάρχου τοῦ παρὰ Ζήνωνος ἐκ Φιλαδελφείας κροτῶνος ἀδειγματίστου μέτρωι τριακονταχοινίκωι μετρήσει δικαί αι ἀρτάβας ἑκατόν . τούτων ὑπολελείμμε θ α εἰ ς δειγματισμόν, ὃ κατεσφράγισται ἐν κυ ψάληι ἣ κεῖται ἐ ν τῶι σιτοβολῶνι· ἀρτάβαι δέκα . Demotic βασιλεύοντος Πτολ εμ αίου τοῦ Πτολεμαίου Σω τῆρος ἔτους λδ μην ὸ ς Με χὶρ κβ . ἔχουσι ἐχει Κόρραγος ὁ πα ρὰ Ἑρμολάου καὶ Χαιῶφ ις ὁ παρὰ Ὥρου βασιλι κοῦ γραμματέως παρὰ Κλειτάρχου τοῦ παρὰ Ζήνω νος ἐκ Φιλαδελφείας κροτῶνος ἀδει γ ματίστου αδειγματ του μέτρωι μστρωι τριακονταχοινίκωι μετρή σ ει δικαίαι ἀρτάβας ἑκατόν . τούτων ὑπολελείμμεθα εἰς δειγματισμόν, ὃ κατε σφράγισται ἐν κυψάληι ἣ κεῖται ἐν τῶι σιτο β ολῶνι· ἀρτάβαι δέκα . Demotic ἔτους λδ Μεχεὶρ κβ . Κόρραγος καὶ Χαιῶφις. κροτῶν ος ἀρ τάβαι ρ .",,False
p.zen.pestm.17,1848,1848,p.zen.pestm;;17,p.zen.pestm.17,III sac?,,?,grc,"Βασιλεῖ Πτολεμαίωι χαίρειν ἐπιδε δωκότος ἔντευξιν Ζήνων ος κ α τὰ Ὥρου καὶ Ἁρμιύσιος τῶν α ατο αὐτοὺς καὶ καταστάν των αὐτῶν ἐπὶ τ ας ἡμῖν δοῦναι Ἁρθωύτην μ ω σιν ἐπιδοῦναι Ζήν ω νι καθʼ ο ὗ δέομ α ι οὖν σου, βασι λ εῦ, εἴ σοι δοκεῖ π ροστάξαι τῶι ἐπιστά τηι καπα ο υχι δι ακοῦσαι ἡμῶ ν. τούτου δὲ γενομένου, τύχωμεν διὰ σέ, βασιλεῦ, τ ὸν τ ὸμ πάντων σ ωτῆ ρα τοῦ δικα ίου . εὐτύχει . ς πρὸς του Παχοῖριν καὶ ἑλόμενοι κ μας ο τε Ὧρος καὶ Ἁρμιῦσις",,False
p.zen.pestm.18,1849,1849,p.zen.pestm;;18,p.zen.pestm.18,III sac?,,?,grc,τ οῦ Ἀπολλ ο δ ότου βασιλικοὶ βασιλεικοὶ γ ραμματεῖς ρα Ἀπολλοδότου Εἰδουμαῖ ος τῆς ἐπιγονῆς ἐν Κρο κοδείλων πόλει το τ ὴν ὑπάρχουσάν μοι μητρικὴν α τῆς Ἡρακλείδου μερίδος μερείδος ἀπ ο δημη σ αμ έ νου μετὰ κυρίου,,False
p.zen.pestm.19,1850,1850,p.zen.pestm;;19,p.zen.pestm.19,III sac?,,Philadelphia?,grc,,,False
p.zen.pestm.2,1833,1833,p.zen.pestm;;2,p.zen.pestm.2,257 BC,-257.0,Philadelphia,grc,βασιλεύοντος Πτολεμαίου τοῦ Πτολεμαίου Σωτῆρος ἔτους κθ μηνὸς Μεσορὴ ια . ὁμολογεῖ Ἁρμάις Παχῆτος ἔχειν παρὰ Πανακέστορος ὥστε εἰς τὴν ξυλοκοπίαν πελέκεις δέκα . β ασιλεύοντος Πτολεμαίου τοῦ Π τολεμαίου Σωτῆρος ἔτους κθ μην ὸς Μεσορὴ ια . ὁμολογεῖ Ἁ ρμά ις Πα χῆτος ἔχειν παρὰ Π ανακέστορος ὥστε εἰς τὴν ξυλοκοπίαν π ε λέκεις δέκα . Demotic Demotic Ἁρμάις τοῦ Παχῆτος.,,False
p.zen.pestm.20,1851,1851,p.zen.pestm;;20,p.zen.pestm.20,252 BC,-252.0,Philadelphia,grc,"ἔτους λδ δλ Φ αμε νῶφι τοῦ Φ α ῶφι θ . ὁμολο γ εῖ Ἀσκληπιάδης Λύκιος τῶν Νικάνορος κλ ηροῦχος ἀρου ρῶν ο ἔχειν δάνειον παρὰ Ζήνωνος τ οῦ Ἀγρε οφῶντος Καυ νίου τῶν περὶ Ἀπολλώνι ον τὸν δι οικητὴν ἀργ υ ρίου δραχ μὰς τέσσαρας . ε ἰς δὲ τοῦ το ὑπολογη σάτω αὐτῶι Ζήνων εἰς τὰ γ ινόμεν α ἐκφόρια ἐχφόρια τοῦ λε ἔτους σῖτον ὡς ἂ ν ἐπὶ τ ῆς ἅλω πω λῆ ται ἐν ἐμ Μοιθύμει τοῦ Με μφίτου . ἔγραψεν τὸ σύμβολον Αρ η ς διδάσκαλος Ἀσκληπιάδου συντά ξαν τ ος. Ἀσκληπιάδης ὧν ἔχει εἰς τὸ ἐκ φό ριον τοῦ λε ἔτους δραχμὰς δ , ἀνθʼ ὧν ὑπολο γη θήσεται σῖτος.",,False
