doc_id,hgv_id,tm_id,ddb_hybrid,filename,date_text,date_year_approx,provenance,language,transcription_text,translation_text,has_translation
t.vindol.1.1,114832,114832,t.vindol;1;1,t.vindol.1.1,,,,la,,,False
t.vindol.1.10,114841,114841,t.vindol;1;10,t.vindol.1.10,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.11,114834,114834,t.vindol;1;11,t.vindol.1.11,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.12,114831,114831,t.vindol;1;12,t.vindol.1.12,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.13,114828,114828,t.vindol;1;13,t.vindol.1.13,ca. AD 95-105,105.0,Vindolanda,la,mandata pa vestig n umero e i xxxx vestiges,,False
t.vindol.1.14,114829,114829,t.vindol;1;14,t.vindol.1.14,ca. AD 95-105,105.0,Vindolanda,la,po m n su mm m,,False
t.vindol.1.16,114835,114835,t.vindol;1;16,t.vindol.1.16,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.18,114830,114830,t.vindol;1;18,t.vindol.1.18,ca. AD 95-105,105.0,Vindolanda,la,lx r ti,,False
t.vindol.1.2,114394,114394,t.vindol;1;2,t.vindol.1.2,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.21,114892,114892,t.vindol;1;21,t.vindol.1.21,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.22,114893,114893,t.vindol;1;22,t.vindol.1.22,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.23,114894,114894,t.vindol;1;23,t.vindol.1.23,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.24,114895,114895,t.vindol;1;24,t.vindol.1.24,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.25,114891,114891,t.vindol;1;25,t.vindol.1.25,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.26,114896,114896,t.vindol;1;26,t.vindol.1.26,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.27,114846,114846,t.vindol;1;27,t.vindol.1.27,ca. AD 95-105,105.0,Vindolanda,la,cum de iniuria flavio,,False
t.vindol.1.28,114898,114898,t.vindol;1;28,t.vindol.1.28,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.29,114890,114890,t.vindol;1;29,t.vindol.1.29,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.3,114833,114833,t.vindol;1;3,t.vindol.1.3,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.30,114899,114899,t.vindol;1;30,t.vindol.1.30,ca. AD 95-105,105.0,Vindolanda,la,,,False
t.vindol.1.31,114900,114900,t.vindol;1;31,t.vindol.1.31,ca. AD 95-105,105.0,Vindolanda,la,,,False
