project,text_id,token_count,lemmatized,line_count
saao_saa01,P224395,129,71,39
saao_saa01,P224403,30,27,11
saao_saa01,P224417,183,116,42
saao_saa01,P224431,136,116,36
saao_saa01,P224433,298,98,38
saao_saa01,P224447,85,83,35
saao_saa01,P224485,415,393,71
saao_saa01,P224487,206,125,29
saao_saa01,P224587,63,27,13
saao_saa01,P313416,138,51,17
saao_saa01,P313417,248,180,27
saao_saa01,P313425,249,231,29
saao_saa01,P313427,145,95,22
saao_saa01,P313435,61,59,13
saao_saa01,P313437,49,37,15
saao_saa01,P313439,155,122,20
saao_saa01,P313447,100,87,16
saao_saa01,P313458,178,136,16
saao_saa01,P313487,246,90,35
saao_saa01,P313491,178,118,22
saao_saa01,P313497,28,19,7
saao_saa01,P313502,101,56,29
saao_saa01,P313505,90,25,16
saao_saa01,P313509,80,60,27
saao_saa01,P313511,114,38,27
saao_saa01,P313523,45,40,11
saao_saa01,P313527,85,47,18
saao_saa01,P313543,89,64,24
saao_saa01,P313551,68,43,12
saao_saa01,P313559,149,52,15
saao_saa01,P313571,190,127,35
saao_saa01,P313598,68,34,19
saao_saa01,P313600,35,20,13
saao_saa01,P313614,109,35,23
saao_saa01,P313623,43,36,15
saao_saa01,P313626,85,73,16
saao_saa01,P313627,33,17,11
saao_saa01,P313629,28,21,15
saao_saa01,P313644,786,121,44
saao_saa01,P313648,176,44,20
saao_saa01,P313660,78,31,13
saao_saa01,P313677,37,30,9
saao_saa01,P313684,36,27,13
saao_saa01,P313699,99,23,13
saao_saa01,P313719,101,9,8
saao_saa01,P313722,177,65,16
saao_saa01,P313726,104,32,16
saao_saa01,P313742,111,67,20
saao_saa01,P313748,150,56,29
saao_saa01,P313755,68,27,11
saao_saa01,P313759,110,27,10
saao_saa01,P313762,93,16,8
saao_saa01,P313807,61,20,18
saao_saa01,P313815,78,21,9
saao_saa01,P313832,102,30,14
saao_saa01,P313854,29,13,5
saao_saa01,P313864,52,25,13
saao_saa01,P313871,137,29,14
saao_saa01,P313874,28,24,10
saao_saa01,P313876,40,30,9
saao_saa01,P313878,61,39,14
saao_saa01,P313879,19,10,6
saao_saa01,P313885,93,22,11
saao_saa01,P313897,40,16,8
saao_saa01,P313904,23,15,7
saao_saa01,P313907,43,6,6
saao_saa01,P313915,63,20,8
saao_saa01,P313919,13,8,5
saao_saa01,P313923,139,36,20
saao_saa01,P313938,10,10,3
saao_saa01,P313947,24,5,5
saao_saa01,P313974,56,14,8
saao_saa01,P313975,42,19,8
saao_saa01,P314001,70,13,6
saao_saa01,P314003,41,26,10
saao_saa01,P314022,58,12,9
saao_saa01,P314026,120,41,19
saao_saa01,P314030,70,13,10
saao_saa01,P314032,36,20,7
saao_saa01,P314048,104,28,15
saao_saa01,P314051,53,21,9
saao_saa01,P314054,62,16,10
saao_saa01,P314056,46,9,8
saao_saa01,P314134,44,11,7
saao_saa01,P314144,30,21,11
saao_saa01,P314157,62,13,9
saao_saa01,P314211,41,12,5
saao_saa01,P314223,82,21,10
saao_saa01,P314227,105,31,17
saao_saa01,P314232,294,103,35
saao_saa01,P314238,39,21,17
saao_saa01,P314243,124,61,23
saao_saa01,P314248,27,14,5
saao_saa01,P314257,106,34,19
saao_saa01,P314260,30,5,5
saao_saa01,P314272,56,16,7
saao_saa01,P314273,56,33,12
saao_saa01,P314275,51,41,22
saao_saa01,P314282,126,12,21
saao_saa01,P314287,78,20,11
saao_saa01,P314297,123,48,24
saao_saa01,P314316,87,17,20
saao_saa01,P334036,96,67,15
saao_saa01,P334037,72,71,14
saao_saa01,P334038,81,81,17
saao_saa01,P334039,72,71,16
saao_saa01,P334040,97,95,19
saao_saa01,P334041,139,105,20
saao_saa01,P334042,43,32,15
saao_saa01,P334043,59,56,14
saao_saa01,P334044,110,90,28
saao_saa01,P334045,21,20,9
saao_saa01,P334046,143,46,27
saao_saa01,P334047,97,64,24
saao_saa01,P334048,229,132,36
saao_saa01,P334049,105,86,18
saao_saa01,P334050,130,112,19
saao_saa01,P334051,96,74,17
saao_saa01,P334053,46,23,10
saao_saa01,P334054,41,27,10
saao_saa01,P334055,87,59,19
saao_saa01,P334056,99,50,21
saao_saa01,P334078,127,82,33
saao_saa01,P334079,86,79,33
saao_saa01,P334080,73,61,15
saao_saa01,P334081,44,42,13
saao_saa01,P334082,27,19,7
saao_saa01,P334083,44,41,14
saao_saa01,P334100,135,130,22
saao_saa01,P334101,22,21,9
saao_saa01,P334102,49,28,11
saao_saa01,P334113,151,138,22
saao_saa01,P334118,56,54,14
saao_saa01,P334120,34,34,10
saao_saa01,P334124,54,54,12
saao_saa01,P334125,46,43,14
saao_saa01,P334127,28,20,8
saao_saa01,P334135,213,159,26
saao_saa01,P334136,73,71,16
saao_saa01,P334141,97,95,24
saao_saa01,P334142,222,201,29
saao_saa01,P334143,288,284,35
saao_saa01,P334144,29,29,7
saao_saa01,P334158,86,86,25
saao_saa01,P334160,38,31,13
saao_saa01,P334165,39,37,13
saao_saa01,P334166,33,33,14
saao_saa01,P334170,96,69,23
saao_saa01,P334171,32,23,9
saao_saa01,P334172,57,35,14
saao_saa01,P334173,49,19,9
saao_saa01,P334174,60,31,15
saao_saa01,P334175,31,13,6
saao_saa01,P334176,10,10,3
saao_saa01,P334190,31,16,8
saao_saa01,P334193,92,88,19
saao_saa01,P334194,12,12,7
saao_saa01,P334195,144,124,21
saao_saa01,P334209,45,44,12
saao_saa01,P334210,49,25,12
saao_saa01,P334211,73,46,18
saao_saa01,P334212,38,28,17
saao_saa01,P334213,109,63,21
saao_saa01,P334214,40,34,10
saao_saa01,P334271,46,45,14
saao_saa01,P334272,67,48,16
saao_saa01,P334273,34,32,9
saao_saa01,P334284,109,107,21
saao_saa01,P334288,30,29,13
saao_saa01,P334298,142,119,20
saao_saa01,P334314,133,101,18
saao_saa01,P334317,67,47,8
saao_saa01,P334328,128,87,19
saao_saa01,P334329,22,16,6
saao_saa01,P334330,55,43,16
saao_saa01,P334331,63,44,16
saao_saa01,P334332,89,78,29
saao_saa01,P334333,147,134,35
saao_saa01,P334334,70,42,12
saao_saa01,P334335,36,27,8
saao_saa01,P334336,35,30,8
saao_saa01,P334359,57,57,15
saao_saa01,P334372,157,121,20
saao_saa01,P334384,39,34,13
saao_saa01,P334385,107,61,20
saao_saa01,P334390,321,221,44
saao_saa01,P334394,96,48,25
saao_saa01,P334396,66,61,15
saao_saa01,P334397,49,34,15
saao_saa01,P334403,63,41,21
saao_saa01,P334422,136,114,29
saao_saa01,P334432,41,36,23
saao_saa01,P334435,111,56,26
saao_saa01,P334442,117,101,28
saao_saa01,P334443,76,54,13
saao_saa01,P334444,28,22,10
saao_saa01,P334445,21,18,10
saao_saa01,P334496,164,87,24
saao_saa01,P334499,74,74,18
saao_saa01,P334512,29,16,7
saao_saa01,P334519,118,69,19
saao_saa01,P334520,48,43,17
saao_saa01,P334567,75,62,15
saao_saa01,P334568,88,63,24
saao_saa01,P334586,371,180,40
saao_saa01,P334587,140,86,22
saao_saa01,P334588,82,62,15
saao_saa01,P334592,37,32,11
saao_saa01,P334598,60,38,21
saao_saa01,P334610,56,41,15
saao_saa01,P334621,96,67,14
saao_saa01,P334631,50,25,14
saao_saa01,P334632,97,22,12
saao_saa01,P334634,37,23,9
saao_saa01,P334643,59,33,14
saao_saa01,P334644,53,45,15
saao_saa01,P334658,67,37,15
saao_saa01,P334665,71,35,12
saao_saa01,P334667,30,20,12
saao_saa01,P334676,65,65,17
saao_saa01,P334687,79,48,22
saao_saa01,P334689,78,25,14
saao_saa01,P334693,134,90,19
saao_saa01,P334699,49,35,14
saao_saa01,P334709,61,24,6
saao_saa01,P334715,150,109,22
saao_saa01,P334718,182,105,36
saao_saa01,P334721,97,67,21
saao_saa01,P334727,58,50,19
saao_saa01,P334728,82,70,16
saao_saa01,P334729,108,46,19
saao_saa01,P334739,23,17,10
saao_saa01,P334773,250,116,24
saao_saa01,P334774,180,74,21
saao_saa01,P334776,95,81,33
saao_saa01,P334789,53,53,9
saao_saa01,P334791,112,63,12
saao_saa01,P334792,62,46,20
saao_saa01,P334794,43,23,14
saao_saa01,P334804,38,30,12
saao_saa01,P334807,73,54,24
saao_saa01,P334810,35,27,10
saao_saa01,P334820,153,115,23
saao_saa01,P334826,54,32,19
saao_saa01,P334830,239,159,44
saao_saa01,P334834,234,103,17
saao_saa01,P334849,201,53,14
saao_saa01,P334864,150,84,22
saao_saa01,P334895,52,30,12
saao_saa01,P334903,192,143,30
saao_saa01,P334904,69,38,18
